ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	24.0	0.0	0.0	0.0	0.0	0.0	0.0	1339194.0999999999	3555958.1666666665	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3298	0.3298	0	N/A	N/A	14685456.8	6	7	-1	 	6	-90.9280	-1	92.9280	14685456.8
EXP,CTRL	 	 	24.0	0.0	0.0	0.0	0.0	0.0	0.0	1208416.1333333333	2420622.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8","main.cluster index_upperinput":"8"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3307	0.3307	0	N/A	N/A	10887114.399999999	6	8	-1	 	6	-92.9251	-1	94.9251	10887114.399999999
EXP,CTRL	 	 	40.0	0.0	0.0	0.0	0.0	0.0	0.0	479839.14666666667	639231.1766666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"185","main.cluster index_upperinput":"185"}	This Node is a Singleton	N/A	N/A	N/A	 	2.5238	2.5238	0	N/A	N/A	3357210.9699999997	6	185	-1	 	6	-93.0502	-1	95.0502	3357210.9699999997
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	9251380.0	9290211.166666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2645","main.cluster index_upperinput":"2645"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6356	10.6356	0	N/A	N/A	55624773.5	6	2645	-1	 	6	-94.9601	-1	96.9601	55624773.5
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	83551.98666666666	1119203.4633333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"42","main.cluster index_upperinput":"42"}	This Node is a Singleton	N/A	N/A	N/A	 	0.9939	0.9939	0	N/A	N/A	3608266.35	6	42	-1	 	6	-94.9696	-1	96.9696	3608266.35
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	123857.27666666666	159860.61333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3219	0.3219	0	N/A	N/A	851153.6699999999	6	5	-1	 	6	-94.9696	-1	96.9696	851153.6699999999
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	233381.33	123785.65	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"241","main.cluster index_upperinput":"241"}	This Node is a Singleton	N/A	N/A	N/A	 	2.6208	2.6208	0	N/A	N/A	1071500.94	6	241	-1	 	6	-98.0404	-1	100.0404	1071500.94
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	208970.63333333333	258104.8	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2545","main.cluster index_upperinput":"2545"}	This Node is a Singleton	N/A	N/A	N/A	 	8.9775	8.9775	0	N/A	N/A	1401226.2999999998	6	2545	-1	 	6	-98.9337	-1	100.9337	1401226.2999999998
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	195651.52	300395.19	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2531","main.cluster index_upperinput":"2531"}	This Node is a Singleton	N/A	N/A	N/A	 	8.7790	8.7790	0	N/A	N/A	1488140.1300000001	6	2531	-1	 	6	-98.9337	-1	100.9337	1488140.1300000001
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	538588.3933333333	400641.4766666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2504","main.cluster index_upperinput":"2504"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4737	8.4737	0	N/A	N/A	2817689.6100000003	6	2504	-1	 	6	-98.9337	-1	100.9337	2817689.6100000003
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	893127.4066666667	892457.67	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2587","main.cluster index_upperinput":"2587"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2102	10.2102	0	N/A	N/A	5356755.23	6	2587	-1	 	6	-98.9337	-1	100.9337	5356755.23
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	432111.0333333334	403078.2	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2425","main.cluster index_upperinput":"2425"}	This Node is a Singleton	N/A	N/A	N/A	 	7.8461	7.8461	0	N/A	N/A	2505567.7	6	2425	-1	 	6	-98.9337	-1	100.9337	2505567.7
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	857955.3	721598.1333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2491","main.cluster index_upperinput":"2491"}	This Node is a Singleton	N/A	N/A	N/A	 	8.3221	8.3221	0	N/A	N/A	4738660.3	6	2491	-1	 	6	-98.9337	-1	100.9337	4738660.3
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	370621.6333333333	212373.07	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2519","main.cluster index_upperinput":"2519"}	This Node is a Singleton	N/A	N/A	N/A	 	8.6198	8.6198	0	N/A	N/A	1748984.1099999996	6	2519	-1	 	6	-98.9337	-1	100.9337	1748984.1099999996
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	352731.25333333336	482998.08	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2502","main.cluster index_upperinput":"2502"}	This Node is a Singleton	N/A	N/A	N/A	 	8.3738	8.3738	0	N/A	N/A	2507188.0	6	2502	-1	 	6	-98.9337	-1	100.9337	2507188.0
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	492466.7166666667	480130.72	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ef171647a07a4919b916b021b9943009&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2477","main.cluster index_upperinput":"2477"}	This Node is a Singleton	N/A	N/A	N/A	 	8.2459	8.2459	0	N/A	N/A	2917792.31	6	2477	-1	 	6	-98.9337	-1	100.9337	2917792.31
