CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1973	2029	1	0.9736	0.000
2608	2609	2	0.7957	24.000
2099	2592	2	0.7061	-100.177
1990	2589	2	0.7816	-219.188
2214	2627	2	0.8161	-24.000
2214	2371	2	0.9913	-2.015
2592	2596	2	0.9151	-28.030
1915	2207	2	0.8041	162.053
1953	2076	2	0.9435	24.000
2099	2460	2	0.7335	-100.177
2589	2592	2	0.8738	24.000
1953	2264	2	0.8268	-4.031
2076	2135	2	0.9571	-26.016
1990	2264	2	0.8237	-4.031
2460	2617	2	0.7892	-87.032
1990	2076	2	0.9393	24.000
1984	2207	2	0.7459	87.032
2099	2174	2	0.8967	-26.016
1995	2589	2	0.7717	-100.177
1995	2608	2	0.8434	-262.229
2249	2592	2	0.7838	162.053
2479	2592	2	0.9437	-0.000
2478	2596	2	0.8645	-4.030
1932	2627	2	0.7507	-100.177
2479	2609	2	0.8213	-162.053
2589	2596	2	0.8358	-4.030
1953	2214	2	0.8237	-238.230
1991	2022	2	0.973	-42.047
1990	2478	2	0.8418	-219.188
2592	2617	2	0.7831	-87.032
1947	1995	2	0.938	0.000
2460	2479	2	0.9574	0.000
1951	1991	2	0.9661	0.000
1988	1991	2	0.915	119.012
1953	1990	2	0.9602	0.000
1939	1984	2	0.9659	0.000
2460	2596	2	0.9294	-28.030
1995	2099	2	0.8717	24.000
1953	2135	2	0.9475	-2.016
1915	2479	2	0.7139	-76.177
2478	2479	2	0.9082	24.000
2207	2279	2	0.9819	24.000
2589	2608	2	0.839	-162.053
1915	1995	2	0.8382	0.000
2173	2279	2	0.9841	24.000
2076	2264	2	0.8387	-28.031
1990	1995	2	0.7054	-119.011
2592	2609	2	0.8007	-162.053
2479	2589	2	0.9253	-24.000
1915	2099	2	0.8486	24.000
2249	2479	2	0.8438	162.053
1915	1947	2	0.8941	0.000
1995	2174	2	0.8871	-2.016
2460	2589	2	0.8671	-24.000
2478	2589	2	0.9543	0.000
1947	2099	2	0.8735	24.000
2271	2609	2	0.8966	0.000
2173	2207	2	0.9727	0.000
2460	2478	2	0.9019	-24.000
2589	2627	2	0.7691	-43.042
1990	2627	2	0.9174	-262.230
1995	2478	2	0.7801	-100.177
1932	1990	2	0.7004	162.053
1984	2173	2	0.7532	87.032
1895	1932	2	0.9177	0.000
2135	2264	2	0.8406	-2.015
2460	2609	2	0.7768	-162.053
1915	2589	2	0.8523	-100.177
1947	2608	2	0.8132	-262.229
2099	2479	2	0.7438	-100.177
1953	2627	2	0.9423	-262.230
2478	2627	2	0.8115	-43.042
1990	2214	2	0.7891	-238.230
1932	1991	2	0.7482	-315.233
1915	2174	2	0.8563	-2.016
1947	2174	2	0.865	-2.016
1915	2608	2	0.7758	-262.229
1995	2609	2	0.7083	-238.230
2479	2617	2	0.7709	-87.032
2479	2596	2	0.925	-28.030
2478	2592	2	0.8699	24.000
2460	2592	2	0.9726	-0.000
2249	2609	2	0.9022	0.000
1990	2135	2	0.9421	-2.016
507	664	3	0.7945	-284.137
818	824	3	0.9567	-3.000
610	673	3	0.8978	-28.953
672	818	3	0.7887	-73.965
818	821	3	0.9179	2.999
814	819	3	0.9322	-2.000
666	814	3	0.8638	18.011
666	667	3	0.9731	0.999
500	501	3	0.9808	-0.999
819	830	3	0.9469	3.000
672	824	3	0.8036	-76.965
672	673	3	0.9041	-1.996
672	822	3	0.7992	-74.964
822	824	3	0.9419	-2.000
501	507	3	0.8802	3.999
665	667	3	0.9491	2.999
667	830	3	0.8694	18.012
821	822	3	0.9193	-3.999
673	822	3	0.7897	-72.969
664	666	3	0.8665	-3.999
502	507	3	0.9462	5.999
667	814	3	0.7892	17.012
500	507	3	0.8814	2.999
673	818	3	0.7879	-71.969
818	822	3	0.9783	-1.000
610	672	3	0.9521	-26.958
672	821	3	0.8217	-70.966
664	667	3	0.8736	-3.000
673	676	3	0.9138	0.993
610	824	3	0.7926	-103.923
610	821	3	0.8035	-97.923
665	819	3	0.8523	18.011
610	822	3	0.7917	-101.922
673	821	3	0.7895	-68.970
500	502	3	0.9576	-3.000
672	782	3	0.8451	223.001
665	666	3	0.9357	2.000
673	782	3	0.8025	224.996
814	830	3	0.9629	1.000
664	665	3	0.9076	-5.999
501	502	3	0.9416	-2.000
821	824	3	0.9327	-5.999
610	782	3	0.871	196.043
818	830	3	0.7888	46.006
819	820	3	0.8183	-35.977
776	777	4	0.813	-1.003
849	850	4	0.771	1.003
149	776	4	0.754	15.995
776	2069	4	0.7152	-108.094
492	776	4	0.7716	13.979
638	850	4	0.7902	2.015
849	887	4	0.973	-0.028
307	850	4	0.7702	18.011
492	493	4	0.7532	-1.003
145	149	4	0.7114	1.003
307	638	4	0.8432	15.995
776	850	4	0.7746	2.016
776	849	4	0.7142	1.012
947	1139	5	0.8457	0.000
1386	1511	6	0.8509	15.995
1387	1415	6	0.9732	21.911
1377	1611	6	0.7018	-0.000
968	1390	6	0.7875	16.005
966	1291	6	0.7515	13.989
1300	1371	6	0.8207	1.012
1234	1601	6	0.7171	15.995
1390	1511	6	0.8561	18.001
1298	1390	6	0.8314	412.199
1389	1390	6	0.8961	1.003
1383	1386	6	0.9764	410.173
966	1299	6	0.8771	15.995
1377	1601	6	0.7537	13.979
1298	1300	6	0.9792	412.189
1383	1387	6	0.7564	28.203
1291	1299	6	0.7581	2.006
968	1511	6	0.7738	34.006
968	1371	6	0.7806	17.007
1371	1390	6	0.9268	-1.002
1371	1511	6	0.8854	16.998
1371	1386	6	0.8919	1.003
966	968	6	0.7214	-46.006
1299	1601	6	0.7391	15.995
966	1601	6	0.7169	31.990
1300	1511	6	0.8163	18.011
968	1300	6	0.973	15.995
1300	1390	6	0.8142	0.010
1300	1301	6	0.8237	-2.006
1383	1384	6	0.8185	-46.006
1386	1390	6	0.8606	-2.006
1299	1300	6	0.7491	-46.006
1300	1386	6	0.8196	2.016
1071	1601	6	0.7296	18.011
968	1386	6	0.8131	18.011
1386	1389	6	0.7915	-3.008
1301	1371	6	0.746	3.018
968	1301	6	0.7804	13.989
1301	1390	6	0.7683	2.016
905	937	7	0.7491	-0.000
111	253	8	0.7945	2.016
91	111	8	0.897	27.011
91	125	8	0.765	29.027
124	253	8	0.8359	2.005
116	122	8	0.9726	-20.026
110	253	8	0.735	3.019
113	135	8	0.8368	-213.100
134	253	8	0.853	1.003
111	125	8	0.7902	2.015
110	124	8	0.832	1.014
111	124	8	0.8683	0.010
108	136	8	0.9039	-477.198
116	135	8	0.9156	-42.008
122	135	8	0.9467	-21.982
135	136	8	0.7683	-281.088
125	135	8	0.7488	-281.088
110	111	8	0.8523	1.003
121	200	8	0.8294	-41.037
91	99	8	0.7001	13.032
130	134	8	0.7163	-44.993
135	253	8	0.7567	281.088
130	253	8	0.8368	-43.990
124	134	8	0.8541	1.002
125	134	8	0.8378	-1.003
110	134	8	0.8269	2.015
124	125	8	0.8364	2.005
110	125	8	0.7369	3.019
91	253	8	0.7573	29.027
125	130	8	0.8053	43.990
122	200	8	0.7847	-43.042
125	253	8	0.9808	0.000
568	588	9	0.8241	-31.079
328	520	9	0.8089	-284.138
621	625	9	0.8528	-2.008
208	524	9	0.9268	-49.057
207	715	9	0.7974	-280.143
533	781	9	0.828	214.054
457	739	9	0.7875	-265.126
729	739	9	0.8201	-15.996
463	625	9	0.834	-285.142
567	737	9	0.8808	-248.161
623	625	9	0.9238	-1.004
476	533	9	0.8289	-65.969
453	455	9	0.8665	-16.998
201	206	9	0.868	-15.995
496	524	9	0.96	101.048
520	758	9	0.7904	-112.052
619	702	9	0.8508	172.085
567	743	9	0.8527	-285.140
433	463	9	0.8413	-43.043
457	621	9	0.8115	-282.132
204	458	9	0.8826	39.992
520	726	9	0.7996	-80.063
739	755	9	0.824	-2.010
713	715	9	0.8667	-2.007
457	755	9	0.8443	-267.136
623	755	9	0.8003	16.000
724	828	9	0.8208	-143.875
709	866	9	0.7911	240.088
539	619	9	0.852	-129.079
441	726	9	0.7954	-248.116
441	737	9	0.8343	-264.111
463	739	9	0.8389	-266.128
524	573	9	0.9468	-186.101
702	713	9	0.9529	-186.101
685	727	9	0.9329	-173.036
604	866	9	0.8127	147.053
453	620	9	0.8387	-284.137
726	737	9	0.8865	-15.995
476	713	9	0.8627	-56.026
204	322	9	0.9508	82.003
201	458	9	0.8669	2.015
322	380	9	0.9191	115.064
204	573	9	0.951	25.977
604	620	9	0.7921	-27.047
625	748	9	0.8118	18.009
476	702	9	0.8906	130.074
204	380	9	0.9084	197.067
758	779	9	0.8763	15.010
201	524	9	0.885	174.101
429	433	9	0.7925	-1.002
328	357	9	0.8818	15.011
635	702	9	0.8325	-129.079
441	458	9	0.8913	2.015
207	433	9	0.8525	61.053
457	729	9	0.7989	-249.131
217	496	9	0.8914	-128.123
381	527	9	0.8503	15.011
206	322	9	0.9249	60.021
429	604	9	0.7889	-283.134
204	208	9	0.9216	261.134
727	741	9	0.9374	146.036
539	779	9	0.8473	-112.052
453	458	9	0.875	-15.995
322	573	9	0.9426	-56.026
462	702	9	0.8938	474.232
623	748	9	0.8249	17.005
573	577	9	0.89	-35.977
380	496	9	0.9408	-86.037
737	779	9	0.8105	-0.984
781	866	9	0.9627	-0.000
207	455	9	0.8537	19.014
201	208	9	0.9502	223.158
328	737	9	0.8284	-380.195
568	579	9	0.8292	227.047
463	748	9	0.8605	-267.133
463	623	9	0.8382	-284.138
496	573	9	0.9392	-85.053
685	754	9	0.8847	-3.013
476	621	9	0.8334	-43.014
476	604	9	0.902	1.032
455	619	9	0.8666	-283.134
433	457	9	0.8146	-44.045
620	621	9	0.8693	-16.998
357	635	9	0.8	-112.052
206	573	9	0.9687	3.995
577	579	9	0.9388	-27.019
520	539	9	0.906	15.011
441	565	9	0.9093	20.026
731	743	9	0.8723	-1.003
380	524	9	0.9411	15.011
206	524	9	0.9578	190.096
527	579	9	0.871	-186.101
208	496	9	0.9072	-150.105
457	463	9	0.8845	1.002
635	644	9	0.8269	-299.148
455	621	9	0.8222	-284.137
206	577	9	0.8748	-31.982
619	621	9	0.8566	-1.003
455	463	9	0.8649	-1.003
619	620	9	0.8807	15.995
739	779	9	0.8741	1.024
204	217	9	0.8862	239.152
208	527	9	0.9185	-112.053
533	573	9	0.8556	294.080
702	709	9	0.8426	-222.078
453	619	9	0.8413	-300.133
455	532	9	0.8602	-13.012
208	380	9	0.8967	-64.068
322	458	9	0.9095	-42.011
567	731	9	0.9306	-284.137
201	207	9	0.8704	-18.001
322	453	9	0.8855	-26.016
758	817	9	0.9426	18.010
568	577	9	0.831	254.066
