CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
480	692	1	0.885	-0.000
692	1262	1	0.796	1.980
1397	1652	2	0.93	-28.031
1129	1599	2	0.714	-56.063
1458	1508	2	0.8851	12.000
1340	1656	2	0.8267	-42.047
1340	1748	2	0.9583	-28.031
1505	1546	2	0.7812	-36.013
1245	1304	2	0.885	-0.036
1129	1427	2	0.9074	-28.032
1128	1130	2	0.7046	-35.977
1599	1748	2	0.9295	10.029
1245	1552	2	0.8542	-74.073
1424	1499	2	0.756	-14.016
1048	1411	2	0.725	-28.031
1335	1343	2	0.8007	-44.027
1128	1327	2	0.8736	-28.032
1225	1478	2	0.91	-28.031
1424	1730	2	0.7701	-28.031
1211	1478	2	0.7804	-46.042
1327	1424	2	0.7819	0.000
1429	1748	2	0.83	-28.032
1397	1405	2	0.9439	10.029
1656	1726	2	0.9132	-14.015
1546	1554	2	0.7809	35.977
1424	1596	2	0.7511	-28.031
1652	1656	2	0.915	10.028
1245	1434	2	0.8175	-62.029
1128	1424	2	0.7283	-28.032
1335	1397	2	0.9159	-14.016
1723	1726	2	0.9322	10.028
1300	1434	2	0.9089	-26.016
1429	1508	2	0.7375	-14.016
1546	1552	2	0.8714	-10.029
1244	1499	2	0.8793	-28.031
1244	1556	2	0.7483	-14.016
1427	1429	2	0.7511	10.029
1652	1723	2	0.8981	-14.015
1300	1305	2	0.8942	-10.029
1211	1340	2	0.9137	-2.016
1295	1577	2	0.7468	7.946
1304	1552	2	0.8571	-74.037
1135	1380	2	0.8508	-28.030
1449	1730	2	0.7202	-2.016
1508	1748	2	0.9226	-14.016
1498	1722	2	0.9055	-28.031
1577	1651	2	0.8237	-2.016
1458	1748	2	0.9611	-2.016
1401	1449	2	0.9016	-12.000
1300	1505	2	0.8442	7.982
1245	1505	2	0.8868	-28.032
1244	1596	2	0.7325	-42.047
1434	1552	2	0.818	-12.044
1304	1554	2	0.8605	-28.031
1449	1651	2	0.8097	-16.032
1130	1429	2	0.8551	-28.031
1244	1424	2	0.7887	-14.016
1380	1434	2	0.8066	-11.999
1522	1599	2	0.8393	-2.016
1340	1508	2	0.9071	-14.016
1129	1305	2	0.7873	-60.058
1401	1405	2	0.8207	-35.977
1596	1651	2	0.8411	-14.016
1248	1405	2	0.7759	-28.031
1135	1434	2	0.8802	-40.029
1245	1554	2	0.776	-28.068
1048	1055	2	0.7686	10.064
1245	1546	2	0.821	-64.044
1449	1577	2	0.9428	-14.016
1401	1577	2	0.8755	-26.015
1124	1300	2	0.7877	-12.019
1129	1397	2	0.7078	-42.047
1449	1650	2	0.7014	-17.035
1605	1748	2	0.9438	0.000
1207	1499	2	0.8809	-16.032
1305	1552	2	0.8092	-28.031
1340	1458	2	0.9279	-26.016
1211	1748	2	0.9296	-30.047
1300	1554	2	0.8338	7.946
1552	1554	2	0.7087	46.005
1327	1401	2	0.7892	-14.016
1499	1730	2	0.7828	-14.015
1304	1546	2	0.8077	-64.008
1244	1327	2	0.8785	-14.016
1521	1730	2	0.753	-2.015
1211	1248	2	0.8678	12.000
1596	1730	2	0.8163	0.000
1211	1605	2	0.9221	-30.047
1244	1401	2	0.7252	-28.032
1128	1244	2	0.7088	-14.016
1135	1300	2	0.9111	-14.014
1340	1605	2	0.9585	-28.032
1599	1652	2	0.8549	-14.015
1499	1521	2	0.8865	-12.000
1207	1596	2	0.8943	-30.047
1380	1505	2	0.7975	21.998
1503	1522	2	0.8245	-9.995
1211	1295	2	0.8145	-14.016
1124	1380	2	0.7277	-26.035
1300	1304	2	0.8123	35.977
1207	1521	2	0.909	-28.031
1397	1401	2	0.7285	46.005
1478	1605	2	0.8273	15.994
1340	1405	2	0.8626	-14.016
1207	1244	2	0.8323	12.000
1458	1656	2	0.7674	-16.031
1048	1129	2	0.7022	0.036
1429	1605	2	0.8595	-28.032
1554	1555	2	0.8155	-1.003
1500	1726	2	0.8591	-28.030
1498	1651	2	0.7115	-14.016
1244	1521	2	0.791	-40.031
1397	1427	2	0.7328	14.016
1599	1605	2	0.9297	10.028
1450	1652	2	0.9034	-16.031
1048	1054	2	0.8082	0.036
1248	1340	2	0.8575	-14.016
1211	1508	2	0.9023	-16.032
1401	1730	2	0.7239	-14.015
1397	1450	2	0.871	-12.000
1335	1652	2	0.9162	-42.047
1327	1499	2	0.87	-14.016
1502	1555	2	0.8987	-0.036
1499	1596	2	0.8876	-14.016
1556	1730	2	0.8252	-28.031
1207	1327	2	0.8755	-2.016
1505	1552	2	0.7705	-46.041
1499	1651	2	0.716	-28.031
1245	1427	2	0.7863	-14.016
1304	1505	2	0.8028	-27.995
1245	1305	2	0.9113	-46.042
1248	1748	2	0.8538	-42.047
1556	1596	2	0.7082	-28.031
1053	1556	2	0.7226	-28.032
1380	1546	2	0.8341	-14.015
1401	1498	2	0.8594	-14.015
1656	1748	2	0.8516	14.016
1450	1503	2	0.7117	9.995
1651	1656	2	0.7798	-35.977
1405	1458	2	0.7445	-12.000
1405	1500	2	0.8086	-14.017
1449	1556	2	0.7101	26.015
1458	1503	2	0.91	-0.034
1397	1599	2	0.7756	-14.016
1135	1304	2	0.7835	21.963
1304	1434	2	0.7862	-61.993
1055	1340	2	0.8496	-28.032
1429	1656	2	0.7614	-42.047
1327	1596	2	0.9467	-28.031
1300	1380	2	0.8674	-14.016
