ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	666733.6833333333	998522.1733333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2557","main.cluster index_upperinput":"2557"}	This Node is a Singleton	N/A	N/A	N/A	 	8.3498	8.3498	0	N/A	N/A	4995767.57	6	2557	-1	 	6	-87.0244	-1	89.0244	4995767.57
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	3775474.5	1320488.7466666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36","main.cluster index_upperinput":"36"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4230	0.4230	0	N/A	N/A	15287889.739999998	6	36	-1	 	6	-90.9280	-1	92.9280	15287889.739999998
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2204644.3	3254127.966666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3333	0.3333	0	N/A	N/A	16376316.8	6	3	-1	 	6	-90.9280	-1	92.9280	16376316.8
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2478563.1666666665	883271.4433333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35","main.cluster index_upperinput":"35"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4246	0.4246	0	N/A	N/A	10085503.83	6	35	-1	 	6	-92.9251	-1	94.9251	10085503.83
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	582398.3300000001	1391516.6600000001	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3333	0.3333	0	N/A	N/A	5921744.970000001	6	4	-1	 	6	-92.9251	-1	94.9251	5921744.970000001
CTRL,EXP	 	 	162.0	0.0	0.0	0.0	0.0	0.0	0.0	505925.56	427902.21	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"190","main.cluster index_upperinput":"190"}	This Node is a Singleton	N/A	N/A	N/A	 	2.5292	2.5292	0	N/A	N/A	2801483.31	6	190	-1	 	6	-93.0502	-1	95.0502	2801483.31
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	9634412.0	9563601.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2824","main.cluster index_upperinput":"2824"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6371	10.6371	0	N/A	N/A	57594039.0	6	2824	-1	 	6	-94.9601	-1	96.9601	57594039.0
CTRL,EXP	6.0	[M-2H2O+H]+	3.0	0.0	0.0	0.0	0.0	0.0	0.0	178990.57333333333	607236.1466666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"238","main.cluster index_upperinput":"238"}	This Node is a Singleton	N/A	N/A	N/A	 	2.6222	2.6222	0	N/A	N/A	2358680.16	6	238	-1	135.05461	6	-98.0404	-1	100.0404	2358680.16
CTRL,EXP	 	 	82.0	0.0	0.0	0.0	0.0	0.0	0.0	271499.95499999996	554069.0717666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"68","main.cluster index_upperinput":"68"}	This Node is a Singleton	N/A	N/A	N/A	 	1.3338	1.3338	0	N/A	N/A	2476707.0802999996	6	68	-1	 	6	-98.0404	-1	100.0404	2476707.0802999996
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	121507.54533333333	206112.41	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=8fa152f5a5c24ca0bb3e3b1a5ac2b4ae&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2376","main.cluster index_upperinput":"2376"}	This Node is a Singleton	N/A	N/A	N/A	 	7.5959	7.5959	0	N/A	N/A	982859.8659999999	6	2376	-1	 	6	-98.9336	-1	100.9336	982859.8659999999
