CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2617	2682	1	0.953	0.000
2682	2743	1	0.9159	0.000
2729	2776	1	0.9091	-2.014
2652	2713	1	0.8816	-2.012
2773	2776	1	0.914	-26.013
2617	2773	1	0.8748	24.000
2699	2744	1	0.9055	24.000
2652	2729	1	0.9996	-0.000
2682	2773	1	0.836	23.999
2617	2652	1	0.9362	0.000
2682	2729	1	0.9077	0.000
2713	2776	1	0.9317	-0.002
2682	2744	1	0.8881	24.000
2729	2744	1	0.8839	24.000
2617	2699	1	0.9739	0.000
2714	2773	1	0.8469	23.999
2652	2743	1	0.9829	-0.000
2714	2729	1	0.9185	0.000
2617	2743	1	0.9546	0.000
2652	2714	1	0.9179	-0.000
2682	2776	1	0.8517	-2.014
2699	2776	1	0.8713	-2.014
2699	2714	1	0.9923	-0.000
2699	2743	1	0.9373	-0.000
2714	2776	1	0.8646	-2.014
2652	2699	1	0.9254	0.000
2617	2713	1	0.9096	-2.012
2617	2714	1	0.9665	0.000
2652	2744	1	0.8818	24.000
2652	2682	1	0.9079	-0.000
2743	2776	1	0.9338	-2.014
2699	2773	1	0.8539	23.999
2682	2714	1	0.9826	0.000
2713	2729	1	0.8815	2.012
2699	2713	1	0.9023	-2.012
2699	2729	1	0.9256	-0.000
2713	2773	1	0.88	26.011
2743	2744	1	0.9039	24.000
2617	2744	1	0.9277	24.000
2729	2743	1	0.9838	0.000
2744	2776	1	0.8994	-26.014
2744	2773	1	0.9493	-0.000
2617	2729	1	0.9359	0.000
2682	2713	1	0.8945	-2.012
2714	2744	1	0.8996	24.000
2713	2744	1	0.9196	26.012
2713	2743	1	0.8992	2.012
2713	2714	1	0.8964	2.012
2714	2743	1	0.9299	0.000
2652	2776	1	0.9076	-2.014
2617	2776	1	0.8885	-2.014
2743	2773	1	0.9175	23.999
2682	2699	1	0.9774	0.000
208	522	2	0.8139	2.006
216	245	2	0.8177	13.990
207	417	2	0.8608	39.992
166	245	2	0.808	27.022
439	552	2	0.7988	-284.137
519	621	2	0.7996	-268.142
204	467	2	0.898	-150.105
417	439	2	0.874	15.995
242	245	2	0.7751	-1.001
203	241	2	0.8085	71.037
208	209	2	0.8411	1.002
201	206	2	0.8338	-18.001
210	467	2	0.9519	89.048
401	583	2	0.7744	-106.005
217	467	2	0.8885	-128.123
241	583	2	0.7173	-205.074
629	632	2	0.892	-15.995
611	620	2	0.9258	-222.077
201	439	2	0.8483	18.010
555	632	2	0.8223	18.011
207	407	2	0.8568	83.035
210	217	2	0.8903	217.171
191	208	2	0.8105	0.010
167	293	2	0.7802	-55.023
217	225	2	0.9647	-168.115
203	401	2	0.9668	-28.031
217	407	2	0.8446	-156.118
208	333	2	0.8144	20.016
209	293	2	0.7026	-13.012
249	253	2	0.8312	168.115
444	616	2	0.8717	-276.171
204	521	2	0.9056	-235.158
77	293	2	0.8628	-56.026
209	522	2	0.7573	1.004
182	197	2	0.8902	-0.048
481	518	2	0.9371	-222.078
552	555	2	0.8691	-15.995
206	517	2	0.9088	3.994
438	618	2	0.8625	288.131
166	230	2	0.8199	27.011
77	333	2	0.7153	-24.000
203	522	2	0.9299	0.000
555	611	2	0.8268	172.085
401	677	2	0.9784	28.031
241	242	2	0.7317	-1.003
522	677	2	0.9737	-0.000
481	521	2	0.9325	-186.101
358	632	2	0.8346	-395.206
293	401	2	0.9884	-14.016
216	242	2	0.7368	14.992
228	230	2	0.8021	1.003
167	241	2	0.8125	30.030
216	241	2	0.7518	15.995
417	518	2	0.8921	-49.992
207	518	2	0.9292	-10.000
210	618	2	0.8478	-280.142
225	249	2	0.9039	71.037
437	517	2	0.8473	-15.019
204	207	2	0.9255	-261.134
204	217	2	0.9712	-21.982
481	487	2	0.8936	-186.101
555	629	2	0.8321	34.005
203	333	2	0.8162	18.011
518	618	2	0.8917	-248.161
191	230	2	0.7731	71.037
417	481	2	0.9065	172.085
293	583	2	0.7856	-120.021
209	358	2	0.7562	-154.054
219	242	2	0.7236	15.995
325	632	2	0.8419	-380.195
77	583	2	0.8005	-176.047
438	611	2	0.897	474.232
170	203	2	0.8098	-41.027
77	241	2	0.897	29.027
89	166	2	0.8998	-28.031
417	618	2	0.8647	-298.153
331	337	2	0.7463	-184.085
201	417	2	0.8875	2.016
217	521	2	0.8606	-213.176
484	519	2	0.8645	-186.101
210	518	2	0.9351	-31.982
293	677	2	0.9613	14.016
209	242	2	0.7665	71.037
167	170	2	0.9515	0.019
417	467	2	0.8869	71.037
611	616	2	0.7846	-249.096
225	521	2	0.8919	-45.060
401	522	2	0.954	28.032
170	401	2	0.8371	-69.058
167	401	2	0.774	-69.039
170	677	2	0.8496	-41.027
241	245	2	0.8204	-2.005
552	629	2	0.887	18.010
201	518	2	0.8526	-47.977
552	632	2	0.7309	2.016
333	334	2	0.7632	-32.026
241	293	2	0.8417	-85.053
618	620	2	0.9842	-35.977
417	521	2	0.8508	-14.016
225	467	2	0.9176	39.992
335	337	2	0.9027	-280.187
209	401	2	0.701	-27.028
617	618	2	0.9028	-15.995
467	521	2	0.9442	-85.053
245	331	2	0.8641	-215.127
203	293	2	0.9535	-14.016
209	333	2	0.7338	19.014
611	618	2	0.9061	-186.101
293	522	2	0.9565	14.016
517	617	2	0.7548	-266.136
210	521	2	0.967	3.995
467	518	2	0.937	-121.030
358	629	2	0.7979	-379.211
204	225	2	0.943	-190.097
204	481	2	0.9295	-49.057
417	632	2	0.8511	-266.126
616	621	2	0.8989	15.995
191	333	2	0.7619	20.026
437	555	2	0.8668	-283.134
208	245	2	0.7559	71.038
210	417	2	0.8654	18.011
206	441	2	0.8408	18.010
514	632	2	0.7198	70.922
170	293	2	0.8424	-55.042
334	339	2	0.7916	-1.003
203	208	2	0.8327	-2.005
207	225	2	0.9322	71.037
437	441	2	0.8478	-1.003
438	620	2	0.8938	252.154
325	358	2	0.8492	15.011
77	203	2	0.8739	-42.011
240	249	2	0.9683	-21.982
249	260	2	0.955	185.105
77	401	2	0.8649	-70.042
204	484	2	0.9225	-112.053
210	481	2	0.9597	190.096
207	521	2	0.9402	25.977
203	677	2	0.948	0.000
444	611	2	0.8732	-27.075
333	677	2	0.7876	-18.011
207	467	2	0.9518	111.030
519	616	2	0.8275	-284.137
467	481	2	0.968	101.048
407	467	2	0.8676	27.995
484	616	2	0.7503	-470.238
439	555	2	0.8187	-300.132
207	217	2	0.8972	239.152
441	517	2	0.899	-14.016
555	620	2	0.8224	-49.992
216	230	2	0.7931	13.979
325	629	2	0.7885	-364.200
225	481	2	0.9064	141.040
207	481	2	0.9555	212.078
191	245	2	0.8032	71.048
166	216	2	0.7986	13.032
518	620	2	0.8686	-284.137
204	518	2	0.8471	-271.134
437	439	2	0.8436	16.998
217	481	2	0.8986	-27.075
207	210	2	0.9699	21.982
228	327	2	0.884	-215.116
230	241	2	0.8256	2.016
77	167	2	0.7595	-1.003
518	521	2	0.9391	35.977
197	333	2	0.7297	2.016
208	677	2	0.8195	2.005
201	437	2	0.8763	1.012
167	677	2	0.7653	-41.008
228	242	2	0.8511	2.016
210	225	2	0.9227	49.055
213	552	2	0.7219	73.998
521	618	2	0.841	-284.137
230	245	2	0.9563	0.011
204	210	2	0.9364	-239.153
438	616	2	0.7026	225.136
206	213	2	0.8205	-322.124
228	245	2	0.8122	1.014
225	407	2	0.8293	11.997
241	401	2	0.8261	-99.069
333	341	2	0.716	112.053
476	2322	3	0.8173	0.070
1170	1512	3	0.8732	11.964
112	2322	3	0.9706	0.070
1786	1787	3	0.9572	-1.003
2322	2486	3	0.9389	0.000
510	2486	3	0.9259	0.070
510	2385	3	0.9602	0.070
269	548	3	0.7433	0.000
272	2486	3	0.8995	0.070
2322	2528	3	0.8761	0.000
1215	1254	3	0.8304	-440.184
1263	1512	3	0.8374	454.162
475	476	3	0.7378	1.003
727	2279	3	0.7854	-1.910
2279	2322	3	0.9984	0.000
549	690	3	0.8888	1.979
272	2279	3	0.9187	0.070
1254	1257	3	0.9799	-15.995
112	510	3	0.9598	0.000
363	2322	3	0.9787	0.070
112	476	3	0.863	0.000
363	2486	3	0.9418	0.070
272	510	3	0.9504	0.000
1263	1268	3	0.7589	379.202
1170	1215	3	0.9158	0.000
1215	1263	3	0.8269	-442.198
1215	1255	3	0.7331	-443.202
1170	1263	3	0.7813	-442.198
548	690	3	0.815	2.983
549	1215	3	0.7181	-260.141
363	2385	3	0.9816	0.070
476	2486	3	0.7998	0.070
1453	1786	3	0.9633	15.995
1170	1250	3	0.8575	-432.215
363	2528	3	0.834	0.070
346	727	3	0.8491	0.000
112	2486	3	0.9399	0.070
346	690	3	0.8613	0.000
1250	1254	3	0.9232	-7.969
476	510	3	0.8278	0.000
1255	1267	3	0.7265	-2.009
2279	2486	3	0.9361	0.000
1170	1254	3	0.7837	-440.184
269	475	3	0.7306	0.000
1254	1512	3	0.8583	452.147
1258	1263	3	0.817	21.983
727	2385	3	0.7912	-1.910
112	2279	3	0.9717	0.070
1453	1787	3	0.948	14.991
510	2528	3	0.8233	0.070
510	2322	3	0.9583	0.070
1224	1258	3	0.8376	-379.204
183	269	3	0.7412	-1.003
1255	1257	3	0.7398	-12.977
1539	1544	3	0.8824	1.003
476	2385	3	0.8183	0.070
1453	1512	3	0.9706	2.016
271	346	3	0.8855	0.000
1257	1263	3	0.9682	13.981
271	2528	3	0.7452	-1.910
346	549	3	0.7817	-1.979
183	272	3	0.8514	-0.000
1554	1786	3	0.9307	11.964
510	2279	3	0.961	0.070
1449	1787	3	0.9744	15.995
363	510	3	0.9622	0.000
363	2279	3	0.9822	0.070
183	549	3	0.7758	-0.000
269	690	3	0.7078	2.983
2486	2528	3	0.8812	0.000
1170	1255	3	0.7031	-443.202
272	346	3	0.8272	1.979
1170	1258	3	0.7676	-464.181
363	727	3	0.7865	1.979
476	2279	3	0.8152	0.070
363	476	3	0.8317	0.000
271	690	3	0.8153	0.000
1254	1263	3	0.9733	-2.014
548	549	3	0.8333	1.003
1263	1267	3	0.7047	-3.014
1250	1257	3	0.9204	-23.964
1250	1263	3	0.9123	-9.983
272	363	3	0.9192	-0.000
2279	2385	3	0.981	0.000
269	346	3	0.7444	2.983
510	549	3	0.8299	0.000
1255	1512	3	0.7081	455.166
1255	1263	3	0.8256	1.004
183	346	3	0.8297	1.979
112	2385	3	0.9715	0.070
1170	1224	3	0.818	-84.978
1702	1787	3	0.9628	-3.019
183	690	3	0.738	1.979
1254	1255	3	0.7592	-3.018
727	2322	3	0.7886	-1.910
1215	1512	3	0.9096	11.964
1544	1702	3	0.7453	18.011
112	363	3	0.9822	-0.000
1512	1787	3	0.9578	12.976
112	272	3	0.9193	0.000
271	2486	3	0.7953	-1.910
2322	2385	3	0.9789	0.000
1512	1702	3	0.9789	15.995
272	549	3	0.8211	0.000
2385	2486	3	0.9683	0.000
272	2322	3	0.9189	0.070
1250	1255	3	0.739	-10.987
271	727	3	0.8372	0.000
1215	1554	3	0.9178	13.979
112	2528	3	0.8315	0.070
476	2528	3	0.7445	0.070
2385	2528	3	0.8762	0.000
1702	1786	3	0.9839	-2.016
2279	2528	3	0.8753	0.000
1215	1250	3	0.8116	-432.215
272	2385	3	0.9197	0.070
1512	1786	3	0.9753	13.979
112	727	3	0.7921	1.979
1453	1702	3	0.9692	18.011
790	1129	4	0.7727	17.007
1045	1124	4	0.7993	0.010
1536	1954	4	0.9639	-28.031
1536	1937	4	0.909	-16.031
1121	1396	4	0.7223	25.943
1576	1806	4	0.7659	-28.031
1816	2124	4	0.7378	-28.740
1038	1129	4	0.8318	2.016
1937	2030	4	0.9359	-14.016
1634	1985	4	0.9911	-28.031
1463	1634	4	0.8897	-60.058
790	945	4	0.9616	-30.011
1326	1328	4	0.9736	25.032
1687	1811	4	0.7789	-14.016
799	934	4	0.8464	428.184
1631	1992	4	0.8735	-28.031
1835	1870	4	0.7195	-47.978
1463	1985	4	0.8731	-88.089
2029	2042	4	0.7943	-8.031
1536	1938	4	0.8969	-17.035
1836	1991	4	0.985	-14.016
1121	1246	4	0.9014	15.995
1043	1051	4	0.7046	42.996
1679	2037	4	0.9661	-28.032
1689	1937	4	0.9395	-14.016
1688	2035	4	0.8222	-28.031
1689	1814	4	0.8618	-14.016
1121	1129	4	0.8669	-1.003
1687	2031	4	0.955	-28.031
1811	1814	4	0.8475	-10.029
1954	2030	4	0.9407	-2.016
1814	2103	4	0.9421	-28.031
1929	1930	4	0.7355	-27.019
1851	2032	4	0.7998	-28.031
