CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3010	3466	1	0.8198	15.995
3574	3799	1	0.9106	-14.016
3135	3212	1	0.9289	68.063
3290	3371	1	0.7094	-28.031
3371	3574	1	0.839	68.062
2427	2738	1	0.7312	43.006
940	1469	1	0.7171	-27.011
3010	3208	1	0.9407	-33.960
2845	3409	1	0.78	15.994
3208	3466	1	0.7569	49.955
3009	3010	1	0.9335	-68.063
940	3009	1	0.7134	-27.011
3009	3212	1	0.9267	-33.961
940	1692	1	0.8552	15.995
2845	3214	1	0.894	-28.031
3208	3371	1	0.8396	49.955
2703	3799	1	0.7254	0.001
2427	3466	1	0.7756	-68.062
3409	3797	1	0.8929	-28.031
1469	3574	1	0.894	15.995
3135	3208	1	0.8551	0.001
3009	3574	1	0.9068	15.995
1469	3212	1	0.9294	-33.961
3135	3371	1	0.9504	49.956
1469	2427	1	0.8593	15.995
2738	3466	1	0.7295	-111.069
3208	3212	1	0.9179	68.062
1469	3009	1	0.9781	-0.000
3409	3578	1	0.9116	-14.016
2427	3009	1	0.8481	-15.995
3290	3797	1	0.7567	-42.047
2703	3574	1	0.7982	14.016
2427	3371	1	0.8094	-68.063
1692	2738	1	0.75	15.995
2343	2427	1	0.7589	0.048
3135	3466	1	0.8768	49.956
3371	3466	1	0.9248	0.000
3208	3578	1	0.7787	49.955
1469	3010	1	0.9235	-68.063
3010	3214	1	0.7846	-14.015
3010	3135	1	0.8148	-33.961
3010	3578	1	0.8182	15.995
2427	3291	1	0.9542	28.031
2738	3371	1	0.7904	-111.069
3290	3409	1	0.9157	-14.016
2343	3574	1	0.8264	0.048
2427	3799	1	0.7615	-14.016
3466	3574	1	0.8212	68.062
3010	3371	1	0.853	15.995
2427	3212	1	0.8361	-49.956
2845	3010	1	0.8923	-14.016
3291	3574	1	0.7993	-28.031
3212	3574	1	0.8568	49.956
2427	3574	1	0.7897	-0.000
3214	3797	1	0.7051	15.995
3290	3578	1	0.9136	-28.031
3797	3799	1	0.7852	68.062
3578	3797	1	0.8905	-14.015
4232	4255	3	0.8602	-0.146
3873	4255	3	0.805	-0.145
3601	3750	4	0.8658	0.000
