CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
5095	5480	1	0.7107	13.989
5555	5636	1	0.7779	0.000
5485	5494	1	0.797	-17.027
5485	5495	1	0.7091	32.027
2494	4420	1	0.7044	-30.011
5477	5495	1	0.7059	-42.010
3504	4420	1	0.7325	-48.021
5094	5480	1	0.7666	-3.038
2545	4420	1	0.7526	-30.083
4929	5094	1	0.7493	-32.026
5094	5095	1	0.8778	-17.027
2494	2545	1	0.958	0.073
4420	4696	1	0.7595	-3.011
5477	5504	1	0.7088	-14.015
5095	5636	1	0.7162	18.011
5095	5555	1	0.779	18.011
4420	5485	1	0.7079	-2.016
5095	5494	1	0.7329	15.995
4796	5485	1	0.7403	-32.026
4796	4929	1	0.8363	-15.995
5493	5515	2	0.751	18.120
4876	4978	2	0.7717	18.010
5664	5668	2	0.8782	1.003
3744	4839	2	0.8078	-2.016
2554	3919	2	0.7419	-32.026
4562	4567	2	0.8668	1.003
5874	6012	2	0.8167	137.995
4942	6030	2	0.8653	-3.019
5805	5874	2	0.7579	2.016
2752	4980	2	0.7391	31.990
5667	5760	2	0.8941	-0.109
4933	5107	2	0.9797	-0.119
4562	5883	2	0.8484	-67.049
5426	6155	2	0.7339	-27.995
4825	5718	2	0.7406	-240.042
5647	5849	2	0.7621	-14.016
4418	4510	2	0.8595	0.000
3510	4510	2	0.8226	-2.016
2070	4839	2	0.8245	-2.016
4257	4876	2	0.8703	-18.010
4152	4249	2	0.7308	1.013
2780	3510	2	0.9198	0.000
4475	4874	2	0.9231	-0.167
5644	5856	2	0.724	13.979
4839	5644	2	0.8163	-234.162
5157	5426	2	0.7374	-146.146
2070	4418	2	0.8218	-2.016
4153	5434	2	0.8626	109.078
5656	6030	2	0.9381	1.003
3212	4825	2	0.7374	131.103
5874	5923	2	0.8072	-2.016
4562	5886	2	0.9543	-68.051
4510	5644	2	0.8091	-234.162
3510	4418	2	0.8376	-2.016
3575	4257	2	0.8864	-0.000
2752	5157	2	0.7552	15.995
2070	3510	2	0.9706	0.000
4946	5886	2	0.937	-1.001
3715	4876	2	0.8023	-18.010
4978	5434	2	0.7415	109.078
2554	3744	2	0.8682	-14.016
4562	5664	2	0.9552	-68.063
5688	5886	2	0.9493	2.017
4248	4249	2	0.9062	1.003
5426	6075	2	0.7384	2.016
5656	5886	2	0.9301	1.014
4946	5688	2	0.9534	-3.018
5805	5923	2	0.73	-0.000
4946	5656	2	0.9303	-2.016
2239	5434	2	0.8084	-0.000
5668	5883	2	0.896	0.011
4877	4980	2	0.8507	0.000
4877	5157	2	0.7559	-15.995
5667	6132	2	0.7787	17.873
4788	4877	2	0.8292	30.010
4510	5157	2	0.8055	-74.037
4562	4731	2	0.8754	-84.057
4257	4368	2	0.9785	0.000
5883	5983	2	0.8284	2.005
4942	5883	2	0.8613	-2.005
5913	6077	2	0.8087	-48.021
4946	5512	2	0.938	1.003
5724	5923	2	0.9051	-1.013
4825	5883	2	0.885	-242.047
4368	5157	2	0.7765	58.042
4932	5923	2	0.7761	-1.013
5664	6132	2	0.9608	-0.137
4942	5735	2	0.8696	-2.004
4825	5874	2	0.8385	-240.042
2780	3351	2	0.9028	-0.000
2780	3356	2	0.7556	-18.011
4257	5434	2	0.8221	109.078
3744	3920	2	0.8507	-0.000
2067	3356	2	0.7554	-0.000
5644	6075	2	0.7913	15.995
5874	5983	2	0.9392	0.000
4368	4877	2	0.7729	74.037
4562	4946	2	0.9218	-67.050
3715	4257	2	0.9275	0.000
4257	4978	2	0.8331	0.000
4734	4942	2	0.8618	18.011
5669	5670	2	0.7978	1.002
5688	6030	2	0.9592	2.005
4734	5805	2	0.7767	15.995
3715	5426	2	0.7796	-88.104
5417	5515	2	0.8543	0.182
5723	5789	2	0.864	0.984
4562	5656	2	0.9554	-69.065
4153	4475	2	0.7491	0.167
2070	3920	2	0.9328	0.000
4153	4368	2	0.9342	0.000
2070	3351	2	0.9014	0.000
4825	5735	2	0.8756	-242.046
3575	4978	2	0.8047	-0.000
4946	5724	2	0.8648	1.003
4562	6030	2	0.9597	-68.063
5157	5856	2	0.7349	-146.146
5724	5883	2	0.9248	-1.002
5142	5643	2	0.7509	-18.995
5426	5856	2	0.8137	0.000
5656	5688	2	0.9682	-1.002
5805	5983	2	0.795	2.016
4039	4980	2	0.7874	15.995
3351	3744	2	0.8143	0.000
5512	5923	2	0.9434	-1.013
2070	2554	2	0.8944	14.016
3510	3744	2	0.8685	0.000
4257	4980	2	0.7635	74.037
