row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Anid-TJGIp11_3_Run252.mzML Peak area,2024_POS_Anid-EV-gpdA_CTRL_2_Run208.mzML Peak area,2024_POS_Anid-EV-gpdA_CTRL_1_Run188.mzML Peak area,2024_POS_Anid-TJGIp11_2_Run205.mzML Peak area,2024_POS_Anid-EV-gpdA_CTRL_3_Run238.mzML Peak area,2024_POS_Anid-TJGIp11_1_Run167.mzML Peak area,
27,80.94781995143539,0.33412933,,,,109,,,,,,,3693177.0,2540115.2,1122302.9,1263128.9,1290875.4,1569463.8,
6593,81.52051915066565,10.596236,,,,210,,,,,,,1793592.8,2185338.0,1700055.1,2282736.8,2014132.2,2126535.5,
28,82.94485209925445,0.3349429,,,,109,,,,,,,775229.9,1714402.9,612075.1,478614.38,472444.16,936310.0,
70,83.02153235380446,0.3977122,,,,149,,,,,,,1841691.4,1016918.5,13026.16,1173661.9,146845.16,146177.61,
368,85.02836750219177,1.4990492,,,,,,,,,,,4095543.5,422376.8,6608052.0,245839.3,1393110.0,3980322.8,
392,85.02837065598993,1.8409015,,,,,,,,,,,2.1079904E7,395193.75,1271120.4,327593.56,1.152398E7,471521.56,
184,85.07596917126351,0.5146881,,,,,,,,,,,254974.83,2188000.0,5358.2905,3602.5693,4213.071,55997.168,
249,86.05998637111126,0.86500233,,,,132,,,,,,,1359272.0,243404.19,3267199.8,3934573.0,7337470.0,5005537.5,
975,86.06006111530718,2.9227705,,,,,,,,,,,72889.76,120864.14,17485.574,34901.92,158876.5,94480.25,
244,86.096369737587,0.7913709,,,,194,,,,,,,3110498.5,55930.68,6159518.0,5761265.0,6851351.0,7045873.0,
6565,89.5066458723022,10.378715,,,,168,,,,,,,5266827.5,4676139.5,3699765.2,4867677.5,3984295.2,6464547.0,
