row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp1_3_Run186.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp1_2_Run100.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,NEG_TJGIp1_1_Run35.mzML Peak area,Unnamed: 19
54,89.02430886625706,0.49225736,,,,,,,,,,,2056341.8,398051.66,1129147.0,1317736.0,694794.6,1145473.8,
4,92.9279590486827,0.34371433,,,,4.0,,,,,,,1022924.06,894798.6,1028006.4,1063920.2,1000870.56,1133578.5,
5,94.92503291057362,0.34371433,,,,4.0,,,,,,,690371.7,583884.56,702202.94,697151.94,659705.4,751079.75,
701,96.96004798767687,5.9011426,,,,,,,,,,,120203.875,320663.62,245048.53,177821.38,1251070.6,629007.06,
2108,96.9600694966157,11.01961,,,,,,,,,,,4050417.8,3910449.2,3710812.0,3948840.0,3078400.2,3316665.5,
3,96.96014490696663,0.32820123,,,,,,,,,,,2392139.8,10520700.0,8105709.0,3073985.5,13735668.0,11701953.0,
35,96.9694995773717,0.39651635,,,,4.0,,,,,,,7055410.0,8238824.0,7602993.5,5932888.5,7692605.0,8420960.0,
2015,99.92575065461672,10.19738,,,,,,,,,,,1854793.9,2590366.8,2995903.2,2331302.0,2707960.8,3258736.0,
1888,99.925779178413,8.456452,,,,164.0,,,,,,,4669840.0,6086673.5,35269036.0,4864153.0,43126170.0,33277572.0,
1716,99.92579623427643,8.153499,,,,44.0,,,,,,,28051530.0,34104164.0,6447426.0,31503694.0,8149373.5,6077469.0,
1873,100.92594981795759,8.439642999999998,,,,,,,,,,,528866.2,451309.8,425145.66,545988.06,4942311.0,945194.06,
1564,100.93359442912146,7.7225779999999995,,,,67.0,,,,,,,13110532.0,4052828.0,2800546.0,4212288.0,5677018.5,4189384.5,
1757,100.93362036657702,8.135978999999999,,,,44.0,,,,,,,3211216.2,14243608.0,14671536.0,16547613.0,11269412.0,2523654.8,
31,103.00367889156796,0.3869692,,,,4.0,,,,,,,1306629.9,1058081.2,1042408.94,1361157.9,1063521.4,1044952.6,
1870,106.04100805613287,8.434771000000001,,,,,,,,,,,83719.73,404567.88,111606.69,22998.25,0.0,17006.754,
1985,106.04103346108572,9.693126,,,,,,,,,,,58244.3,374948.34,44584.574,32517.996,9931.633,23327.664,
1991,106.0410346570094,9.896322,,,,,,,,,,,221809.8,1434502.8,180931.7,54827.957,28956.605,13153.431999999999,
2006,106.04103612312835,10.165778999999999,,,,,,,,,,,53377.117,2485600.2,801622.0,103950.016,28653.504,37718.31,
1895,106.04103713469358,8.51395,,,,,,,,,,,83719.73,694467.6,64158.01,22598.382999999998,21196.8,17006.754,
1971,106.04104567368744,9.534711,,,,,,,,,,,59269.715,221833.27,29692.701,39969.29,8401.851999999999,12341.444,
1986,106.041046398279,9.736085000000001,,,,,,,,,,,58437.835999999996,506451.38,209061.48,56725.918,9931.633,9428.475,
1969,106.04105530628878,9.489606,,,,,,,,,,,59269.715,712484.7,77839.79,39969.29,27026.906000000003,12341.444,
1999,106.04105597350927,10.045482000000002,,,,,,,,,,,238581.33,476928.7,43409.164000000004,69418.38,28956.605,37718.31,
119,107.05025728559627,2.7580395,,,,,,,,,,,563524.4,649416.2,575992.1,798886.56,595567.7,675616.4,
2047,112.98559151843912,10.243176,,,,,,,,,,,6071877.5,8357584.0,8241614.5,6271658.5,8260289.5,6231205.0,
2086,112.98562826786645,10.46617,,,,,,,,,,,3746518.2,4733209.0,6213563.5,4409410.0,4527687.0,5525290.5,
2021,113.92618874145307,10.204301,,,,,,,,,,,319911.5,509404.16,553139.56,473675.97,517163.7,436166.97,
1565,113.92621878693329,7.726089,,,,67.0,,,,,,,6857329.5,1436804.1,297248.72,1039605.44,1677141.2,1031764.44,
1881,113.9262323188756,8.453797,,,,,,,,,,,1061662.2,793803.5,1557114.1,1189951.9,1896064.5,5860580.0,
1780,113.92626372662998,8.137673,,,,44.0,8.0,[M+K]+,,2.0,1799;1780,74.96323000000001,1106210.9,5106408.5,5107239.0,6382793.5,3205554.2,725058.7,
2012,114.93404100643292,10.207816000000001,,,,,,,,,,,210164.48,365928.28,421863.34,322450.28,497230.94,402273.9,
1329,114.93405475698994,7.4454675,,,,107.0,5.0,[M+K]+,,2.0,1342;1329,75.97103,863351.8,687006.4,998199.5,984459.1,376597.53,388906.6,
1478,114.93405979632065,7.682110300000001,,,,9.0,6.0,[M+K]+,,2.0,1478;1480,75.97103,1395827.9,1542290.0,1442786.1,2126714.5,1832431.9,1305057.0,
1778,114.9341102953938,8.136115,,,,,,,,,,,806734.0,2845032.8,1245610.0,1058015.1,5101859.5,3833068.2,
46,115.0036741437655,0.4472848,,,,,,,,,,,1744964.0,1136219.5,1291408.9,1590499.5,1034208.5,1557967.8,
60,115.00369363851264,0.5906560000000001,,,,,,,,,,,1916687.9,997750.25,1073970.5,1799291.5,971877.25,2659599.2,
2017,115.92067233320006,10.206901,,,,,,,,,,,9832261.0,10155397.0,10728468.0,9391858.0,10400248.0,8783717.0,
1566,115.92069879270204,7.7291164000000006,,,,67.0,,,,,,,134556020.0,28176364.0,28403274.0,27651174.0,32853150.0,24512690.0,
1882,115.92070541103762,8.453797,,,,,,,,,,,20355318.0,25680346.0,29991098.0,23012684.0,36375332.0,109748104.0,
1758,115.92073954703152,8.13763,,,,44.0,,,,,,,22067606.0,98872540.0,98729950.0,123842540.0,61733464.0,27865260.0,
1769,116.92846454312695,8.134437,,,,44.0,7.0,[M-H+2Na]+,,2.0,1769;1787,71.95769,16523334.0,53779132.0,41542120.0,19933286.0,49057524.0,74025544.0,
1480,116.92846682137241,7.682151299999999,,,,9.0,6.0,[2M-2H2O+H]+,,2.0,1478;1480,75.97103,36267188.0,56168676.0,43356950.0,41318080.0,36398400.0,25740770.0,
1342,116.92848149361109,7.445496,,,,107.0,5.0,[2M-2H2O+H]+,,2.0,1329;1342,75.97103,16753697.0,15069966.0,19955538.0,19421652.0,9747965.0,9038155.0,
324,117.0191706959922,4.670471,,,,40.0,,,,,,,77556.95,187922.3,79009.875,214891.25,169803.77,85869.43,
64,117.01933715152614,0.6441164,,,,174.0,,,,,,,11642838.0,6385702.5,8101254.5,12741838.0,6860707.5,9711518.0,
43,117.01933855366177,0.4867338,,,,,,,,,,,4598616.0,1853200.6,2133874.2,1215609.5,1607832.0,2343431.2,
76,117.0193484335808,0.78397924,,,,,,,,,,,312122.8,126052.14,225736.98,190668.66,71057.95,212332.56,
93,117.01935317517272,2.1524415,,,,,,,,,,,12548.223,0.0,8145.0547,0.0,0.0,138495.0,
79,117.01936364429358,0.9962578999999999,,,,,,,,,,,42360.793,4234.626,55785.91,64807.89,3801.5571,0.0,
1760,117.91905598048035,8.135985,,,,44.0,,,,,,,529110.94,2776061.8,2849141.2,550085.9,1773235.6,424184.22,
2014,117.9285624450185,10.204356,,,,,,,,,,,872639.8,832159.2,959854.5,753115.4,1127822.2,898714.44,
1730,117.92859170282208,8.131959,,,,44.0,,,,,,,1849759.1,5262752.0,5004012.5,2374752.2,5625166.0,9025046.0,
1469,117.92859545390199,7.681242500000001,,,,9.0,,,,,,,4136175.0,4363894.5,5061668.0,5014686.5,4010835.8,2544166.2,
69,118.0509201257172,0.64918095,,,,,,,,,,,762974.6,851550.6,1812357.4,957602.8,363531.47,284855.03,
50,118.05094700418448,0.41278812,,,,,,,,,,,29565038.0,9096392.0,6236459.0,28946918.0,6042221.5,4557396.5,
11,118.05095845846851,0.36642766,,,,4.0,,,,,,,52545130.0,27042488.0,27130032.0,63234904.0,19902292.0,15287702.0,
572,118.05095861313534,5.5407124,,,,,,,,,,,46577.78,161672.33,120851.14,35293.74,273063.56,292497.4,
131,118.05097791160723,2.9262083,,,,,,,,,,,18225.225,282126.3,165262.58,42014.984000000004,117083.08,133064.38,
108,118.0509827853757,2.4246173,,,,,,,,,,,155663.58,169581.36,223977.55,151855.11,0.0,199589.66,
98,118.0509965264504,2.2074466,,,,,,,,,,,29674.43,390735.03,270702.5,150826.5,0.0,193586.95,
91,118.05099695376506,2.1513984,,,,,,,,,,,29674.43,195165.86,1115729.0,94600.55,0.0,222999.42,
87,118.05099997753722,1.5009874,,,,,,,,,,,205584.67,44322.883,159146.73,174180.88,3971.3203,122454.81,
2002,118.89962006123842,10.154273,,,,,,,,,,,107161.49,174476.28,261389.75,120262.13,2878522.5,3173226.0,
1490,118.92677992881865,7.683700599999999,,,,9.0,,,,,,,1118073.2,1044094.7,1297019.9,1232821.8,704681.25,521360.62,
1747,118.92680381891245,8.135173,,,,44.0,,,,,,,448758.5,1336505.1,1199943.4,241592.83,1617408.1,430930.44,
7,119.94687590285272,0.34937224,,,,4.0,,,,,,,1768828.6,1439877.9,1728391.6,1809008.1,1617925.6,1886033.0,
143,120.04546254401971,3.0528157000000005,,,,11.0,,,,,,,446153.72,548120.7,434773.12,624624.94,490706.8,481425.9,
111,121.02951579535109,2.5767195,,,,,,,,,,,1003757.3,818958.6,1173080.0,839435.0,638061.44,989035.7,
163,121.02952368987239,3.3227935,,,,,,,,,,,75260.72,159296.6,182917.98,54215.19,0.0,3502.8484,
8,121.94397994866192,0.34937224,,,,4.0,,,,,,,569584.56,469841.75,580039.3,607113.2,532485.1,615097.8,
177,125.09714041164095,3.45055,,,,116.0,,,,,,,717806.44,917931.3,666419.56,1027148.06,1031570.2,852679.06,
27,128.03527121309278,0.38922194,,,,4.0,,,,,,,3162228.8,1201806.6,1400239.1,2599376.5,779692.1,1037354.06,
61,128.03529491127384,0.6045611,,,,,,,,,,,4105534.0,1730863.5,2422194.2,3759399.8,2531466.5,3910704.2,
71,130.08728826607674,0.7328949,,,,,,,,,,,2444944.8,796914.2,1685607.5,2582480.5,679894.25,1348016.4,
130,130.0873276469968,2.908665,,,,47.0,,,,,,,223746.38,207327.48,390612.1,204167.9,166496.08,241207.94,
112,130.0873334676022,2.5805879000000003,,,,,,,,,,,109366.64,164597.6,375957.25,172575.66,38307.04,85608.734,
121,131.07133784185672,2.7841632,,,,144.0,,,,,,,4775264.5,3590300.8,4758463.0,4442848.0,4101108.8,6110299.5,
1403,132.90016116861247,7.58443,,,,,,,,,,,26017.362999999998,155480.11,50850.617,80660.95,709775.4,141847.56,
