CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1761	2205	1	0.9971	-40.031
2535	4157	1	0.9989	108.130
2851	3331	1	0.9985	2.016
600	1761	1	0.9997	-24.109
2013	2489	1	0.9979	-162.176
556	4157	1	0.9997	-82.150
1937	2205	1	0.9974	-50.052
600	2152	1	0.998	-54.119
3357	4167	1	0.9943	-25.948
1761	2152	1	0.9979	-30.010
3146	3357	1	0.9946	11.968
2641	3058	1	0.9999	52.031
2810	3146	1	0.9975	-26.015
332	2378	1	0.9967	-418.344
2508	3146	1	0.9988	-26.015
2535	3141	1	0.9999	-0.000
2653	3331	1	0.9987	-122.108
3144	4167	1	0.9937	-25.948
2653	4119	1	0.9996	-112.155
1937	2601	1	0.9999	-10.021
600	4135	1	0.9998	-68.135
2411	3318	1	0.9981	-68.135
600	2205	1	0.9972	-64.140
2158	4157	1	0.999	-28.031
2152	2535	1	0.9981	-80.135
2146	2653	1	0.9962	54.011
332	1761	1	0.999	-234.234
2508	2851	1	0.9964	-26.015
2432	2601	1	0.9974	38.016
2152	2601	1	0.9979	30.011
3144	3319	1	0.9937	32.056
2508	3357	1	0.9966	-14.047
600	2783	1	0.9998	-50.124
2810	3357	1	0.9948	-14.047
3318	4157	1	0.9986	108.131
3144	3146	1	0.9948	-11.968
2378	4167	1	0.9972	31.990
2411	2535	1	0.9998	-68.135
2396	4167	1	0.9947	15.995
600	2601	1	0.9999	-24.109
2411	3058	1	0.9977	24.000
3144	3357	1	0.9999	0.000
556	2617	1	0.998	-164.192
332	2601	1	0.9991	-234.234
2432	4135	1	0.9974	-6.010
2508	4167	1	0.9941	-39.995
556	3141	1	0.9979	-190.281
1761	1937	1	0.9997	10.021
1761	2378	1	0.9973	-184.109
2432	2783	1	0.9975	12.000
2152	2783	1	0.9979	3.995
2617	3141	1	0.9999	-26.089
1761	2783	1	0.9996	-26.015
2489	3147	1	0.9988	-0.001
654	2432	1	0.9979	-78.120
654	4157	1	0.999	-42.119
3142	3319	1	0.9959	26.015
600	1937	1	0.9999	-14.088
3319	3357	1	0.9942	-32.056
332	600	1	0.9992	-210.125
654	2158	1	0.9999	-14.088
332	2205	1	0.9959	-274.265
2158	2432	1	0.9979	-64.031
1761	2601	1	0.9996	0.000
2152	3141	1	0.9979	-80.135
2588	2641	1	0.9969	-26.016
2158	2411	1	0.9993	-68.026
2152	2641	1	0.9985	-40.031
2617	4157	1	0.999	82.042
2205	2601	1	0.9973	40.031
2508	3144	1	0.9964	-14.047
2378	2396	1	0.996	15.995
2013	2432	1	0.9995	-52.031
2077	2411	1	0.9977	-12.000
