row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML Peak area,POS_TJGIp1_3_Run185.mzML Peak area,POS_TJGIp1_2_Run99.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML Peak area,POS_TJGIp1_1_Run34.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML Peak area,
4206,81.5204564439254,10.570865,,,,12,,,,,,,1.7748316E7,2.1386504E7,1.8180434E7,1.2580607E7,1.3576319E7,2.2064266E7,
4062,83.06030364177983,10.123661,,,,,,,,,,,131278.25,78687.38,98303.53,69653.97,32939.242,124933.695,
48,84.04439509112528,0.37511286,,,,33,,,,,,,736546.94,1481887.8,1703830.0,230675.75,683967.8,1796766.2,
115,84.04441032578576,0.45388865,,,,,,,,,,,811099.06,936981.75,546067.94,370143.28,218290.36,260465.44,
190,84.04446649387731,0.9691826,,,,,,,,,,,235139.45,70891.016,266644.78,0,0,58756.14,
4218,84.95959536071148,10.601598,,,,,,,,,,,1205980.9,1433245.5,535702.4,773113.75,432298.1,1755322.9,
5,84.95970454846288,0.2029203,,,,,,,,,,,241027.28,1023910.1,2743394.2,361111.88,1108358.9,3187081.5,
110,84.95970618623565,0.50246054,,,,,,,,,,,637101.7,510660.16,462235.75,609281.56,480646.2,783095.0,
175,86.06008826512625,0.82261807,,,,,,,,,,,173881.05,432918.84,3545752.5,412358.62,579013.3,684964.44,
1445,86.09636759539933,6.0912576,,,,,,,,,,,550077.75,195723.73,827567.6,264982.62,466832.28,119806.82,
156,86.09644293845766,0.7291767,,,,8,,,,,,,1.5549849E7,1.7924446E7,1.8616318E7,1.1770019E7,1.6126167E7,2.1422614E7,
476,86.09645273143042,3.686909,,,,7,,,,,,,432462.88,225215.33,518125.72,472915.4,532694.56,435436.62,
337,86.09649944477077,2.912358,,,,,,,,,,,179674.0,228826.92,490220.0,87635.8,35635.445,292852.06,
4176,90.50661193724257,10.463944,,,,,,,,,,,724746.6,380468.78,733966.5,1253365.1,794616.94,718849.4,
4207,90.52579042759,10.573153,,,,12,,,,,,,3.957062E7,4.3944356E7,3.9529064E7,2.9184094E7,3.099541E7,4.566113E7,
10,90.97666872324328,0.33116803,,,,,,,,,,,262612.1,246693.67,279032.28,345518.4,315709.88,243097.4,
1677,91.0541975622731,6.467001,,,,83,,,,,,,400632.84,470164.12,477678.3,528074.06,491179.3,517034.53,
590,91.054255274142,4.339211,,,,52,,,,,,,174206.27,86287.305,162404.34,163186.7,160845.62,143444.98,
479,91.0542728565856,3.6924238,,,,7,,,,,,,356927.5,353843.22,363948.06,357265.75,453864.25,414723.66,
4192,94.04497689758102,10.520004,,,,72,,,,,,,3852157.2,4308084.0,3033912.0,2563897.2,3074019.2,4557459.0,
482,95.08557015748734,3.6940358,,,,7,,,,,,,1016479.3,1136677.4,1081746.5,923917.8,1338325.2,1315127.4,
4213,97.99123673005651,10.579913,,,,12,,,,,,,7798453.5,8664161.0,7697980.0,5868197.0,6104476.5,8662273.0,
4177,98.51189824224998,10.45667,,,,,,,,,,,518844.6,1238782.6,664844.25,419874.8,345413.12,816327.1,
4280,98.51196928800823,11.007985,,,,,,,,,,,886427.5,988243.94,937947.06,9778753.0,7740594.0,807710.2,
103,98.98414386261722,0.44285294,,,,33,,,,,,,1779156.6,1124350.1,1439169.0,1757394.9,1545394.2,891190.25,
684,99.043988009659,4.6778946,,,,32,,,,,,,100328.64,90303.766,95941.16,104874.83,130425.22,94024.2,
169,99.04408025757535,0.8346367,,,,,,,,,,,379504.9,236203.6,1662612.1,961134.25,963969.1,597073.5,
202,99.04409345626182,1.0466765,,,,,,,,,,,3049069.8,3469720.8,2959937.2,3054465.0,3285697.8,4737018.5,
4186,99.51210908598286,10.486817,,,,218,,,,,,,2404135.5,2555886.2,2122275.5,2768946.2,2482358.8,2788131.0,
4216,99.53102418825256,10.587798,,,,12,,,,,,,2811547.2,4504698.0,4056718.2,3932522.0,5622733.0,3003663.8,
837,100.07562370155215,5.0564137,,,,,,,,,,,224206.62,151745.95,303429.0,208573.0,146762.89,216914.66,
153,100.07566881053499,0.68699783,,,,,,,,,,,293487.97,1143756.6,584528.7,436648.8,457552.22,233799.53,
209,100.07569420418189,1.406298,,,,,,,,,,,1446620.2,1191284.4,1811196.5,1073055.2,1424798.1,2540221.0,
226,100.07570231830442,1.936379,,,,159,,,,,,,6365533.0,5095384.0,7825952.5,4015064.2,5345046.0,3631473.8,
