CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
750	751	1	0.8817	10.029
751	752	1	0.8328	35.977
1824	1891	2	0.9804	-108.131
1664	1891	2	0.9931	-0.000
1839	1895	2	0.9863	124.126
515	1530	2	0.8986	-70.114
1293	1718	2	0.7667	-92.271
1451	1508	2	0.9857	-120.130
1483	1508	2	0.9863	-108.131
1594	1742	2	0.9777	24.000
1508	1891	2	0.988	-0.000
1706	1901	2	0.9045	0.000
976	1371	2	0.7678	-24.000
1451	1644	2	0.9822	-12.000
1483	1664	2	0.9901	-108.131
1488	1706	2	0.9586	0.000
1508	1839	2	0.9763	-15.995
1644	1824	2	0.9733	-0.000
1666	1718	2	0.8436	0.940
1742	1824	2	0.9842	-0.000
1530	1895	2	0.9851	-14.016
1530	1824	2	0.98	-14.016
1742	1895	2	0.9905	0.000
1664	1742	2	0.9971	108.131
1530	1730	2	0.875	-15.019
1483	1839	2	0.9864	-124.126
1627	1666	2	0.8393	-1.010
1451	1839	2	0.9799	-136.125
1594	1821	2	0.9467	-124.125
976	1666	2	0.7417	-1.976
1627	1718	2	0.9634	-0.070
1451	1483	2	0.9929	-12.000
1664	1824	2	0.9839	108.130
1664	1823	2	0.964	-15.995
1451	1891	2	0.9872	-120.130
1508	1823	2	0.9593	-15.995
1891	1895	2	0.987	108.131
1634	1730	2	0.8168	1.003
1508	1742	2	0.992	108.130
1742	1891	2	0.9927	-108.131
1451	1742	2	0.9914	-12.000
1508	1644	2	0.982	108.130
1451	1823	2	0.9663	-136.125
1824	1895	2	0.9927	0.000
1483	1891	2	0.9871	-108.131
1483	1742	2	0.9907	-0.000
1839	1891	2	0.9771	15.995
1451	1664	2	0.9908	-120.130
1644	1664	2	0.9856	-108.131
1483	1824	2	0.9917	-0.000
1483	1895	2	0.9998	0.000
1494	1594	2	0.9475	-0.000
1494	1706	2	0.92	-124.126
1530	1594	2	0.9571	-38.016
1508	1895	2	0.9863	108.131
1644	1891	2	0.9819	-108.131
1451	1895	2	0.9926	-12.000
1483	1644	2	0.9814	-0.000
1508	1664	2	0.9921	-0.000
1530	1742	2	0.9788	-14.016
1451	1824	2	0.9839	-12.000
1293	1627	2	0.7779	-92.201
1508	1824	2	0.9808	108.130
1644	1895	2	0.9811	0.000
1483	1530	2	0.9854	14.016
1530	1634	2	0.7742	-16.022
1644	1742	2	0.9878	0.000
1823	1891	2	0.9609	15.994
1488	1494	2	0.9368	124.126
1706	1821	2	0.9084	0.000
1718	1730	2	0.8399	108.131
1664	1839	2	0.9803	-15.995
1666	1733	2	0.9208	-0.067
1824	1839	2	0.9937	-124.125
1664	1895	2	0.9898	108.131
1494	1821	2	0.9057	-124.126
1625	1718	2	0.7764	-1.073
1594	1644	2	0.9698	24.000
1839	1894	2	0.9785	0.000
1718	1733	2	0.8593	-1.007
976	1625	2	0.8307	0.036
1644	1839	2	0.9678	-124.125
1625	1627	2	0.7718	-1.003
1273	1932	3	0.9447	-108.130
1446	1912	3	0.9565	-28.030
1446	1673	3	0.9459	-14.016
1685	1892	3	0.8706	71.037
894	1163	3	0.9136	-27.995
1163	1299	3	0.9851	24.000
1507	1685	3	0.878	-71.037
1218	1253	3	0.9893	-0.000
1446	1702	3	0.9782	0.000
1911	1916	3	0.9469	-14.015
1826	1876	3	0.9958	0.001
1587	1922	3	0.9239	0.000
