row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp1_3_Run180.mzML Peak area,NEG_TJGIp1_1_Run50.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,NEG_TJGIp1_2_Run106.mzML Peak area,
96,88.04026362199335,0.538752,,,,,,,,,,,91295.27,338619.9,857664.25,72486.19,90010.97,203997.9,
116,88.04029166849385,0.71804446,,,,,,,,,,,456383.2,989112.2,993846.4,498015.1,585715.7,539442.06,
87,89.02429029637865,0.49199542,,,,,,,,,,,1660261.8,830452.7,1309102.9,1392260.1,1366710.8,495635.22,
1869,89.02429039208273,10.10499,,,,,,,,,,,163013.06,149071.67,217666.1,81860.01,182463.03,135101.22,
863,96.96001056762707,5.9127746,,,,,,,,,,,126501.34,177104.88,87316.94,354689.12,283255.4,387646.7,
76,96.96005476994857,0.3952256,,,,9,,,,,,,2541781.2,2650324.5,2845091.0,3062168.8,3260733.2,2887424.2,
1959,96.96007281040193,11.014945,,,,,,,,,,,4050748.8,4104334.0,4023127.5,3799044.2,3889300.5,3999893.2,
39,96.96953794356517,0.37621948,,,,9,,,,,,,1625291.4,4728973.5,2973941.2,1946706.6,2893399.2,2103070.2,
1883,99.92574700531272,10.202954,,,,44,,,,,,,1649868.4,2710582.2,2420310.8,2345116.5,2433098.2,2828225.5,
1701,99.92575714552237,8.131375,,,,,,,,,,,4694616.5,6447098.5,3.1797848E7,6219093.5,4811364.0,3628474.2,
1772,99.92576039937252,8.458552,,,,,,,,,,,2.9042012E7,3.5411612E7,5893581.5,3.5452788E7,3.24225E7,3.4024456E7,
95,102.01964014754459,0.44506446,,,,,,,,,,,1193524.8,370650.84,1468108.0,1432484.0,1204904.2,1428396.0,
53,102.01964951866513,0.38064063,,,,9,,,,,,,1873820.6,2772828.2,3207609.8,1926820.4,1789286.1,1977890.1,
72,103.0036669363379,0.38903117,,,,9,,,,,,,2939115.0,2716860.8,3302637.5,3008348.0,2961933.8,3048238.8,
71,104.03530421996298,0.37689102,,,,,,,,,,,150388.44,1636392.5,1378889.6,125860.54,378608.88,281261.2,
1779,106.04102433230624,8.566149,,,,,,,,,,,57854.9,33491.09,73224.59,24960.895,0,701598.8,
1757,106.0410255313345,8.357828,,,,,,,,,,,108235.11,91681.72,98365.016,0,3916.3384,115564.53,
1775,106.04103057363518,8.441923,,,,,,,,,,,108235.11,237947.67,148972.34,9732.035,0,995838.5,
1870,106.04103230651454,10.155619,,,,,,,,,,,106008.625,742379.5,358043.66,10972.1875,45287.03,1151204.2,
1846,106.04105146577285,9.4551735,,,,,,,,,,,39555.54,414620.0,60030.22,15535.767,29295.402,438970.84,
1867,106.04105253169807,9.902514,,,,,,,,,,,55972.906,95149.67,86913.375,10171.137,4938.593,516131.53,
1855,106.04105351508277,9.696548,,,,,,,,,,,48498.055,74054.78,137964.95,13598.211,5405.612,543801.94,
1857,106.04105891505725,9.746152,,,,,,,,,,,55972.906,567960.06,137964.95,10897.219,5405.612,98064.92,
1868,106.04106341928379,9.986871,,,,,,,,,,,97006.05,593398.25,86913.375,4319.577,17473.604,198738.44,
226,107.05022806012668,2.7638433,,,,87,,,,,,,500641.3,457783.1,520671.2,519251.97,552512.7,671308.75,
92,111.01996305307107,0.45179775,,,,,,,,,,,1842369.2,1271950.8,5090931.5,4608253.0,4645060.5,4610263.5,
44,111.01996554535329,0.37839448,,,,9,,,,,,,5517305.5,1.7275846E7,2.1600636E7,7012893.0,5733625.0,6755120.0,
315,111.01999270406715,3.2298706,,,,,,,,,,,4274.1357,9202.344,97141.63,101796.17,4951.789,3318.4812,
137,111.02000499129032,0.8879215,,,,,,,,,,,198146.72,69631.09,947536.4,100602.98,58617.2,195216.08,
167,111.0200049624108,2.2004356,,,,,,,,,,,42644.79,73903.02,118485.61,0,0,186283.08,
151,111.02002102587225,1.2712358,,,,,,,,,,,67655.445,171022.0,203350.34,0,0,0,
146,111.02002785813629,0.9881103,,,,,,,,,,,398535.03,160359.77,155702.62,7822.4707,3646.1504,160438.12,
1910,112.98558441635062,10.242199,,,,,,,,,,,6945334.0,7635184.5,8062141.0,7106704.0,7058290.5,6965772.0,
1939,112.98561155112812,10.465686,,,,,,,,,,,4320333.0,5078801.0,4762471.0,4946216.0,4717210.0,4591095.5,
1890,113.92618372636792,10.2047205,,,,,,,,,,,492191.2,508610.88,458490.44,541453.75,367509.0,553865.75,
1547,113.92619572769082,7.7174335,,,,15,,,,,,,1775670.1,1306854.4,609266.7,1745661.8,1181205.2,1086843.1,
1725,113.92622030247918,8.147692,,,,47,17,[M+K]+,,2,1725;1696,74.9632,861133.06,8885451.0,6252906.0,5058459.0,5631155.0,8224590.5,
1499,114.93404176185152,7.6840363,,,,86,16,[M+K]+,,2,1499;1511,75.97102,2572508.8,2439002.0,2643170.2,1564927.5,1231952.9,1360312.5,
1329,114.93404702083569,7.442575,,,,19,15,[M+K]+,,2,1329;1330,75.97103,582708.3,876963.75,836492.7,443939.62,326144.03,761232.0,
1698,114.93407230327011,8.144473,,,,,,,,,,,660852.4,586523.1,1160029.6,3899983.5,3853687.0,742295.44,
68,115.00366520188204,0.3860121,,,,9,,,,,,,996854.9,2713289.0,2037161.1,1729306.5,1700040.2,1434201.8,
100,115.00366654797516,0.53824127,,,,,,,,,,,193403.61,1134315.5,385362.06,276530.94,546446.06,751263.3,
1551,115.92067834531832,7.7174954,,,,15,,,,,,,3.5298016E7,2.625064E7,2.2384432E7,3.1884012E7,2.4751036E7,1.6060858E8,
1689,115.92069861140664,8.140901,,,,47,,,,,,,2.0142262E7,1.7577419E8,1.2094949E8,1.1603731E8,1.0872078E8,2.207473E7,
54,116.03531726738282,0.38066113,,,,9,,,,,,,1222332.9,2095248.5,4767310.0,1474634.5,1245409.9,2753421.8,
235,116.05053918344517,2.7868655,,,,55,,,,,,,533882.6,503076.97,512990.88,592193.9,579471.06,658849.44,
308,116.05058305007485,3.196161,,,,100,,,,,,,478284.97,134629.98,346235.72,433969.78,455444.06,491257.22,
176,116.07167830169169,2.3725536,,,,155,,,,,,,262732.8,227124.1,273284.16,224212.17,237953.25,331422.88,
159,116.07170141771581,1.9707122,,,,62,,,,,,,549214.56,445472.8,661888.8,458762.44,490891.47,742675.5,
89,116.07170259153781,0.44926894,,,,,,,,,,,587504.8,662560.8,179767.03,585739.56,505221.12,919978.7,
58,116.0717049488206,0.38147116,,,,9,,,,,,,880561.6,1328648.2,1741157.0,897358.2,975983.7,1630617.8,
1511,116.9284486739923,7.686312,,,,86,16,[2M-2H2O+H]+,,2,1499;1511,75.97102,2.5893428E7,3.4801564E7,4.9458332E7,2.897854E7,2.4697296E7,2.7186736E7,
1330,116.92846808823815,7.441803,,,,19,15,[2M-2H2O+H]+,,2,1329;1330,75.97103,1.1808816E7,1.8765894E7,1.7498138E7,8449280.0,9936549.0,1.4562734E7,
110,117.01931612904649,0.6446495,,,,148,,,,,,,2.186307E7,2.6499188E7,2.461334E7,1.9100914E7,2.6081314E7,1.7825972E7,
80,117.01931957012596,0.4153855,,,,,,,,,,,7193896.0,6245758.0,1.4560213E7,8897936.0,6141807.5,7895573.0,
136,117.01933562030092,0.88971066,,,,,,,,,,,134086.98,322305.3,93061.36,224907.86,256245.06,309798.38,
143,117.01934055815178,0.9513225,,,,,,,,,,,289873.72,340763.0,435834.9,169810.02,162220.94,232560.78,
149,117.01934376896565,1.138359,,,,,,,,,,,47812.938,92535.27,158494.6,76014.12,32973.492,157116.03,
1708,117.92855438002327,8.141756,,,,,,,,,,,1734269.6,2575524.0,2533290.0,9047292.0,8634210.0,802002.75,
1506,117.92857387764364,7.68558,,,,86,,,,,,,5352075.5,5439434.0,4585266.0,3267023.2,2706657.0,4618388.0,
107,118.0226409531291,0.64555335,,,,,,,,,,,542735.1,1135171.5,301752.28,1194885.8,668125.75,504384.75,
83,118.0227738207305,0.4153855,,,,,,,,,,,212932.64,264314.62,608456.9,153085.03,182636.72,285963.06,
111,118.05087646702498,0.63156074,,,,,,,,,,,470282.38,1012268.4,1548832.5,609458.94,788570.5,1730366.0,
21,118.05092946495792,0.36562407,,,,9,,,,,,,5.1751064E7,1.2966477E8,1.4349432E8,4.9428576E7,4.560421E7,4.57869E7,
246,118.05093254758366,2.8346064,,,,,,,,,,,21806.055,70652.54,25872.684,3288.4846,308257.38,82979.2,
755,118.0509402780982,5.545828,,,,,,,,,,,181183.1,96573.91,137159.17,195685.72,183663.77,186874.7,
294,118.05095085519406,3.0369158,,,,,,,,,,,34709.465,81042.37,22723.82,907981.1,280740.66,62910.18,
370,118.05096247920883,3.453487,,,,,,,,,,,3484.269,0,3694.7344,259825.6,62196.477,11341.495,
316,118.05096503721047,3.224836,,,,,,,,,,,26958.404,15524.045,19937.355,346462.94,374762.25,86127.7,
141,118.05097732249777,0.8858082,,,,,,,,,,,686836.4,430271.06,385415.84,297057.34,428901.53,453821.16,
168,118.05097837974301,2.2195687,,,,,,,,,,,649110.5,81044.48,63624.22,29160.504,18882.148,469925.44,
1873,118.89961910124885,10.158242,,,,,,,,,,,190425.72,126743.71,112196.43,1426998.6,1564533.4,207299.02,
1495,118.92676448560734,7.6848073,,,,,,,,,,,616529.0,1354146.5,1053304.5,156859.53,428364.9,673149.5,
60,119.03482102122956,0.38289964,,,,9,,,,,,,1006244.4,1418112.4,2090389.0,1118025.0,958086.44,1145802.2,
28,119.05415499750802,0.36634907,,,,,,,,,,,1048855.0,5723089.5,5659477.0,797136.94,1449508.4,1986895.0,
292,120.04542809926086,3.0528796,,,,158,,,,,,,490137.9,452741.12,498484.0,504297.44,564099.25,613638.4,
