CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1424	1533	1	0.9292	-14.016
922	1001	1	0.7871	71.037
935	1298	1	0.9529	-28.032
935	1165	1	0.8992	15.994
917	1287	1	0.9499	-28.031
1331	1360	1	0.8602	-26.015
1033	1360	1	0.9255	-28.031
1424	1425	1	0.8111	-14.016
898	1331	1	0.8571	-28.031
1033	1331	1	0.8422	-2.016
847	1001	1	0.97	-14.015
898	917	1	0.7375	-30.010
1215	1287	1	0.9152	-0.000
950	1165	1	0.8572	-28.032
1033	1060	1	0.8674	12.000
1165	1623	1	0.9223	-42.047
863	1144	1	0.8793	-14.016
1060	1165	1	0.8868	-14.016
935	1066	1	0.9089	-14.016
1066	1292	1	0.8467	15.995
1028	1287	1	0.8653	-14.016
770	1119	1	0.8718	-28.031
917	1215	1	0.9269	-28.031
1008	1345	1	0.7284	-184.125
898	950	1	0.9281	0.000
1066	1298	1	0.8794	-14.016
1360	1424	1	0.8768	12.000
1001	1362	1	0.8887	-28.031
1001	1008	1	0.7703	131.095
863	1028	1	0.8865	-14.015
898	1060	1	0.743	-14.016
863	898	1	0.8019	30.010
1006	1345	1	0.8822	-71.041
1001	1006	1	0.9076	18.010
1292	1425	1	0.8727	-14.015
1033	1425	1	0.7318	-30.047
995	1001	1	0.7168	1.056
1144	1424	1	0.7332	1.980
935	1149	1	0.805	-14.015
1623	1733	1	0.8394	-14.016
1331	1533	1	0.878	-28.031
1362	1366	1	0.8589	131.095
1060	1292	1	0.8679	-28.031
1331	1424	1	0.8015	-14.016
1060	1424	1	0.9079	-28.031
935	1331	1	0.8381	15.995
863	1215	1	0.9626	-28.031
1028	1144	1	0.7953	-0.001
770	1008	1	0.7202	18.011
1165	1424	1	0.9353	-14.015
862	922	1	0.949	30.011
1033	1533	1	0.9502	-30.047
1060	1623	1	0.8347	-56.062
1033	1623	1	0.9129	-44.063
1165	1533	1	0.9749	-28.031
1028	1425	1	0.768	-12.036
1060	1533	1	0.8817	-42.047
922	1345	1	0.8579	18.007
1360	1425	1	0.7187	-2.016
1001	1241	1	0.7716	-53.030
1066	1149	1	0.8116	0.001
1292	1533	1	0.939	-14.016
1144	1215	1	0.8741	-14.015
1292	1424	1	0.9014	0.000
950	1425	1	0.7308	-56.062
863	1287	1	0.9206	-28.031
863	950	1	0.8004	30.011
863	917	1	0.9236	0.000
1425	1623	1	0.8362	-14.016
917	1028	1	0.9002	-14.016
1331	1623	1	0.877	-42.047
1028	1395	1	0.8313	-28.031
917	950	1	0.7782	30.011
1241	1345	1	0.9136	-0.000
1360	1533	1	0.8921	-2.016
917	1144	1	0.8361	-14.016
1060	1360	1	0.8382	-40.031
1424	1623	1	0.8695	-28.031
1033	1292	1	0.9381	-16.032
1149	1298	1	0.7513	-14.017
1028	1215	1	0.887	-14.015
935	1345	1	0.7204	87.028
1292	1360	1	0.8967	-12.000
1287	1533	1	0.7552	1.979
1533	1623	1	0.9236	-14.016
1292	1331	1	0.8615	14.016
950	1033	1	0.7294	-26.016
922	1241	1	0.8986	18.007
1008	1366	1	0.985	-28.031
1033	1424	1	0.9156	-16.031
1006	1241	1	0.8473	-71.040
1292	1623	1	0.9524	-28.031
950	1331	1	0.9257	-28.031
1425	1733	1	0.9467	-28.032
935	1241	1	0.7448	87.028
950	1060	1	0.8145	-14.016
1001	1345	1	0.8125	-53.030
847	1362	1	0.8589	-42.047
1298	1533	1	0.8687	15.995
1360	1623	1	0.8776	-16.032
1165	1360	1	0.9008	-26.015
1165	1331	1	0.8473	0.000
1165	1292	1	0.9518	-14.016
1144	1287	1	0.865	-14.015
1033	1165	1	0.9544	-2.016
930	2144	2	0.8652	-165.031
1786	3483	2	0.8554	-84.130
2925	3637	2	0.9274	-0.001
1489	1741	2	0.8438	-58.042
2266	2925	2	0.8654	-0.059
1309	2708	2	0.8593	-294.256
2101	3771	2	0.8488	0.000
3374	3755	2	0.9236	0.000
5	2041	2	0.8507	14.999
1982	3702	2	0.9076	0.000
3183	3399	2	0.9657	-28.031
988	3483	2	0.855	-84.130
3183	3755	2	0.9244	0.000
451	1786	2	0.971	-154.099
2925	3882	2	0.9042	-0.001
1471	1823	2	0.8962	-0.000
1485	2706	2	0.8859	-66.083
1982	3076	2	0.9243	-12.073
3202	3220	2	0.8491	-18.011
2708	3871	2	0.8803	0.000
2925	3374	2	0.9119	-0.001
988	1786	2	0.9857	-0.000
1194	2355	2	0.8571	-321.255
2714	3058	2	0.8985	-0.000
2716	3202	2	0.8499	-38.016
988	3183	2	0.8572	-84.130
1945	1982	2	0.9208	2.052
2101	2189	2	0.9125	0.000
2188	3815	2	0.8658	-336.266
2714	3057	2	0.9132	-18.011
2455	2794	2	0.8536	-19.023
3015	3087	2	0.8656	-14.052
2322	3015	2	0.8449	-15.995
2102	3771	2	0.8809	18.010
5	3702	2	0.8439	-42.010
3183	3751	2	0.8585	-108.130
3183	3374	2	0.9999	0.000
1823	1945	2	0.9488	-2.052
3483	3755	2	0.9148	0.000
1823	3702	2	0.8978	0.000
2040	2355	2	0.8566	-336.266
3	2190	2	0.9338	-60.021
2919	3015	2	0.8544	28.030
1317	2041	2	0.8676	57.010
