row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,
88,88.0402667877273,0.48357606,,,,,,,,,,,243075.19,353990.47,160452.64,464885.1,628119.25,90010.97,
102,88.04027073465318,0.5965045,,,,,,,,,,,91295.27,338619.9,89632.01,101254.45,137896.53,90010.97,
122,88.04029517832862,0.7175863,,,,147,,,,,,,456383.2,989112.2,417044.8,851216.3,1470614.4,585715.7,
93,89.02429182912154,0.50407314,,,,,,,,,,,1660261.8,830452.7,209706.86,1343916.4,1491587.4,1366710.8,
2037,89.02427969706136,10.091651,,,,,,,,,,,163013.06,149071.67,97705.27,33483.16,0,182463.03,
919,96.96002916521337,5.877217,,,,,,,,,,,110044.0,68307.89,938889.2,86047.41,243353.8,215683.38,
75,96.96005647599766,0.39482704,,,,10,,,,,,,2541781.2,2650324.5,3006253.0,3021483.0,2593038.5,3260733.2,
2131,96.96007614767917,11.013022,,,,,,,,,,,4050748.8,4104334.0,3911143.5,3794420.2,4218641.0,3889300.5,
34,96.96953556268943,0.37054178,,,,10,,,,,,,1625291.4,4728973.5,3642663.8,2683428.5,2222155.0,2893399.2,
117,99.00874121084716,0.64762455,,,,,,,,,,,306209.56,175951.55,196899.52,363056.2,1252290.9,417083.78,
1700,99.92574710766996,7.7397785,,,,,,,,,,,4835588.5,4372728.5,5173197.0,1793089.0,2.56192E7,3071037.2,
1938,99.92575222873796,8.460808,,,,,,,,,,,2.9042012E7,3.5411612E7,3.3720924E7,3.3389096E7,4175509.8,3.24225E7,
2057,99.92575225999627,10.207906,,,,20,,,,,,,1649868.4,2742378.0,2107449.5,2117598.0,1647571.4,2433098.2,
97,102.0196456503745,0.46083736,,,,,,,,,,,1193524.8,370650.84,1509779.2,1753252.8,278487.75,1204904.2,
50,102.01964787574984,0.37950143,,,,10,,,,,,,1873820.6,2772828.2,1895602.9,2346902.2,2714014.0,1789286.1,
72,103.00366398008588,0.38790035,,,,10,,,,,,,2939115.0,2716860.8,3235942.2,3594063.5,3616153.8,2961933.8,
43,104.03530215668883,0.3765042,,,,10,,,,,,,150388.44,1636392.5,681862.9,371486.44,837110.5,378608.88,
1941,106.04100468531081,8.4754505,,,,,,,,,,,108235.11,237947.67,2004760.8,16959.613,66416.2,0,
1927,106.04101711988419,8.375207,,,,,,,,,,,108235.11,91681.72,599804.06,0,107066.54,3916.3384,
1949,106.04102305991978,8.553379,,,,,,,,,,,57854.9,33491.09,519758.2,16959.613,53005.49,0,
2033,106.0410293060409,9.859942,,,,,,,,,,,55972.906,96128.11,1289811.2,8106.5547,45624.42,4938.593,
2039,106.04103791335496,10.143475,,,,,,,,,,,106008.625,742379.5,1672977.9,6605.033,168302.52,45287.03,
2013,106.04103967972395,9.423222,,,,,,,,,,,39555.54,414620.0,935648.94,8367.426,55957.613,29295.402,
2080,106.04104066744974,10.187654,,,,,,,,,,,106008.625,410354.97,100789.31,6605.033,117823.016,13681.155,
2024,106.04104540759549,9.769154,,,,,,,,,,,55972.906,567960.06,1725275.4,8106.5547,113936.95,5405.612,
