ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	831317.8966666666	891334.7400000001	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"51","main.cluster index_upperinput":"51"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4930	0.4930	0	N/A	N/A	5167957.91	6	51	-1	 	6	-87.0243	-1	89.0243	5167957.91
EXP,CTRL	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	986529.7866666666	789332.2200000001	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3428	0.3428	0	N/A	N/A	5327586.02	6	4	-1	 	6	-90.9280	-1	92.9280	5327586.02
EXP,CTRL	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	646913.9666666667	532374.8266666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3428	0.3428	0	N/A	N/A	3537866.38	6	5	-1	 	6	-92.9250	-1	94.9250	3537866.38
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	580488.51	121414.49466666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"688","main.cluster index_upperinput":"688"}	This Node is a Singleton	N/A	N/A	N/A	 	5.9013	5.9013	0	N/A	N/A	2105709.014	6	688	-1	 	6	-94.9600	-1	96.9600	2105709.014
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	3645896.466666667	3889333.7333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2056","main.cluster index_upperinput":"2056"}	This Node is a Singleton	N/A	N/A	N/A	 	10.9941	10.9941	0	N/A	N/A	22605690.599999998	6	2056	-1	 	6	-94.9601	-1	96.9601	22605690.599999998
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	9110117.833333334	6780290.333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3","main.cluster index_upperinput":"3"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3280	0.3280	0	N/A	N/A	47671224.5	6	3	-1	 	6	-94.9601	-1	96.9601	47671224.5
EXP,CTRL	 	 	12.0	0.0	0.0	0.0	0.0	0.0	0.0	7288105.833333333	6665602.166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"35","main.cluster index_upperinput":"35"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3972	0.3972	0	N/A	N/A	41861124.0	6	35	-1	 	6	-94.9695	-1	96.9695	41861124.0
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2550075.4	2198779.466666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1972","main.cluster index_upperinput":"1972"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2019	10.2019	0	N/A	N/A	14246564.600000001	6	1972	-1	 	6	-97.9258	-1	99.9258	14246564.600000001
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	18074959.5	30291146.666666668	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1836","main.cluster index_upperinput":"1836"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4560	8.4560	0	N/A	N/A	145098318.5	6	1836	-1	 	6	-97.9258	-1	99.9258	145098318.5
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	24585743.833333332	5198952.433333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=90c63e7ccaba4f599ae63d1d91870ac2&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1655","main.cluster index_upperinput":"1655"}	This Node is a Singleton	N/A	N/A	N/A	 	8.1457	8.1457	0	N/A	N/A	89354088.8	6	1655	-1	 	6	-97.9258	-1	99.9258	89354088.8
