row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGIp3_1_Run40.mzML Peak area,POS_TJGIp3_2_Run126.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML Peak area,POS_TJGIp3_3_Run164.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML Peak area,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML Peak area,
4015,81.5204503040262,10.576054,,,,102,,,,,,,1.2873531E7,1.9309278E7,1.7748316E7,2.1169098E7,1.2580607E7,2.2064266E7,
3875,83.06029080105708,10.105222,,,,,,,,,,,75327.39,40657.42,131278.25,101579.516,69653.97,124933.695,
43,84.04438288620098,0.3730744,,,,140,,,,,,,461917.3,1071711.8,736546.94,1243317.0,230675.75,1796766.2,
121,84.04440140994758,0.4518714,,,,,,,,,,,408045.38,494883.12,811099.06,459393.1,370143.28,260465.44,
180,84.04444122495423,0.97000897,,,,,,,,,,,0,7945.484,235139.45,12460.902,0,58756.14,
4023,84.95959199186089,10.595416,,,,102,,,,,,,762901.25,1337002.6,1205980.9,1882174.6,773113.75,1755322.9,
6,84.95968977367279,0.22677718,,,,,,,,,,,1126140.4,1411434.9,241027.28,1620005.6,328577.72,3187081.5,
110,84.95969434910297,0.50467837,,,,,,,,,,,682552.75,914443.5,637101.7,678037.1,609281.56,783095.0,
1458,86.09636114795495,6.1243877,,,,,,,,,,,288539.03,320998.78,550077.75,197917.55,88303.055,227906.5,
1385,86.09637980623103,6.032582,,,,,,,,,,,327767.0,61284.95,184933.6,145110.67,264982.62,34439.266,
154,86.09642821714137,0.72704893,,,,233,,,,,,,1.7429168E7,1.651018E7,1.5549849E7,2.1173484E7,1.1770019E7,2.1422614E7,
181,86.09644770771672,0.9234945,,,,,,,,,,,77203.81,424488.6,62019.887,170153.58,62233.477,114552.41,
463,86.09645756977244,3.6848395,,,,19,,,,,,,324897.88,133970.69,432462.88,170191.78,472915.4,435436.62,
251,86.09646774215372,2.3318543,,,,,,,,,,,300215.56,211428.34,327093.03,349134.12,27838.797,82993.58,
327,86.09648503655616,2.9129753,,,,,,,,,,,192123.94,66888.21,179674.0,113522.2,87635.8,292852.06,
3982,90.50659980269769,10.465386,,,,,,,,,,,781950.6,682962.1,724746.6,710515.56,1253365.1,718849.4,
4012,90.525782684533,10.572998,,,,102,,,,,,,3.0111102E7,2.8672146E7,3.957062E7,4.3832548E7,2.9184094E7,4.566113E7,
12,90.97664717018397,0.3299327,,,,,,,,,,,318444.03,266828.38,262612.1,261246.92,345518.4,243097.4,
