ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	222282.88999999998	469409.015	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"97","main.cluster index_upperinput":"97"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4957	0.4957	0	N/A	N/A	2075075.7149999999	6	97	-1	 	6	-86.0403	-1	88.0403	2075075.7149999999
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	173308.71333333335	168467.06866666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"113","main.cluster index_upperinput":"113"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5915	0.5915	0	N/A	N/A	1025327.346	6	113	-1	 	6	-86.0403	-1	88.0403	1025327.346
EXP,CTRL	 	 	88.0	0.0	0.0	0.0	0.0	0.0	0.0	683949.7266666667	791990.7	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"131","main.cluster index_upperinput":"131"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7159	0.7159	0	N/A	N/A	4427821.28	6	131	-1	 	6	-86.0403	-1	88.0403	4427821.28
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1285808.4333333333	1448222.42	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"93","main.cluster index_upperinput":"93"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5099	0.5099	0	N/A	N/A	8202092.5600000005	6	93	-1	 	6	-87.0243	-1	89.0243	8202092.5600000005
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	164849.25333333333	112640.14899999999	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1997","main.cluster index_upperinput":"1997"}	This Node is a Singleton	N/A	N/A	N/A	 	10.1011	10.1011	0	N/A	N/A	832468.207	6	1997	-1	 	6	-87.0243	-1	89.0243	832468.207
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	144328.51733333332	361639.5566666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"923","main.cluster index_upperinput":"923"}	This Node is a Singleton	N/A	N/A	N/A	 	5.8925	5.8925	0	N/A	N/A	1517904.222	6	923	-1	 	6	-94.9600	-1	96.9600	1517904.222
EXP,CTRL	 	 	12.0	0.0	0.0	0.0	0.0	0.0	0.0	2817612.966666667	2653567.4	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"77","main.cluster index_upperinput":"77"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3960	0.3960	0	N/A	N/A	16413541.100000001	6	77	-1	 	6	-94.9601	-1	96.9601	16413541.100000001
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4014794.433333333	3895229.8333333335	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2105","main.cluster index_upperinput":"2105"}	This Node is a Singleton	N/A	N/A	N/A	 	11.0099	11.0099	0	N/A	N/A	23730072.8	6	2105	-1	 	6	-94.9601	-1	96.9601	23730072.8
EXP,CTRL	 	 	12.0	0.0	0.0	0.0	0.0	0.0	0.0	3082554.7	3661162.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"31","main.cluster index_upperinput":"31"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3704	0.3704	0	N/A	N/A	20231150.1	6	31	-1	 	6	-94.9695	-1	96.9695	20231150.1
EXP,CTRL	 	 	30.0	0.0	0.0	0.0	0.0	0.0	0.0	2273759.9333333336	2209942.6333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7a9fbf83318b44b49d80b5b6757dc628&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2013","main.cluster index_upperinput":"2013"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2040	10.2040	0	N/A	N/A	13451107.7	6	2013	-1	 	6	-97.9258	-1	99.9258	13451107.7
