CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
707	863	1	0.9502	-28.031
863	886	1	0.8165	0.000
707	1055	1	0.7686	-40.032
737	1055	1	0.7469	-40.032
863	1055	1	0.7834	-12.000
707	886	1	0.7609	-28.031
804	887	1	0.8406	-28.031
737	886	1	0.7599	-28.031
737	863	1	0.9093	-28.031
707	737	1	0.9551	0.000
987	1174	1	0.7238	-44.026
1104	1174	1	0.7854	-14.016
707	804	1	0.7092	-27.995
834	863	1	0.8563	-14.016
886	987	1	0.7179	-27.995
121	339	2	0.7706	-85.032
62	121	2	0.9218	-0.000
1186	1442	2	0.9883	-4.031
121	1186	2	0.942	-220.219
62	339	2	0.8895	-85.032
49	64	2	0.889	-44.026
49	128	2	0.8858	-44.026
64	1442	2	0.73	-194.240
49	108	2	0.9754	0.000
121	1442	2	0.9591	-224.250
64	108	2	0.8746	44.026
62	108	2	0.7277	14.016
108	128	2	0.8651	-44.026
62	1442	2	0.8648	-224.250
64	128	2	0.8439	0.000
1008	1190	3	0.9573	0.036
529	1620	3	0.846	-84.131
1527	2046	3	0.9786	28.031
1536	1811	3	0.9626	108.130
1577	2066	3	0.9566	-0.001
1481	2020	3	0.9035	24.000
1541	1796	3	0.9167	14.015
1278	1337	3	0.9637	-27.995
1393	1526	3	0.892	-24.000
1620	1813	3	0.9291	-0.001
1278	1660	3	0.98	-108.131
1577	2006	3	0.8696	29.027
1189	1813	3	0.9514	-27.996
1539	2046	3	0.9936	-108.131
1660	1796	3	0.9243	-27.995
1660	2055	3	0.9501	0.000
1278	1291	3	0.9676	-27.995
1373	1510	3	0.9199	-110.141
1527	2049	3	0.9507	14.015
1343	1536	3	0.9701	0.000
1776	1777	3	0.8536	-11.998
1815	2047	3	0.9789	-0.000
529	1481	3	0.9353	-108.131
1577	1789	3	0.9905	-0.000
2047	2051	3	0.8625	4.031
1527	1536	3	0.9577	28.031
1481	1620	3	0.8468	24.000
