row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,NEG_TJGIp3_1_Run56.mzML Peak area,NEG_TJGIp3_3_Run174.mzML Peak area,NEG_TJGIp3_2_Run138.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Unnamed: 19
97,88.0402675153618,0.49567473,,,,,,,,,,,353990.47,222847.23,669766.8,47183.305,691276.94,90010.97,
113,88.04029000856055,0.59151953,,,,,,,,,,,338619.9,91295.27,132187.02,25796.586,347417.6,90010.97,
131,88.04030880705577,0.71589535,,,,88.0,,,,,,,989112.2,464726.88,877429.1,494295.0,1004248.0,598010.1,
93,89.02429444235473,0.5099302,,,,,,,,,,,830452.7,1660261.8,1767183.8,716779.06,1860704.4,1366710.8,
1997,89.02430000461652,10.101081,,,,,,,,,,,149071.67,163013.06,51795.617,135350.25,150774.58,182463.03,
923,96.96002830842316,5.8925443,,,,,,,,,,,45645.832,126501.34,158271.1,240479.27,686168.3,260838.38,
77,96.96006233469666,0.3959966,,,,12.0,,,,,,,2650324.5,2541781.2,3103416.8,2397984.2,2459301.2,3260733.2,
2105,96.96007839759072,11.009895,,,,,,,,,,,4104334.0,4050748.8,3861654.0,3891119.5,3932916.0,3889300.5,
31,96.96954007127488,0.37036693,,,,12.0,,,,,,,4728973.5,1625291.4,3719026.5,2651963.5,4612496.0,2893399.2,
2013,99.92575311855043,10.204025999999999,,,,30.0,,,,,,,2738313.2,1649868.4,1869908.2,2541029.2,2218890.5,2433098.2,
1889,99.92576632929486,8.465236,,,,,,,,,,,35411612.0,29042012.0,32257976.0,6271965.5,6854587.5,32422500.0,
1782,99.9257672605048,8.126851,,,,,,,,,,,6438121.5,4686316.5,5133822.5,35636870.0,36391084.0,4948703.5,
89,101.02441871370243,0.39842990000000006,,,,,,,,,,,220581.33,33448.96,72353.23,355052.5,1032185.8,213762.55,
107,102.0196483116254,0.47833005,,,,,,,,,,,370650.84,1199856.9,1145879.9,1567442.9,2290384.5,1204904.2,
54,102.01964841588516,0.3815637,,,,12.0,,,,,,,2772828.2,1873820.6,1971375.2,2063689.1,2215357.2,1789286.1,
70,103.00366710453837,0.38767967,,,,12.0,,,,,,,2716860.8,2939115.0,3361427.2,3102801.8,3356802.2,2961933.8,
44,104.03530374399857,0.37553737,,,,12.0,,,,,,,1636392.5,150388.44,603373.06,734228.8,2669614.8,378608.88,
1888,106.04101452247644,8.463642,,,,,,,,,,,237947.67,108235.11,3796.4624,64442.844000000005,901623.0,0.0,
2044,106.0410244489266,10.197064,,,,,,,,,,,410354.97,106008.625,16965.098,255182.6,147501.6,13681.155,
1999,106.04103355753362,10.140124,,,,,,,,,,,742379.5,106008.625,16965.098,179205.14,952318.5,45287.03,
1896,106.04103707137742,8.552702,,,,,,,,,,,33491.09,57854.9,11389.19,64442.844000000005,741196.8,0.0,
1974,106.04104840679469,9.440517999999999,,,,,,,,,,,414620.0,39555.54,17777.889,107473.695,1221458.2,29295.402000000002,
1996,106.0410564137853,10.017866999999999,,,,,,,,,,,593398.25,114440.38,9268.485999999999,89527.61,74403.516,17473.604,
1985,106.04106339847999,9.846100999999999,,,,,,,,,,,96128.11,55972.905999999995,8452.533000000001,66046.55,897237.94,0.0,
1981,106.04107946933428,9.747327,,,,,,,,,,,567960.06,53912.92,6149.8955,66046.55,1269959.5,5405.611999999999,
252,107.0502442917097,2.7617972,,,,131.0,,,,,,,457783.1,500641.3,622454.44,535046.6,559725.3,552512.7,
104,111.01995339914663,0.46967563,,,,,,,,,,,1271950.8,1842369.2,1528219.2,907007.06,10753372.0,4645060.5,
52,111.01996484257563,0.38086164,,,,12.0,,,,,,,17275846.0,5517305.5,10233147.0,7473370.5,9732164.0,5733625.0,
195,111.02001147150702,2.2893167,,,,,,,,,,,91038.08,52966.023,527667.56,49147.89,8411.0,0.0,
155,111.02002010271354,0.85963464,,,,,,,,,,,111238.9,277812.97,206431.52,100688.82,694425.4,40022.56,
164,111.02005537117373,0.9905198000000001,,,,,,,,,,,160359.77,398535.03,115035.42,346288.06,244677.12,3646.1504,
2045,112.9855970058451,10.241427,,,,,,,,,,,7635184.5,6945334.0,7137073.0,6425818.0,7894205.0,7058290.5,
2081,112.98563645647816,10.4646845,,,,,,,,,,,5078801.0,4320333.0,3716349.5,3463913.0,5425626.5,4717210.0,
1647,113.9261947813543,7.7176948,,,,85.0,,,,,,,1306854.4,1775670.1,1720916.6,1509244.0,2295649.8,1181205.2,
2021,113.92619508045357,10.205794000000001,,,,,,,,,,,508610.88,492191.2,491555.78,529844.9,427609.5,367509.0,
1821,113.92622928663413,8.141445,,,,4.0,19.0,[M+K]+,,2.0,1821;1797,74.96321,8885451.0,832842.25,1128303.4,6472245.5,3267091.2,5631155.0,
1862,113.92623711857868,8.274619,,,,,,,,,,,1502646.0,1178319.6,5359022.5,1624520.4,750068.3,1121257.4,
1401,114.93403630277916,7.4433245999999995,,,,13.0,17.0,[M+K]+,,2.0,1401;1418,75.97102,876963.75,582708.3,597885.94,888360.2,716008.6,326144.03,
1602,114.9340387899172,7.6865754,,,,77.0,18.0,[M+K]+,,2.0,1602;1605,75.97102,2439002.0,2572508.8,1420301.1,2275789.2,2164231.5,1231952.9,
1826,114.93407695871372,8.139023,,,,,,,,,,,556696.06,660852.4,466831.88,1150697.5,2502761.2,3853687.0,
56,115.0036664348598,0.381596,,,,12.0,,,,,,,2713289.0,996854.9,2256024.2,1856095.0,2522819.0,1700040.2,
115,115.00369731805176,0.5873359,,,,,,,,,,,1134315.5,193403.61,791290.5,721453.7,1141247.6,546446.06,
1643,115.92067901165927,7.7168984,,,,85.0,,,,,,,25567872.0,35298016.0,47592036.0,29775862.0,51873790.0,24751036.0,
1784,115.92070228486529,8.137249,,,,4.0,,,,,,,175774190.0,20667384.0,21764554.0,125309390.0,62337470.0,108720780.0,
1863,115.920703197695,8.291383,,,,,,,,,,,28641848.0,22759522.0,90612530.0,30735516.0,28965694.0,21536272.0,
102,116.0352983762374,0.44569764,,,,,,,,,,,301046.75,530670.56,538540.7,212490.9,2500368.5,566615.0,
57,116.03532356853869,0.3816463,,,,12.0,,,,,,,2095248.5,1222332.9,2540098.8,2795082.2,1969339.0,1245409.9,
264,116.05056065511336,2.7857215,,,,119.0,,,,,,,503076.97,533882.6,627824.94,651429.2,723343.3,579471.06,
337,116.05059137277857,3.1960876,,,,165.0,,,,,,,134629.98,478284.97,413970.22,428355.72,446620.75,455444.06,
101,116.0716741533888,0.45842394,,,,,,,,,,,662560.8,587504.8,250819.25,280726.53,1361295.1,505221.12,
204,116.07170141448677,2.3679087000000005,,,,89.0,,,,,,,227124.1,262732.8,323913.22,318109.0,232303.83,237953.25,
61,116.071703459619,0.38309845,,,,12.0,,,,,,,1328648.2,880561.6,1882709.1,1266078.5,1513667.9,975983.7,
176,116.07172735175956,1.966503,,,,139.0,,,,,,,445472.8,549214.56,605131.0,907328.2,647696.8,490891.47,
1605,116.92844722660706,7.687309700000001,,,,77.0,18.0,[2M-2H2O+H]+,,2.0,1602;1605,75.97102,34801564.0,25893428.0,42330960.0,47802570.0,43218256.0,24697296.0,
1418,116.92845806102714,7.4433875,,,,13.0,17.0,[2M-2H2O+H]+,,2.0,1401;1418,75.97102,18765894.0,11808816.0,11808183.0,14615060.0,13180680.0,10006987.0,
95,117.01931775753212,0.44248724,,,,,,,,,,,6245758.0,7193896.0,4807672.0,10156126.0,13373997.0,6141807.5,
124,117.01933847301216,0.64791393,,,,78.0,,,,,,,26499188.0,21863070.0,35269628.0,18596262.0,28887300.0,26081314.0,
197,117.01934319726541,2.2947737999999998,,,,,,,,,,,15843.296,16329.0,376097.06,4871.387,0.0,0.0,
158,117.01936572578535,0.89076567,,,,,,,,,,,322305.3,134086.98,108109.016,85419.3,798430.4,256245.06,
163,117.01937113380673,0.99576527,,,,,,,,,,,340763.0,289873.72,146063.38,222003.75,226705.86,147269.64,
1770,117.9190114919387,8.13885,,,,,,,,,,,940560.06,595246.9,507661.1,3585529.0,3479199.0,704678.06,
1832,117.92856243596027,8.137207,,,,,,,,,,,2575524.0,1737578.2,1866737.8,2552717.0,1323495.2,8634210.0,
1597,117.92857369866495,7.686528699999999,,,,77.0,,,,,,,5439434.0,5352075.5,3660687.8,5139976.0,5413701.0,2706657.0,
120,118.02265543914329,0.6479573000000001,,,,,,,,,,,1135171.5,542735.1,430648.38,308196.7,239684.16,668125.75,
103,118.02267798943724,0.53856087,,,,,,,,,,,185646.12,298061.3,333870.88,269103.53,372280.28,208626.5,
87,118.02278263829606,0.4161805,,,,,,,,,,,264314.62,212932.64,407963.44,326844.72,183716.28,182636.72,
129,118.05090813765577,0.63510674,,,,,,,,,,,591441.56,470282.38,1517355.6,1131346.8,2859675.8,788570.5,
