CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2546	2680	2	0.7797	18.011
2548	2680	2	0.8033	0.000
2546	2548	2	0.7808	18.010
3661	3877	3	0.9432	0.000
2143	2257	4	0.8236	1.003
2150	2161	4	0.914	0.104
2161	2243	4	0.7609	-0.000
2161	2257	4	0.8127	-0.104
2150	2243	4	0.7676	0.103
2226	2243	4	0.8741	0.078
2143	2150	4	0.7996	1.003
1968	2226	4	0.7142	-2.016
2150	2257	4	0.7328	-0.000
3222	4472	5	0.997	-27.995
2994	3710	5	0.9982	-26.015
3716	3746	5	0.9995	18.010
2132	3746	5	0.9972	-232.182
2910	3934	5	0.9927	2.015
2910	4214	5	0.9955	2.014
3064	4491	5	0.9974	42.010
3746	4491	5	0.9997	90.083
4466	4467	5	0.9964	14.015
2910	3287	5	0.9939	2.016
2866	3227	5	0.9957	-39.997
2994	3298	5	0.9905	13.986
3716	4491	5	0.9991	108.094
2287	2669	5	0.9973	-106.115
3729	4269	5	0.998	-9.985
3934	4269	5	0.9944	-0.001
3268	3685	5	0.9934	-0.002
3287	3934	5	0.9954	-0.001
2132	3394	5	0.9982	-172.110
2866	3298	5	0.995	0.003
2529	2852	5	0.9941	-14.016
2669	3746	5	0.9991	42.011
2287	3064	5	0.998	-16.031
3685	3710	5	0.9924	-13.980
3710	4481	5	0.9957	13.982
2287	4491	5	0.9982	25.980
2132	3716	5	0.997	-250.193
3287	4269	5	0.9946	-0.002
2868	2994	5	0.9945	12.032
2957	3717	5	0.9953	-27.994
3287	4214	5	0.9971	-0.001
3729	4214	5	0.9967	-9.985
2132	2878	5	0.9951	-182.094
2866	4467	5	0.9957	2.012
2852	3729	5	0.9964	-92.135
2994	4481	5	0.9948	-12.032
1167	3394	5	0.9973	-128.156
2994	3227	5	0.9935	-26.015
3729	4466	5	0.9977	0.000
3064	3746	5	0.9973	-48.073
2287	3716	5	0.9977	-82.114
2994	3276	5	0.9957	0.000
3106	3746	5	0.9971	-22.057
2287	3729	5	0.9976	-82.151
4466	4472	5	0.9967	-25.978
4269	4466	5	0.9969	9.985
1167	3106	5	0.9943	-166.172
3934	4214	5	0.9962	-0.000
3268	3276	5	0.9913	12.033
3106	4491	5	0.9971	68.026
3222	4269	5	0.9971	-12.002
2669	3716	5	0.9999	24.000
3106	3394	5	0.9969	38.015
2994	3268	5	0.9936	-12.033
2287	3746	5	0.998	-64.104
2287	4466	5	0.9995	-82.150
4214	4269	5	0.9975	-0.000
3106	4480	5	0.9943	-78.118
2868	3710	5	0.9968	-13.983
3276	3710	5	0.9966	-26.015
2669	3064	5	0.9969	90.084
1167	4491	5	0.9973	-98.145
2878	3394	5	0.9972	9.984
2669	4480	5	0.9972	-14.050
2878	3716	5	0.9978	-68.099
2287	3222	5	0.9994	-80.134
3302	4269	5	0.9957	2.013
3222	4214	5	0.9967	-12.001
2852	4466	5	0.9966	-92.135
1167	2132	5	0.9955	43.954
2669	4491	5	0.9986	132.094
3746	4480	5	0.9974	-56.061
2132	4491	5	0.998	-142.099
3729	4467	5	0.9972	14.016
2529	4467	5	0.9947	-92.135
3394	3746	5	0.9996	-60.073
3064	4466	5	0.9968	-66.120
2287	3394	5	0.9982	-4.031
2878	3746	5	0.9976	-50.089
2132	2669	5	0.9963	-274.193
2868	3276	5	0.9918	12.032
3302	4467	5	0.995	26.014
3276	4481	5	0.9935	-12.033
3302	3729	5	0.9955	11.998
3222	4466	5	0.9998	-2.016
2669	3222	5	0.9965	25.980
2957	4472	5	0.9972	-27.994
2287	4269	5	0.9967	-92.136
2868	3685	5	0.996	-0.003
2132	3106	5	0.995	-210.125
3276	3298	5	0.9908	13.986
3268	4481	5	0.992	0.000
3064	3222	5	0.9973	-64.103
3222	3716	5	0.9967	-1.980
2868	3268	5	0.9964	-0.001
2669	3394	5	0.9986	102.083
2878	3106	5	0.9947	-28.031
2866	3302	5	0.9955	-24.002
2868	4481	5	0.9921	-0.000
2866	3276	5	0.9939	-13.982
2878	4480	5	0.9953	-106.149
3222	3729	5	0.9974	-2.017
3394	4491	5	0.9999	30.011
3064	3394	5	0.9973	12.000
3064	4467	5	0.9964	-52.104
2878	4491	5	0.9973	39.995
4269	4467	5	0.9972	24.001
4214	4467	5	0.9967	24.000
3268	3710	5	0.9952	-13.982
3716	4480	5	0.9973	-38.050
3302	3934	5	0.9944	2.014
3685	4481	5	0.9892	0.002
2132	3064	5	0.9955	-184.109
2957	3729	5	0.9967	-2.016
2669	2878	5	0.9976	92.099
3064	3716	5	0.9972	-66.084
3394	3716	5	0.9991	-78.083
3302	4214	5	0.9965	2.014
3717	4472	5	0.9987	0.000
1202	3613	7	0.7488	-238.229
3927	4047	7	0.7339	-40.031
4047	4403	7	0.8021	-56.134
3999	4086	7	0.7447	23.999
3927	4403	7	0.7782	-96.166
1990	4191	7	0.9321	-96.167
1202	3933	7	0.7711	-266.261
4086	4403	7	0.8352	-112.160
4191	4403	7	0.7245	-84.130
3927	4086	7	0.7511	15.995
3792	4088	7	0.8097	-4.032
3613	3933	7	0.8842	-28.032
3792	3927	7	0.825	24.000
3613	3927	7	0.7557	15.994
1990	3927	7	0.7607	-84.130
3553	3927	7	0.8611	1.979
3553	3613	7	0.7409	-14.015
3927	4088	7	0.7596	-28.031
4047	4086	7	0.8334	56.026
3827	4152	8	0.7936	0.000
3827	3973	8	0.7887	-0.000
3512	4248	8	0.8869	0.000
4152	4567	8	0.921	0.000
3827	4248	8	0.8059	0.000
4152	4248	8	0.9931	0.000
3512	4152	8	0.8756	0.000
3973	4248	8	0.9789	0.000
3512	4585	8	0.9414	0.000
