row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML Peak area,POS_TJGIp3_3_Run173.mzML Peak area,POS_TJGIp3_1_Run55.mzML Peak area,POS_TJGIp3_2_Run137.mzML Peak area,Unnamed: 19
4540,81.52047367836855,10.566833,,,,45.0,,,,,,,18407936.0,14914067.0,23256456.0,21033402.0,17019746.0,20128282.0,
4370,83.0603179052596,9.924976,,,,,,,,,,,96651.18,72668.35,46526.863,86232.586,1175002.5,82690.18,
4405,83.06032350100239,10.127541,,,,,,,,,,,1029817.56,478256.22,285022.12,500886.38,101442.305,887144.06,
56,83.0603324051848,0.37302420000000003,,,,4.0,9.0,[M-2H2O+NH4]+,,2.0,56;49,101.04764,1804866.0,1793931.9,2129799.5,1896784.6,1633255.5,1908850.8,
4351,83.06035368096359,9.761204,,,,,,,,,,,148783.42,643229.5,131336.83,62631.664000000004,67748.53,111659.16,
132,84.04437513958455,0.38351199999999996,,,,4.0,18.0,[M+H]+,,2.0,56;132,83.03709,1712146.4,1587660.2,2704379.2,2323558.8,2259096.0,3398993.0,
4555,84.95961687525212,10.60662,,,,45.0,,,,,,,1262315.9,865195.3,1868236.5,1919405.2,437254.22,1836802.1,
6,84.9597025496976,0.2439984,,,,,,,,,,,2410796.2,1223496.9,1435999.4,3090991.0,615430.56,2693439.0,
190,86.0600541933789,0.5802984999999999,,,,,,,,,,,1112180.6,492776.03,248638.55,3049200.2,351349.25,384823.4,
271,86.0600647095162,0.85534304,,,,,,,,,,,3793234.5,3033401.5,2769480.8,108460.7,897291.1,693988.25,
223,86.0600948592193,0.68747616,,,,,,,,,,,473413.5,496133.8,116179.16,519296.3,1028959.94,3648561.0,
1973,86.09639210186457,6.1362023,,,,303.0,,,,,,,2083811.2,509489.16,1434622.6,2452781.5,406503.84,2783635.5,
1881,86.09639934090609,6.082313,,,,,,,,,,,1298269.4,2088542.6,304443.97,783520.5,3018622.0,1346131.0,
2053,86.09640223680096,6.301537000000001,,,,,,,,,,,53667.89,23664.68,585428.9,1660043.9,92981.22,316759.9,
239,86.0964325800588,0.73537964,,,,240.0,,,,,,,48343310.0,54949988.0,51831080.0,73854580.0,56625350.0,84696440.0,
316,86.09643460903669,0.96423644,,,,,,,,,,,237024.45,103605.29,247044.61,478313.2,332997.06,335501.97,
583,86.09643588164772,2.7085272999999996,,,,,,,,,,,671661.3,500674.3,601177.3,1093032.2,386874.25,672393.94,
725,86.0964597760725,2.9155805,,,,157.0,,,,,,,1005500.56,1149587.1,990992.1,2456540.8,923180.94,2730455.8,
980,86.09645273534527,3.6930182,,,,,,,,,,,668935.6,846832.6,416075.75,959553.1,305027.97,881062.0,
177,90.05494008689828,0.5050507000000001,,,,,,,,,,,183085.08,95413.43,93768.11,611205.4,67676.414,492931.34,
236,90.05496230759083,0.7219369999999999,,,,,,,,,,,995543.9,1041953.3,1074598.4,1075172.2,852922.56,1016012.6,
4547,90.5258080571787,10.5775385,,,,45.0,,,,,,,39842410.0,32904928.0,41777110.0,36949452.0,36031024.0,43033984.0,
4529,94.04499886899056,10.512417,,,,27.0,,,,,,,3930966.8,3276854.5,4316760.0,3934543.8,3754423.5,4245235.5,
988,95.08555569360279,3.6947277,,,,30.0,,,,,,,377383.44,453466.75,416866.44,670965.5,503545.72,548833.3,
850,95.08556159972863,3.2585437,,,,,,,,,,,139230.23,250781.5,178732.89,283826.84,279902.12,324852.4,
3518,97.10111333191507,7.9533334,,,,34.0,,,,,,,227788.81,74157.17,486480.1,124213.46,98453.15,120831.82,
922,97.10121905235106,3.450325,,,,51.0,,,,,,,223996.44,317458.0,173112.84,561218.25,431962.12,435556.78,
4546,97.9912571723778,10.574974000000001,,,,45.0,,,,,,,6529427.0,6210436.5,8939918.0,8524117.0,7169204.0,8464234.0,
4514,98.51191998740036,10.441117,,,,130.0,,,,,,,1080616.4,373287.5,1265191.0,1277189.1,117777.34,372731.75,
4587,98.51198270949482,10.963319,,,,,,,,,,,636821.0,5781423.0,451018.0,3378145.8,5983867.0,825095.94,
4594,98.51200635996355,11.243286,,,,,,,,,,,4543088.0,1086129.9,724628.2,733685.3,742170.9,613459.06,
1237,99.044050621436,4.678275599999999,,,,86.0,,,,,,,105407.36,110983.55,91002.81,95712.89,85564.0,82122.09,
266,99.04405603803421,0.8755175999999999,,,,,,,,,,,302846.22,200088.34,490162.0,1288924.8,788169.75,989740.06,
323,99.04407316773182,1.0547189,,,,,,,,,,,1286587.1,1627383.8,1399930.4,1631053.4,2816748.2,1548423.9,
4528,99.5121348854554,10.495022,,,,19.0,,,,,,,2667248.0,2227625.5,2969222.5,2764493.5,2085510.2,2410759.2,
4549,99.531044704603,10.583801,,,,45.0,,,,,,,2585951.8,3984445.5,3672297.0,3712531.8,3088031.2,2843991.0,
230,100.0756687544574,0.6855852,,,,,,,,,,,527246.5,522182.22,306944.22,244223.52,306972.44,235283.52,
366,100.07570548060605,1.4005201999999999,,,,,,,,,,,4120968.0,5019650.5,6559229.5,9409848.0,6477358.0,9959839.0,
465,100.07570816370152,2.3510318,,,,,,,,,,,367517.8,213745.44,119089.71,226024.84,117116.03,340556.84,
394,100.07570887791391,1.945902,,,,218.0,,,,,,,18392856.0,21089556.0,8346884.0,15891606.0,28137508.0,13216621.0,
4431,100.11196663729237,10.195202,,,,,,,,,,,793573.6,686730.25,734495.6,683391.7,671047.5,806189.94,
796,100.11207157204329,3.130046,,,,36.0,,,,,,,1112742.9,1088289.5,577183.25,560860.4,1453514.2,1270891.8,
171,101.02330230256314,0.5480389,,,,,,,,,,,270048.12,327383.84,694305.8,573387.8,1079160.1,529290.44,
215,101.02331680804865,0.6394699,,,,255.0,,,,,,,2802695.0,3217330.0,4446875.0,5750793.5,3069485.0,7188095.5,
4412,101.07088092669373,10.14902,,,,,,,,,,,5766446.0,6171745.0,23440798.0,23954934.0,4700141.5,28541988.0,
4048,101.07095068503668,8.559401,,,,,,,,,,,5290958.5,11307881.0,12885926.0,9442193.0,6440519.5,12505332.0,
4541,102.03376224421459,10.56691,,,,45.0,,,,,,,68137730.0,61029532.0,78193970.0,70738456.0,70011600.0,73538440.0,
1576,102.0549117096795,5.565925599999999,,,,40.0,,,,,,,279945.94,301560.4,302521.47,508206.06,485030.2,449549.25,
49,102.05491509410116,0.36861625,,,,4.0,9.0,[M+H]+,,2.0,56;49,101.04764,18934334.0,16857382.0,25556164.0,23220648.0,19584806.0,27710106.0,
1048,102.05496511579159,3.827589,,,,,,,,,,,0.0,21000.16,0.0,3428.6514,192691.44,0.0,
4543,102.53533947071855,10.56767,,,,45.0,,,,,,,5902010.5,5303837.5,6830643.0,6111889.0,6078662.5,6393476.5,
780,103.07534619151221,3.089608,,,,,,,,,,,115452.72,143400.95,489334.0,194292.22,354941.38,37095.72,
859,103.075348261385,3.268158,,,,,,,,,,,19063.535,29449.066000000003,181200.33,116460.08,123112.93,13369.383999999998,
4539,104.03011457544581,10.566152,,,,45.0,,,,,,,1741467.0,1564074.5,2038505.6,1821520.2,1791296.9,1864396.2,
178,104.07051704209287,0.4711232,,,,,,,,,,,492862.34,118013.266,340221.06,1463883.8,108048.83,926480.75,
51,104.07052463314898,0.37008289,,,,4.0,,,,,,,862984.9,763971.6,1270072.5,1346212.6,1323542.4,1521530.6,
29,104.10690628754257,0.35682952,,,,4.0,,,,,,,35325156.0,45074300.0,41855940.0,62918012.0,63160400.0,51918484.0,
181,104.10692868252468,0.5103173,,,,,,,,,,,157885.48,2083051.9,4107674.5,4247711.5,727186.94,595351.94,
3,104.1069339319116,0.19867925,,,,,,,,,,,57193.57,530935.8,208787.97,137202.17,324523.62,565561.8,
333,104.10693646487623,1.0805633999999997,,,,,,,,,,,35673.48,482893.34,718113.75,172520.4,645850.5,723484.7,
339,104.10695492859364,1.1163412,,,,,,,,,,,35673.48,702645.5,307453.5,64372.335999999996,687786.7,371539.53,
