CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
722	792	1	0.9832	24.000
1474	1530	1	0.9813	0.000
1700	1720	1	0.9815	-14.015
1261	1269	1	0.9619	24.000
722	775	1	0.9829	-28.031
1488	1657	1	0.9866	-0.001
1445	1696	1	0.9132	-0.002
1410	1748	1	0.9466	-40.031
1171	1261	1	0.9894	0.000
1706	1803	1	0.8194	31.990
1427	1457	1	0.8503	71.037
1261	1410	1	0.9723	24.000
1825	2021	1	0.9018	-29.027
1474	1748	1	0.9746	24.000
1478	1676	1	0.9543	14.015
784	1453	1	0.8439	-262.229
1413	1660	1	0.943	29.027
1099	1622	1	0.9803	-108.131
1453	1627	1	0.9309	-0.000
1453	1997	1	0.9997	-0.001
1445	1623	1	0.9194	-0.002
842	1997	1	0.9036	-262.230
1825	1965	1	0.8917	-2.015
1410	1478	1	0.9562	-14.016
1462	1738	1	0.8541	-38.015
1410	1676	1	0.9745	-0.000
1623	1965	1	0.9705	-0.001
1536	1605	1	0.9375	-108.130
1440	1713	1	0.9251	-124.126
1269	1748	1	0.9507	-40.031
1488	1825	1	0.9907	-0.004
688	842	1	0.8168	0.102
1460	1800	1	0.8514	-108.131
1425	1567	1	0.9679	108.130
1735	1805	1	0.9817	108.131
1676	1720	1	0.9676	-28.031
1548	1649	1	0.9679	24.000
1099	1727	1	0.9746	-108.131
1548	1713	1	0.9662	-124.126
1233	1622	1	0.847	24.000
1679	1727	1	0.8947	27.995
1649	1735	1	0.9927	-108.131
1451	2011	1	0.8408	-24.001
1698	1881	1	0.8737	29.027
1314	2021	1	0.9952	-108.130
1676	1700	1	0.9827	-14.016
1657	2021	1	0.8935	-29.030
1966	1975	1	0.9263	-84.131
1395	1413	1	0.8837	14.016
1660	1727	1	0.9643	-1.033
842	871	1	0.9931	24.000
1619	1649	1	0.973	24.000
1617	1940	1	0.8686	40.031
1687	1727	1	0.8838	26.014
1453	1474	1	0.8379	214.156
1605	1727	1	0.9194	27.995
1567	1805	1	0.9719	0.000
1425	1649	1	0.9869	108.130
1438	1752	1	0.8955	24.000
1619	1808	1	0.9251	-110.146
1453	1719	1	0.9284	38.015
1011	1050	1	0.971	-0.000
1610	1657	1	0.9027	29.030
1116	1410	1	0.9696	24.000
784	924	1	0.9502	24.000
1735	1972	1	0.9827	108.131
1445	1605	1	0.8366	-11.020
1451	1610	1	0.9411	-0.001
1567	1619	1	0.9623	-24.000
1805	1966	1	0.9387	-24.000
2005	2014	1	0.9222	-39.995
784	1711	1	0.8865	-262.229
1605	1660	1	0.9361	29.027
1413	1605	1	0.9842	0.000
1552	1622	1	0.9856	0.000
784	1997	1	0.8435	-262.229
1413	1679	1	0.9378	-0.000
1548	1805	1	0.9515	24.000
1410	1720	1	0.962	-28.031
1657	1881	1	0.9829	-0.003
1203	2014	1	0.9088	-24.000
1319	2014	1	0.8479	-24.000
1261	1700	1	0.9926	9.984
1440	1975	1	0.9902	-84.131
1698	2021	1	0.9717	0.000
1314	1698	1	0.9716	-108.131
1011	1102	1	0.9769	0.000
1488	1965	1	0.8862	-2.019
1395	1660	1	0.887	43.043
1171	1530	1	0.9091	-40.031
1649	1805	1	0.9876	0.000
784	1627	1	0.9099	-262.229
1171	1553	1	0.973	24.000
1727	2005	1	0.9746	0.000
1438	1713	1	0.9602	-0.000
1972	1975	1	0.9782	-108.131
1627	1997	1	0.9367	-0.000
1548	1735	1	0.9647	-84.131
1171	1700	1	0.9783	9.984
784	871	1	0.9498	24.000
1427	1738	1	0.867	71.037
1696	1965	1	0.9769	-0.001
1805	1975	1	0.9771	-108.131
1552	1679	1	0.8855	-27.995
1269	1700	1	0.9689	-14.016
