ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	924193.5466666666	1282799.7833333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3299	0.3299	0	N/A	N/A	6620979.99	6	5	-1	 	6	-90.9280	-1	92.9280	6620979.99
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1742294.7033333334	1148346.5866666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"54","main.cluster index_upperinput":"54"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5412	0.5412	0	N/A	N/A	8671923.870000001	6	54	-1	 	6	-90.9280	-1	92.9280	8671923.870000001
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	451092.69	1274390.7	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3299	0.3299	0	N/A	N/A	5176450.17	6	4	-1	 	6	-92.9251	-1	94.9251	5176450.17
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	845764.5666666667	712169.5333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"55","main.cluster index_upperinput":"55"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5510	0.5510	0	N/A	N/A	4673802.300000001	6	55	-1	 	6	-92.9251	-1	94.9251	4673802.300000001
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	473482.8163333333	243975.56333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"368","main.cluster index_upperinput":"368"}	This Node is a Singleton	N/A	N/A	N/A	 	2.5273	2.5273	0	N/A	N/A	2152375.139	6	368	-1	 	6	-93.0503	-1	95.0503	2152375.139
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	8373106.666666667	9198718.333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3274","main.cluster index_upperinput":"3274"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6194	10.6194	0	N/A	N/A	52715475.0	6	3274	-1	 	6	-94.9601	-1	96.9601	52715475.0
CTRL,EXP	 	 	129.0	0.0	0.0	0.0	0.0	0.0	0.0	2460827.966666667	751131.8200000001	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"131","main.cluster index_upperinput":"131"}	This Node is a Singleton	N/A	N/A	N/A	 	1.4163	1.4163	0	N/A	N/A	9635879.36	6	131	-1	 	6	-95.0295	-1	97.0295	9635879.36
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	211164.65333333332	605143.1799999999	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3147","main.cluster index_upperinput":"3147"}	This Node is a Singleton	N/A	N/A	N/A	 	8.7219	8.7219	0	N/A	N/A	2448923.5	6	3147	-1	 	6	-98.9336	-1	100.9336	2448923.5
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	297496.91333333333	432263.3433333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3135","main.cluster index_upperinput":"3135"}	This Node is a Singleton	N/A	N/A	N/A	 	8.5818	8.5818	0	N/A	N/A	2189280.77	6	3135	-1	 	6	-98.9337	-1	100.9337	2189280.77
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	377008.44666666666	537748.41	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3123","main.cluster index_upperinput":"3123"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4008	8.4008	0	N/A	N/A	2744270.5700000003	6	3123	-1	 	6	-98.9337	-1	100.9337	2744270.5700000003
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	362875.44333333336	184102.94233333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3125","main.cluster index_upperinput":"3125"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4843	8.4843	0	N/A	N/A	1640935.1570000001	6	3125	-1	 	6	-98.9337	-1	100.9337	1640935.1570000001
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	374160.95666666667	161382.46	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3240","main.cluster index_upperinput":"3240"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2799	10.2799	0	N/A	N/A	1606630.25	6	3240	-1	 	6	-98.9337	-1	100.9337	1606630.25
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	897082.1466666666	503555.64	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3105","main.cluster index_upperinput":"3105"}	This Node is a Singleton	N/A	N/A	N/A	 	8.3379	8.3379	0	N/A	N/A	4201913.359999999	6	3105	-1	 	6	-98.9337	-1	100.9337	4201913.359999999
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	508095.1666666666	279015.51	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3001","main.cluster index_upperinput":"3001"}	This Node is a Singleton	N/A	N/A	N/A	 	7.8572	7.8572	0	N/A	N/A	2361332.03	6	3001	-1	 	6	-98.9337	-1	100.9337	2361332.03
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	459724.26999999996	460111.89666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3023","main.cluster index_upperinput":"3023"}	This Node is a Singleton	N/A	N/A	N/A	 	7.9533	7.9533	0	N/A	N/A	2759508.5	6	3023	-1	 	6	-98.9337	-1	100.9337	2759508.5
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	337143.8	528085.0800000001	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3070","main.cluster index_upperinput":"3070"}	This Node is a Singleton	N/A	N/A	N/A	 	8.2049	8.2049	0	N/A	N/A	2595686.64	6	3070	-1	 	6	-98.9337	-1	100.9337	2595686.64
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	104772.308	125577.92333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2959","main.cluster index_upperinput":"2959"}	This Node is a Singleton	N/A	N/A	N/A	 	7.6044	7.6044	0	N/A	N/A	691050.6939999999	6	2959	-1	 	6	-98.9337	-1	100.9337	691050.6939999999
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	529751.8033333333	571557.4566666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3084","main.cluster index_upperinput":"3084"}	This Node is a Singleton	N/A	N/A	N/A	 	8.2679	8.2679	0	N/A	N/A	3303927.7800000003	6	3084	-1	 	6	-98.9337	-1	100.9337	3303927.7800000003
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	652696.8333333334	770041.1599999999	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3192","main.cluster index_upperinput":"3192"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2267	10.2267	0	N/A	N/A	4268213.98	6	3192	-1	 	6	-98.9337	-1	100.9337	4268213.98
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	514866.3	586981.1133333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3058","main.cluster index_upperinput":"3058"}	This Node is a Singleton	N/A	N/A	N/A	 	8.0601	8.0601	0	N/A	N/A	3305542.24	6	3058	-1	 	6	-98.9337	-1	100.9337	3305542.24
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	250440.46	265159.35000000003	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3241	0.3241	0	N/A	N/A	1546799.4300000002	6	2	-1	 	6	-100.9569	-1	102.9569	1546799.4300000002
CTRL,EXP	 	 	24.0	0.0	0.0	0.0	0.0	0.0	0.0	819562.0700000001	1309690.8933333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24","main.cluster index_upperinput":"24"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3942	0.3942	0	N/A	N/A	6387758.890000001	6	24	-1	 	6	-101.0037	-1	103.0037	6387758.890000001
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1300050.7133333334	447116.9033333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=7274bd46652541658b8e3759224b0712&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"84","main.cluster index_upperinput":"84"}	This Node is a Singleton	N/A	N/A	N/A	 	0.8000	0.8000	0	N/A	N/A	5241502.850000001	6	84	-1	 	6	-101.0401	-1	103.0401	5241502.850000001
