ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	173308.71333333335	508987.63	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"101","main.cluster index_upperinput":"101"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5247	0.5247	0	N/A	N/A	2046889.0299999998	6	101	-1	 	6	-86.0403	-1	88.0403	2046889.0299999998
CTRL,EXP	 	 	81.0	0.0	0.0	0.0	0.0	0.0	0.0	677070.3666666667	1589930.0333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"130","main.cluster index_upperinput":"130"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7194	0.7194	0	N/A	N/A	6801001.199999999	6	130	-1	 	6	-86.0403	-1	88.0403	6801001.199999999
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	164849.25333333333	58648.56333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1975","main.cluster index_upperinput":"1975"}	This Node is a Singleton	N/A	N/A	N/A	 	10.1070	10.1070	0	N/A	N/A	670493.45	4	1975	-1	 	4	-87.0243	-1	89.0243	670493.45
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1285808.4333333333	1098953.5166666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"100","main.cluster index_upperinput":"100"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5101	0.5101	0	N/A	N/A	7154285.85	6	100	-1	 	6	-87.0243	-1	89.0243	7154285.85
CTRL,EXP	 	 	178.0	0.0	0.0	0.0	0.0	0.0	0.0	799079.7466666667	728109.5266666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"86","main.cluster index_upperinput":"86"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4512	0.4512	0	N/A	N/A	4581567.82	6	86	-1	 	6	-87.0243	-1	89.0243	4581567.82
CTRL,EXP	 	 	13.0	0.0	0.0	0.0	0.0	0.0	0.0	2817612.966666667	3417921.8333333335	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"77","main.cluster index_upperinput":"77"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3963	0.3963	0	N/A	N/A	18706604.4	6	77	-1	 	6	-94.9601	-1	96.9601	18706604.4
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4014794.433333333	3881541.6666666665	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2074","main.cluster index_upperinput":"2074"}	This Node is a Singleton	N/A	N/A	N/A	 	11.0097	11.0097	0	N/A	N/A	23689008.3	6	2074	-1	 	6	-94.9601	-1	96.9601	23689008.3
CTRL,EXP	 	 	13.0	0.0	0.0	0.0	0.0	0.0	0.0	3082554.7	3500630.2666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"32","main.cluster index_upperinput":"32"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3706	0.3706	0	N/A	N/A	19749554.9	6	32	-1	 	6	-94.9696	-1	96.9696	19749554.9
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	91698.7	279287.072	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"79","main.cluster index_upperinput":"79"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4205	0.4205	0	N/A	N/A	1112957.316	6	79	-1	 	6	-97.0087	-1	99.0087	1112957.316
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	314081.56666666665	470433.2133333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=fbcd3e658bfc47049cd44720b5220c53&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"119","main.cluster index_upperinput":"119"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6492	0.6492	0	N/A	N/A	2353544.34	6	119	-1	 	6	-97.0088	-1	99.0088	2353544.34
