CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1187	2874	1	0.9997	-82.114
2414	3750	1	0.9979	-38.052
2571	2665	1	0.9972	56.026
3084	3298	1	0.9967	-68.099
3802	4603	1	0.9923	0.002
1187	2508	1	0.9997	-26.089
2571	3084	1	0.9989	-14.015
2571	2874	1	0.9981	-12.000
2571	4625	1	0.9975	27.995
3084	3806	1	0.9953	-66.119
3084	4603	1	0.9953	-52.103
2508	2874	1	0.9993	-56.026
2874	3122	1	0.9982	-28.031
2665	3084	1	0.9961	-70.042
3292	4603	1	0.9922	0.001
3084	3750	1	0.9968	15.995
2874	4625	1	0.9995	39.995
2508	3806	1	0.9971	-124.160
3806	4625	1	0.9973	108.130
2665	2874	1	0.9997	-68.026
2571	3750	1	0.9978	1.979
3084	4625	1	0.9964	42.011
2665	4625	1	0.9998	-28.031
1187	3806	1	0.9972	-150.249
2665	3298	1	0.9979	-138.140
1187	2571	1	0.9969	-70.114
3296	3806	1	0.9946	11.998
3084	3122	1	0.9989	-26.016
2665	3806	1	0.9973	-136.161
3122	3298	1	0.9976	-42.083
2508	3298	1	0.9979	-126.140
2508	2665	1	0.9998	12.000
2571	3298	1	0.9978	-82.114
1187	4625	1	0.9997	-42.119
1187	3750	1	0.9954	-68.135
2679	2874	1	0.9962	-18.011
3122	3750	1	0.9979	42.011
2665	3296	1	0.995	-148.159
1187	2665	1	0.9999	-14.088
3298	4625	1	0.9984	110.110
1187	3084	1	0.9959	-84.130
2508	4625	1	0.9998	-16.031
2508	2571	1	0.9964	-44.026
2665	3122	1	0.9972	-96.057
2874	3806	1	0.9975	-68.134
2665	2679	1	0.995	-50.016
3298	3750	1	0.9954	84.094
1187	3122	1	0.997	-110.146
3750	4625	1	0.996	26.016
2679	3750	1	0.9999	-4.031
2874	3298	1	0.9981	-70.114
2571	3122	1	0.9999	-40.031
1187	3298	1	0.9977	-152.229
2508	3084	1	0.9953	-58.041
3122	3806	1	0.9963	-40.103
2679	3084	1	0.9967	-20.026
3298	3806	1	0.9984	1.980
2508	3296	1	0.9944	-136.158
1187	2679	1	0.9954	-64.104
2414	2679	1	0.9979	-34.020
2665	3750	1	0.995	-54.047
2508	3122	1	0.9963	-84.057
2571	2679	1	0.9977	6.011
2874	3084	1	0.9971	-2.015
2679	3122	1	0.9978	-46.042
3122	4625	1	0.9975	68.026
2874	3750	1	0.9962	13.979
736	850	2	0.8304	-14.016
3783	4253	3	0.8452	0.000
2764	4322	3	0.8863	-0.090
2405	4079	3	0.8512	0.000
3776	3782	3	0.8443	2.016
3599	3782	3	0.9424	0.000
3782	3915	3	0.8944	-2.016
4255	4534	3	0.8802	2.016
2036	2308	3	0.8722	-0.000
4255	4443	3	0.902	0.000
4451	4534	3	0.8584	-2.016
3231	4443	3	0.8716	-2.016
3776	4443	3	0.9946	0.000
3915	4255	3	0.9817	0.000
3777	4322	3	0.9637	-0.000
2768	4443	3	0.8534	0.000
3782	4534	3	0.9233	0.000
2764	2769	3	0.9385	-0.090
3599	4451	3	0.9104	2.016
4228	4255	3	0.8815	-1.012
2964	3231	3	0.8766	0.000
2211	4322	3	0.8597	0.000
3915	4443	3	0.9165	0.000
3915	4227	3	0.8697	2.015
1729	3087	3	0.9329	-0.000
2405	2964	3	0.9161	0.000
2211	2764	3	0.9069	0.091
2764	3777	3	0.8838	-0.090
2964	4534	3	0.8577	0.000
2769	3777	3	0.8563	0.000
3340	4534	3	0.8489	18.011
3915	4534	3	0.8806	2.016
3231	4227	3	0.9566	-0.000
3776	4319	3	0.9732	-0.000
2308	3777	3	0.8455	0.000
4137	4324	3	0.8619	-1.003
3915	4319	3	0.86	-0.000
3596	4126	3	0.8709	-0.000
3231	4534	3	0.961	0.000
2308	2976	3	0.8543	0.000
2964	4079	3	0.9294	-0.000
1729	4079	3	0.9104	-0.000
3776	4255	3	0.8665	0.000
4253	4324	3	0.844	-18.011
3710	4322	3	0.9221	0.036
3506	4004	3	0.8457	15.994
4227	4255	3	0.8675	-2.015
3710	3777	3	0.9152	0.036
2423	3599	3	0.8789	-0.053
3087	4079	3	0.9401	-0.000
2990	3510	3	0.9878	0.000
2405	2423	3	0.8621	0.054
2036	2976	3	0.8667	-0.000
2976	4322	3	0.88	0.000
2976	2990	3	0.8418	4.031
2969	3783	3	0.8605	0.000
3231	3782	3	0.9587	-0.000
4227	4534	3	0.9185	0.000
4443	4534	3	0.8498	2.016
3599	4227	3	0.9789	-0.000
1729	2964	3	0.9416	-0.000
3915	4228	3	0.8833	1.012
3340	4322	3	0.8634	-2.016
3599	4534	3	0.9143	0.000
2769	4322	3	0.8634	0.000
3599	4079	3	0.8707	-0.000
2308	3340	3	0.8609	2.016
4319	4443	3	0.9712	0.000
3782	4451	3	0.8861	2.016
3506	4324	3	0.8578	13.979
4126	4451	3	0.926	0.000
3599	4255	3	0.8691	-2.016
3776	3915	3	0.8832	0.000
1729	2405	3	0.9003	-0.000
2423	4227	3	0.8645	-0.054
2976	3777	3	0.8853	0.000
3231	4079	3	0.861	-0.000
2211	3777	3	0.8571	0.000
4227	4443	3	0.8568	-2.015
2964	3087	3	0.9254	0.000
3340	3777	3	0.8546	-2.016
3782	4227	3	0.942	-0.000
2768	2969	3	0.8413	-1.003
4227	4451	3	0.8964	2.016
2405	3087	3	0.9022	0.000
2964	4227	3	0.8489	-0.000
3782	4443	3	0.8629	-2.016
3231	4255	3	0.8974	-2.016
3782	4255	3	0.8812	-2.016
2211	2769	3	0.8816	0.000
3596	4451	3	0.8416	0.000
4255	4322	3	0.8654	-18.011
2769	4324	3	0.8874	-1.003
2764	3710	3	0.8522	-0.126
3231	4451	3	0.888	2.016
2964	3599	3	0.88	0.000
3231	3599	3	0.9565	-0.000
3087	3599	3	0.8691	0.000
3231	3915	3	0.9022	-2.016
2769	4137	3	0.8812	-0.000
2768	4319	3	0.8431	-0.000
2846	2972	4	0.775	0.000
2754	2846	4	0.9694	0.000
2754	2972	4	0.7622	0.000
3709	4134	5	0.816	46.041
2828	3647	5	0.8977	46.041
3730	4134	5	0.838	47.045
2828	2830	5	0.7981	18.010
2828	3709	5	0.798	0.000
2830	3731	5	0.8165	-35.976
2906	3731	5	0.8263	-32.018
2830	4134	5	0.7945	28.031
2830	3730	5	0.7816	-19.013
3709	3731	5	0.857	-17.966
2830	3647	5	0.7837	28.031
3709	3730	5	0.8024	-1.003
3647	3680	5	0.8352	-0.020
2830	3709	5	0.9451	-18.010
4702	4722	6	0.9723	0.000
4708	4722	6	0.8778	0.000
4682	4722	6	0.8368	0.000
4702	4708	6	0.9047	-0.000
3151	3158	7	0.859	-74.073
3151	3157	7	0.9376	56.062
2920	3151	7	0.7522	-16.031
3157	3158	7	0.7991	-130.136
2920	2921	7	0.8326	-74.073
4184	4465	8	0.752	-110.182
2218	2685	8	0.7309	0.000
2222	2226	8	0.8425	-18.011
4280	4562	8	0.7531	-2.015
4465	4550	8	0.939	15.995
2222	2223	8	0.867	144.042
3856	4393	8	0.7039	15.995
4362	4433	8	0.9477	0.000
2218	2222	8	0.8553	-162.053
4433	4562	8	0.7499	-162.053
2046	4465	8	0.7444	-110.183
2218	4184	8	0.7988	-15.995
4003	4562	8	0.7001	-2.016
4339	4344	8	0.8347	18.011
4303	4363	8	0.8028	-14.016
2046	2218	8	0.7888	15.994
4280	4284	8	0.8373	162.053
4363	4562	8	0.9137	0.001
4363	4433	8	0.842	162.053
4280	4292	8	0.7433	-18.010
4284	4393	8	0.8993	-0.000
4280	4363	8	0.7771	-2.016
2045	4185	8	0.8566	0.000
4280	4393	8	0.7703	162.053
2218	2223	8	0.954	-18.010
4362	4562	8	0.7786	-162.053
2218	4465	8	0.8089	-126.177
2222	4303	8	0.7057	-124.161
2226	4185	8	0.8401	-15.995
4183	4339	8	0.9176	0.000
3997	4362	8	0.741	-2.016
4362	4363	8	0.8016	-162.053
4003	4363	8	0.7189	-2.016
4183	4184	8	0.8366	18.011
4183	4344	8	0.797	18.011
2115	2223	8	0.7972	-20.026
2045	2226	8	0.9227	15.995
2046	2080	8	0.8899	0.021
3997	4003	8	0.7996	-162.053
4184	4339	8	0.8762	-18.010
2223	4339	8	0.7343	-15.994
4184	4344	8	0.9264	0.000
2046	4184	8	0.738	-0.000
2115	2218	8	0.7813	-2.016
2223	2685	8	0.7235	18.010
4303	4562	8	0.838	-14.015
2710	3786	9	0.9939	39.995
2697	3269	9	0.9965	-42.120
1013	2300	9	0.9933	-92.135
2867	3780	9	0.9969	-92.098
2867	3535	9	0.9916	0.001
3190	4601	9	0.9936	-66.082
3786	4601	9	0.9937	-42.009
3780	3786	9	0.9942	15.994
2879	3301	9	0.9925	0.001
1061	2710	9	0.9986	-214.245
1061	3780	9	0.999	-190.244
3260	4601	9	0.993	2.016
