row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_pos_20210511_Run212.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_pos_20210511_Run46.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_pos_20210511_Run102.mzML Peak area,POS_TJGIp4_1_Run58.mzML Peak area,POS_TJGIp4_3_Run182.mzML Peak area,POS_TJGIp4_2_Run87.mzML Peak area,Unnamed: 19
4673,81.52045430902324,10.560512,,,,114.0,,,,,,,23256456.0,14914067.0,18407936.0,18659964.0,23107322.0,20174014.0,
4541,83.06029865961406,10.124833,,,,,,,,,,,285022.12,478256.22,1029817.56,435124.56,346613.44,761455.8,
65,83.06032287002651,0.37529573,,,,9.0,9.0,[M-2H2O+NH4]+,,2.0,47;65,101.04763,2129799.5,1793931.9,1804866.0,2111513.2,2670557.8,2291255.8,
4470,83.0603333589834,9.768303,,,,,,,,,,,131336.83,643229.5,148783.42,659160.9,259224.38,80521.805,
4417,83.06033571249252,9.428536,,,,,,,,,,,8739.83,34192.723,94429.51,72223.69,141256.0,276081.78,
90,84.04436534042851,0.37899570000000005,,,,9.0,14.0,[M+H]+,,2.0,90;65,83.03708,2704379.2,1587660.2,1712146.4,1815858.0,3436150.0,3139347.0,
4687,84.95959333795132,10.587513000000001,,,,,,,,,,,1868236.5,836110.25,1222171.4,1020788.56,1741249.8,934312.8,
2,84.95967262424703,0.10368618,,,,,,,,,,,562174.2,215845.95,848110.3,628157.2,707791.6,2691126.8,
7,84.95968543372597,0.26259968,,,,,,,,,,,1280385.5,943775.56,2410796.2,984864.6,499056.0,841212.4,
370,84.95974208074934,1.7176148,,,,,,,,,,,320022.44,607264.25,134039.06,1067674.2,340312.44,5617115.5,
254,86.06004887020686,0.86652595,,,,,,,,,,,2769480.8,3033401.5,3793234.5,3239526.8,805215.4,4276031.0,
1951,86.09638213355396,6.114466999999999,,,,236.0,,,,,,,1434622.6,1123035.9,2083811.2,3144839.0,1934680.5,3591883.5,
1868,86.09639258068937,6.0737343,,,,,,,,,,,304443.97,2088542.6,1256422.9,2920749.8,443205.28,2148795.2,
2061,86.09639814086495,6.3290153,,,,,,,,,,,585428.9,23664.68,27407.525,15827.253999999999,1101121.6,75714.96,
232,86.09641619642694,0.7369206,,,,149.0,,,,,,,51831080.0,54949988.0,48343310.0,60036990.0,72844500.0,69953810.0,
556,86.096441556138,2.709266,,,,,,,,,,,601177.3,500674.3,671661.3,237029.83,546847.75,611336.06,
452,86.09645535473351,2.3541086,,,,,,,,,,,344866.44,250790.58,844068.6,802927.06,930663.9,797879.3,
949,86.09645968175897,3.6921443999999997,,,,25.0,,,,,,,416075.75,846832.6,668935.6,807562.75,983915.2,842035.06,
684,86.09647253806679,2.9177713,,,,159.0,,,,,,,990992.1,1149587.1,1005500.56,1409361.9,1348629.1,1486986.4,
223,90.05494215310429,0.72081065,,,,,,,,,,,1074598.4,1041953.3,995543.9,486614.12,1487351.8,1270599.2,
4681,90.52578733409523,10.5721245,,,,114.0,,,,,,,41777110.0,32904928.0,39842410.0,38464880.0,46000708.0,41993228.0,
2167,91.05419906762708,6.467024299999999,,,,,,,,,,,262217.03,358588.94,261157.6,242772.64,308444.72,764010.5,
4665,94.04497258315568,10.512321,,,,94.0,,,,,,,4316760.0,3276854.5,3930966.8,4001192.0,4494267.5,4034633.2,
958,95.08556540539273,3.6946447,,,,25.0,,,,,,,416866.44,453466.75,377383.44,440225.75,489788.5,512772.25,
3542,97.10109915984451,7.9540744000000005,,,,,,,,,,,486480.1,74157.17,227788.81,103608.87,273680.53,116927.51,
4678,97.99123337992431,10.567372,,,,114.0,,,,,,,8939918.0,6210436.5,6529427.0,7325333.5,9008149.0,8328429.0,
4648,98.51189236889887,10.430659,,,,250.0,,,,,,,1265191.0,390958.0,1080616.4,470063.97,1399024.2,812155.0,
4723,98.51195793081452,10.920542999999999,,,,,,,,,,,451018.0,5781423.0,736511.6,6004182.0,971172.1,1249069.8,
4730,98.51197284084623,11.236266,,,,,,,,,,,724628.2,1086129.9,4543088.0,1099316.8,622685.5,1081735.4,
252,99.04404558389842,0.8910577,,,,,,,,,,,490162.0,162229.3,302846.22,435537.16,214509.12,73873.91,
304,99.04406521423729,1.0529288,,,,,,,,,,,1399930.4,1627383.8,1286587.1,555023.8,3167938.5,388035.44,
1204,99.04406747981449,4.6769977,,,,189.0,,,,,,,91002.81,110983.55,105407.36,98625.39,82224.56,95102.13,
4660,99.51210868899479,10.488008,,,,154.0,,,,,,,2969222.5,2227625.5,2667248.0,2246596.8,2710333.8,2531542.2,
4685,99.53102612523278,10.582539,,,,114.0,,,,,,,3672297.0,3984445.5,2585951.8,4009183.2,3259484.5,6290128.0,
220,100.0756429558207,0.6835439,,,,,,,,,,,306944.22,522182.22,527246.5,388435.03,337778.6,126280.46,
381,100.07571123920269,1.9494023,,,,299.0,,,,,,,8346884.0,21089556.0,18392856.0,15562427.0,13222087.0,18064508.0,
350,100.07571469796049,1.419676,,,,,,,,,,,6559229.5,5502702.0,4526133.0,12132149.0,8145209.0,4398152.0,
4573,100.11194729251687,10.2046,,,,,,,,,,,734495.6,686730.25,793573.6,983796.1,726197.44,822667.3,
761,100.11208394871616,3.1300042,,,,21.0,,,,,,,577183.25,1088289.5,1112742.9,850255.2,892695.4,959633.6,
202,101.0232921874396,0.6428712,,,,195.0,,,,,,,4446875.0,3217330.0,2802695.0,4705235.0,7890204.0,5929658.5,
4547,101.07085578257296,10.138322,,,,,,,,,,,23440798.0,6754751.5,6188889.5,35268716.0,28654472.0,4923218.5,
4186,101.07091773098844,8.572536999999999,,,,,,,,,,,12885926.0,11307881.0,4206356.0,4359138.5,5423823.0,17865028.0,
4674,102.03373713304352,10.560628999999999,,,,114.0,,,,,,,78193970.0,61029532.0,68137730.0,75405736.0,78481430.0,74500290.0,
47,102.0549022259365,0.36867356,,,,9.0,9.0,[M+H]+,,2.0,47;65,101.04763,25556164.0,16857382.0,18934334.0,18985530.0,29726268.0,27344746.0,
1563,102.05490358377723,5.560926,,,,228.0,,,,,,,302521.47,301560.4,279945.94,464440.8,340700.75,532596.9,
227,102.05491052266451,0.67104083,,,,,,,,,,,486117.62,169535.86,479738.03,149669.56,330247.06,255393.16,
255,102.05494236015012,0.82894325,,,,,,,,,,,76608.91,342098.3,118962.66,598934.5,196115.06,126531.086,
4675,102.53531573508334,10.563838,,,,114.0,,,,,,,6830643.0,5303837.5,5902010.5,6493733.0,6843817.5,6517352.0,
827,103.07535365958228,3.269152,,,,,,,,,,,181200.33,29449.066000000003,19063.535,11750.377,132940.7,148916.67,
748,103.0753540785886,3.0903747000000004,,,,,,,,,,,489334.0,143400.95,115452.72,186286.97,336391.34,112121.24,
4671,104.03008936980952,10.557416,,,,114.0,,,,,,,2038505.6,1564074.5,1741467.0,1911005.0,2017540.1,1881951.8,
96,104.07050926814549,0.37985405,,,,9.0,,,,,,,1270072.5,763971.6,862984.9,1347467.2,2310789.0,2464348.5,
33,104.10689349798588,0.35615906,,,,9.0,,,,,,,41855940.0,45074300.0,35325156.0,61827840.0,50312550.0,62035828.0,
4,104.10690669314607,0.16609927,,,,,,,,,,,451994.1,530935.8,57193.57,911745.5,118165.07,59076.47,
200,104.10690833416751,0.6357185000000001,,,,,,,,,,,508082.0,762422.94,186444.94,1072702.6,1501159.4,335815.56,
314,104.10694825617502,1.0959083,,,,,,,,,,,307453.5,482893.34,35673.48,381816.56,289081.16,134864.97,
707,104.10696491947095,3.0209667999999996,,,,,,,,,,,139213.44,163635.02,115652.5,577392.06,192771.12,177765.7,
326,104.10697884235547,1.1821618999999999,,,,,,,,,,,475386.8,702645.5,35673.48,357845.66,326853.75,117124.87,
492,104.10699494744459,2.4944507999999996,,,,,,,,,,,229625.02,9349.595,21008.222999999998,251059.75,138277.9,34563.94,
340,104.1069988813669,1.4092027,,,,,,,,,,,467159.94,1006707.75,22790.805,405250.38,250211.2,36253.062000000005,
1329,105.06984794759977,5.0789123,,,,257.0,,,,,,,342348.47,489492.66,398587.6,472966.9,370019.03,1199874.4,
891,105.06989871419269,3.4515936000000003,,,,19.0,64.0,[M+H]+,,2.0,888;891,104.06260999999999,854574.4,1119185.5,1161497.5,1376843.2,946309.1,801050.5,
770,109.10120861563836,3.1419337000000005,,,,21.0,,,,,,,429901.2,767300.8,581646.9,580276.3,466324.66,653742.06,
976,109.10121725452714,3.7570055,,,,128.0,,,,,,,1353210.9,1457991.2,1404874.6,988928.6,1961138.6,1967172.4,
9,110.00864091662508,0.33080855,,,,,,,,,,,74345.586,217598.14,151830.36,174695.78,85912.1,348118.12,
4647,110.01988705445116,10.431577,,,,250.0,,,,,,,2793007.8,929016.1,2826026.5,1152421.2,3071815.0,7643154.0,
177,110.05998211485569,0.56031626,,,,,,,,,,,801855.1,377577.2,377472.25,461940.84,542439.4,470619.12,
20,110.07115818775516,0.3480605,,,,,,,,,,,722015.6,399001.38,105142.31,201103.23,283328.75,598448.6,
4657,111.02006776595951,10.479825,,,,154.0,,,,,,,21940238.0,19258722.0,20659020.0,19588306.0,21548314.0,20921696.0,
4680,111.0389403934709,10.571202,,,,114.0,,,,,,,6421570.5,6900193.0,5925968.5,8540269.0,8121973.0,9302884.0,
159,111.04401783166028,0.43550572,,,,,,,,,,,488462.25,144377.73,16088.385,84701.28,1343810.0,1481100.9,
3547,111.11670874238855,7.9572787,,,,,,,,,,,413998.34,55576.574,186300.89,48430.555,229240.95,98161.914,
4654,111.52167597441952,10.47642,,,,154.0,,,,,,,1855252.8,1561020.9,1672901.2,1594987.6,1629460.0,1705498.1,
4658,112.01772161493632,10.479825,,,,154.0,,,,,,,8544640.0,7461590.5,8014002.0,7674788.0,8392338.0,8082031.0,
69,112.0504311047486,0.37603185,,,,9.0,13.0,[M+Na]+,,2.0,82;69,89.06069000000001,2148189.5,2789522.5,2474430.0,2737496.8,2112081.0,2878290.2,
243,112.05047379661465,0.7775786,,,,,,,,,,,408858.44,285469.4,265129.1,372489.6,565635.2,514712.66,
154,113.03444992129026,0.45641565,,,,,,,,,,,4725828.0,9546584.0,7057147.0,9932940.0,10127778.0,12461171.0,
166,113.03446240181472,0.5004942,,,,,,,,,,,17142484.0,12575988.0,15859356.0,8102726.5,40385468.0,30653330.0,
276,113.03450203710314,0.91035825,,,,286.0,,,,,,,886040.5,104435.1,124717.516,372360.78,2536348.2,555673.1,
303,113.03450420539781,1.0659766000000002,,,,,,,,,,,256708.42,83362.28,74237.48,60806.984000000004,1238215.4,925382.7,
324,113.03452293783295,1.1507139,,,,,,,,,,,430676.28,31174.827999999998,85848.15,54643.67,424936.88,334155.72,
363,113.03454517316322,1.5137094,,,,,,,,,,,392771.22,310066.53,116102.5,237822.3,132499.88,134751.64,
336,113.03455863212092,1.3153508999999999,,,,,,,,,,,246040.95,10201.976999999999,69769.11,72354.95,726428.4,63431.687999999995,
423,113.0596977743861,2.2153106,,,,,,,,,,,164390.31,940789.6,444636.38,1163338.6,1483522.0,1045338.4,
3959,113.13229990582226,8.295174000000001,,,,20.0,,,,,,,325229.12,426578.0,487290.94,390095.62,366444.56,432728.28,
153,114.054865511719,0.4257624,,,,9.0,,,,,,,389591.47,327257.75,172087.84,500455.3,822434.1,393912.72,
192,114.05489983803459,0.62855715,,,,195.0,,,,,,,1866316.4,1493829.1,508191.62,1412668.0,1945714.0,1861368.5,
571,114.0913646757648,2.7305498,,,,33.0,,,,,,,1707635.0,1785271.2,1766001.0,1526313.8,2096698.8,2055230.1,
466,114.0913665462489,2.396086,,,,153.0,,,,,,,1433721.8,1454825.8,1231664.6,1408893.5,1427777.0,1247816.1,
615,114.0913724573232,2.7745562,,,,113.0,,,,,,,1197728.6,1402812.1,1178632.2,1014488.5,2917851.8,2770657.2,
588,114.1277296451085,2.7531464,,,,33.0,,,,,,,1089161.4,791369.56,516731.94,1136508.6,1406869.0,1337304.0,
1041,114.12774220326055,4.0312324,,,,12.0,,,,,,,161655.81,226718.92,184693.92,257139.05,296281.47,297517.94,
994,114.1277540360735,3.8103807,,,,58.0,,,,,,,317961.47,465272.28,437776.1,580853.5,476756.28,543319.94,
380,115.0389612839072,1.8736247,,,,,,,,,,,209505.55,248511.92,183814.94,153378.94,1498176.0,182428.53,
203,116.07049982878084,0.5864536,,,,,,,,,,,110995.8,279317.62,80564.45,258705.02,436448.0,114109.57,
61,116.07056185196082,0.37456068,,,,9.0,,,,,,,2660947.5,2400010.8,2866766.5,2772821.0,4221634.5,4813271.0,
451,116.07058306667255,2.343502,,,,263.0,,,,,,,439523.56,884011.3,1034218.94,1072552.8,948546.56,1003204.3,
804,116.07060444066902,3.2217147,,,,165.0,,,,,,,717304.44,825093.75,925756.3,1089301.8,992277.44,1058089.4,
1027,118.06510376685048,3.9754112,,,,143.0,,,,,,,258065.89,244385.45,247107.0,273575.06,333580.56,325988.06,
812,118.06512263458252,3.2433650000000003,,,,145.0,,,,,,,691266.25,874554.1,1029167.7,927846.8,994668.0,885294.56,
1682,118.0860881311895,5.69561,,,,,,,,,,,3092550.8,448718.0,1811312.6,658019.3,3860315.2,2277839.2,
1609,118.08611958887558,5.652929299999999,,,,139.0,,,,,,,1729480.0,3761914.8,3985147.5,4728410.0,2313295.8,6827294.5,
1997,118.08614156711798,6.150367299999999,,,,,,,,,,,7005191.0,1033721.94,2822890.0,966125.7,5232024.5,2771564.5,
1896,118.08614197135785,6.0744834,,,,64.0,,,,,,,4613081.0,5114926.0,8571891.0,5547782.0,8676485.0,11100416.0,
1796,118.08614237746453,5.9587083,,,,,,,,,,,1377088.0,1594642.6,1375148.4,2066981.1,1239679.8,3077187.2,
56,118.08617482541744,0.37234470000000003,,,,9.0,,,,,,,169674320.0,173068130.0,158246240.0,206794340.0,209677040.0,202216640.0,
268,118.08619469692015,0.8713550999999999,,,,,,,,,,,204321.28,1683696.1,1678234.8,3503183.8,415245.53,1653199.8,
70,118.12239141484508,0.37603185,,,,9.0,,,,,,,1873156.9,1719410.2,1440358.0,2027373.8,2038898.4,2072581.0,
4552,118.12248371737213,10.169744999999999,,,,,,,,,,,1524040.6,1977303.6,2007347.4,2093019.1,1966303.1,1462041.2,
1408,120.04433483729065,5.261523,,,,83.0,,,,,,,708887.8,815239.06,770996.6,800402.7,878755.8,1081974.5,
1058,120.04438859389455,4.113326,,,,156.0,,,,,,,208642.69,269584.25,316929.06,274588.12,349435.56,333668.94,
724,120.04440263070886,3.0537682,,,,39.0,,,,,,,263959.0,258623.52,266291.47,298348.12,366561.12,308907.03,
575,120.0444031473688,2.7345610000000002,,,,33.0,,,,,,,2231262.0,2382958.5,2415151.8,3745962.8,3798414.8,3581523.5,
1033,120.04440398722994,4.000572,,,,,,,,,,,143491.66,124574.18,145749.34,151099.77,177868.3,168490.69,
816,120.04441707576551,3.2502232,,,,145.0,,,,,,,619454.1,552560.1,497534.2,831029.4,828364.1,715616.44,
48,120.06537172417627,0.36867356,,,,9.0,,,,,,,116139736.0,73783560.0,83828940.0,83132280.0,138418100.0,122549510.0,
1571,120.06545827313536,5.571197,,,,228.0,,,,,,,1597246.2,1426570.5,1276236.6,2154841.0,1806951.9,2441160.2,
256,120.06550029750484,0.85873955,,,,,,,,,,,279516.6,1178787.2,1479924.8,1988776.8,835825.75,338393.12,
1085,120.06553278194288,4.152654,,,,,,,,,,,52989.29,87264.46,68267.18,1091163.2,99316.37,34755.676,
548,120.08074971941132,2.6597369,,,,,,,,,,,175864.22,172458.34,311901.16,231392.88,457166.8,257986.73,
1152,120.08075168817757,4.504132,,,,,,,,,,,95652.125,104736.7,146505.05,265611.25,134116.25,236161.17,
758,120.08078408363951,3.126579,,,,21.0,53.0,[M-2H2O+H]+,,2.0,755;758,155.09466,986970.4,1488796.4,1424732.1,1539456.0,1477485.6,1408805.0,
348,120.0807868689342,1.4251018,,,,164.0,,,,,,,5795210.5,11839449.0,14377567.0,8295531.5,11610428.0,10816094.0,
690,120.08079022481724,2.9782734,,,,136.0,,,,,,,755007.06,1208204.0,1310500.4,1005103.1,1135207.0,1066507.8,
508,120.08079042115526,2.5513793999999996,,,,,,,,,,,166811.36,245367.97,313193.25,186971.14,316140.03,255074.77,
912,120.0807914952432,3.4892529999999997,,,,230.0,,,,,,,222401.97,468712.4,443200.56,641374.75,306977.6,562753.44,
1001,120.08080468540642,3.8561802000000003,,,,34.0,,,,,,,215033.5,318523.22,268231.1,325897.97,296482.25,281882.12,
3949,121.02825689613792,8.291203,,,,20.0,,,,,,,346677.88,466705.9,526657.75,432312.72,410359.25,486939.66,
1332,121.06476424242338,5.080741400000001,,,,,,,,,,,115148.56,163273.5,144216.92,157369.81,141495.4,472790.7,
49,121.06867133537511,0.36867356,,,,9.0,,,,,,,5304451.5,3172997.2,3731538.0,3695504.0,6229842.5,5496731.0,
1,122.01912782493801,0.07307459,,,,,,,,,,,235318.77,328954.53,233942.3,401565.2,209192.55,257417.83,
888,122.0964123646905,3.4499834000000003,,,,19.0,64.0,[M+NH4]+,,2.0,891;888,104.06260999999999,265978.9,346480.97,374290.44,436085.84,300931.88,254136.08,
4672,122.54691513259644,10.559747,,,,114.0,,,,,,,3658637.0,3468828.8,3475399.0,4215171.0,3747254.0,3833174.2,
180,123.0551758231859,0.58477896,,,,8.0,,,,,,,5222111.0,5007512.0,5598198.0,5542255.5,7376825.0,8098007.5,
593,123.09163295971756,2.763462,,,,178.0,,,,,,,255227.36,205276.08,196231.89,285508.47,290715.88,224861.0,
1728,124.03921759012596,5.7899785,,,,90.0,,,,,,,1962267.1,1649916.6,1705791.4,2107542.5,2190205.8,2173579.8,
174,124.03923314046905,0.5402258000000001,,,,278.0,,,,,,,45199704.0,39653628.0,37171400.0,56391580.0,59279344.0,40323640.0,
245,124.03928883508742,0.7421300000000001,,,,,,,,,,,278175.88,157248.9,132400.62,261063.3,476816.47,542574.06,
285,124.03929737474905,0.94482946,,,,286.0,,,,,,,362130.53,34470.758,64088.918,266791.47,1065853.1,203690.95,
300,124.03929755691749,1.0373602,,,,,,,,,,,231555.44,87135.59,184108.16,88150.39,471194.6,78226.93,
889,125.09610680105564,3.4508254999999997,,,,19.0,,,,,,,658804.7,1017007.2,776843.6,497506.12,956384.5,859544.5,
4686,125.98605468714923,10.585477000000001,,,,114.0,,,,,,,21811758.0,14415961.0,17736370.0,16859640.0,21843532.0,19150066.0,
64,127.05006760735584,0.37529638,,,,9.0,16.0,[M+Na]+,,2.0,64;95,104.06063,502052.16,346750.9,307529.44,364615.34,268557.03,392591.0,
247,127.05015605978984,0.8081215,,,,,,,,,,,4234308.0,2463358.0,2824005.5,3341754.2,3890010.5,5470822.5,
212,127.05018340895602,0.72333175,,,,,,,,,,,194808.6,104377.984,515009.06,431483.8,3275425.0,629135.0,
