row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML Peak area,POS_TJGIp7_3_Run155.mzML Peak area,POS_TJGIp7_2_Run140.mzML Peak area,POS_TJGIp7_1_Run16.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML Peak area,
6806,81.52048540161675,10.575217,,,,232,,,,,,,2.0330492E7,1.932696E7,2.0933318E7,1.9749466E7,1.1182018E7,1.0930083E7,
42,83.0215525492008,0.36850643,,,,33,,,,,,,695760.1,443049.25,788301.44,915062.6,419145.6,925369.25,
97,83.0491164703313,0.41065922,,,,,,,,,,,193496.98,95195.48,146135.23,1019382.0,226616.94,1276522.5,
6816,84.95962615585978,10.601867,,,,,,,,,,,911196.7,1062033.0,1521181.1,1364993.2,770133.5,806767.6,
114,84.95972020390093,0.50731725,,,,,,,,,,,935086.5,1007818.94,875138.6,919747.0,562979.9,329141.2,
158,86.06009653837505,0.7611678,,,,,,,,,,,288769.25,164002.6,225445.38,347160.47,364649.7,1558851.8,
6752,86.09634494957402,10.305592,,,,,,,,,,,18367.115,16918.752,15749.398,99289.31,238582.6,120400.73,
25,86.09639685202292,0.3529131,,,,33,,,,,,,682207.2,541312.7,722166.7,690714.44,431688.06,539260.94,
106,86.09641541484073,0.4799341,,,,,,,,,,,224805.0,348697.5,342816.9,284350.78,175846.19,96101.31,
112,86.09643495063052,0.51607347,,,,,,,,,,,271063.38,363237.25,574512.5,284350.78,268152.94,253938.94,
153,86.09644769664317,0.7744588,,,,,,,,,,,2311470.8,1747173.1,2961036.2,1011707.9,255291.0,140926.78,
211,86.09647012037158,0.98704726,,,,,,,,,,,366759.28,245333.12,394546.66,1373223.5,180924.4,112737.56,
145,86.09645700279195,0.71888834,,,,,,,,,,,288692.1,350392.97,2311492.2,1762084.6,1371549.1,140926.78,
178,86.09645730494897,0.8523211,,,,,,,,,,,290758.75,343070.12,610309.0,1131730.2,255291.0,140926.78,
232,86.09646537121023,1.2474964,,,,,,,,,,,86714.81,72659.41,310461.1,236401.92,218177.88,111993.92,
268,86.09647363564368,1.6984252,,,,,,,,,,,33320.03,43374.383,245352.45,181601.34,82026.875,114405.55,
280,86.09648103406236,1.9031277,,,,,,,,,,,83678.58,66884.43,155792.5,227719.61,156288.56,121312.91,
55,87.04406353676502,0.37372372,,,,33,,,,,,,1008534.3,938313.06,1640564.1,1903126.1,528230.94,1264428.5,
462,87.04413040973827,3.3026,,,,98,,,,,,,1744242.0,1678397.4,1435538.0,1424631.6,1413996.6,2501364.0,
558,88.02159917782599,3.695716,,,,,,,,,,,243793.14,212226.08,173274.6,350738.34,136906.17,415053.3,
6772,90.50663907772571,10.48768,,,,,,,,,,,665931.5,742608.75,710158.6,485730.34,1293888.5,1193958.5,
6811,90.5258221165335,10.582084,,,,232,,,,,,,4.075902E7,3.454431E7,4.167219E7,4.1277656E7,2.5762076E7,2.5556516E7,
18,90.97663607216906,0.33611527,,,,8,,,,,,,771972.6,809093.56,802231.3,804898.25,1049428.1,1124686.0,
3017,91.05420512125367,6.468035,,,,,,,,,,,389777.7,446487.5,318680.78,376824.62,631461.75,1117498.4,
6786,94.04501056812101,10.518697,,,,196,,,,,,,3544035.2,3881946.2,3480358.2,4220781.5,2255706.5,2823702.2,
93,95.04911358390126,0.39556977,,,,,,,,,,,229805.03,69181.586,343610.56,431954.3,223471.64,1323119.4,
6801,97.9912751508384,10.567952,,,,232,,,,,,,8213572.5,8150723.5,8324858.5,8152820.0,4968085.5,4909932.0,
6874,98.51198345146652,10.874535,,,,,,,,,,,128734.63,800529.9,365930.16,686104.3,1.3967271E7,1.4610938E7,
102,98.98414659081551,0.4486541,,,,,,,,,,,464140.97,438872.88,442221.22,470158.62,1068465.6,587551.9,
91,99.04404656963163,0.40957764,,,,33,,,,,,,954612.5,664165.0,1689608.8,1702869.9,704631.9,1935217.6,
217,99.04409392766757,1.0512956,,,,,,,,,,,1923112.9,1126086.2,2961926.8,1728082.0,1741106.0,1490168.0,
225,99.04410113723003,1.1101412,,,,,,,,,,,119180.25,76664.08,206780.17,131112.6,72663.85,253543.62,
171,99.04410414120947,0.82980037,,,,,,,,,,,67327.12,639737.06,412171.38,738226.25,168378.02,911429.1,
6778,99.51214649022207,10.476404,,,,7,,,,,,,2216460.5,2468286.2,2427587.2,2311538.0,2486097.2,2500161.2,
6815,99.53106257711518,10.590175,,,,232,,,,,,,5048832.0,3275779.8,2832949.8,3936073.0,2817916.0,3241129.2,
254,100.07570272001828,1.5008491,,,,,,,,,,,870536.3,103874.13,788424.4,916466.0,590520.25,2078955.6,
281,100.0757320798087,1.927784,,,,,,,,,,,576748.1,480026.66,603788.94,503139.34,510679.25,608962.75,
6725,100.11196994232841,10.21072,,,,,,,,,,,265359.12,354635.1,271199.78,398923.06,1437383.5,1536176.1,
5724,101.07094904559789,8.482481,,,,,,,,,,,1.4318638E7,6367637.5,5319279.5,3542592.5,6179797.5,4317050.5,
6807,102.03377747579945,10.575294,,,,232,,,,,,,7.262579E7,6.9583464E7,7.197925E7,7.1083064E7,4.565784E7,4.5418084E7,
192,102.09137242647559,0.9299306,,,,,,,,,,,51547.71,62730.17,69252.016,285886.25,172072.62,96028.69,
337,102.09137412338275,2.484165,,,,96,,,,,,,5278792.5,4972333.5,4097338.2,1.0869066E7,3487381.5,8724145.0,
142,102.09137478508791,0.66690665,,,,,,,,,,,61879.58,93312.8,220445.52,306550.16,45035.26,23797.117,
306,102.09138374588058,2.1293314,,,,,,,,,,,950261.06,638013.6,700480.0,898716.2,382039.6,410428.34,
6803,102.53535905123846,10.573571,,,,232,,,,,,,6308962.0,5874560.0,6251414.0,6198196.0,4001122.2,3903091.5,
448,103.07534853304617,3.2681534,,,,215,,,,,,,348278.88,341012.1,358451.0,375710.44,264629.53,243595.92,
