CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1017	1129	1	0.865	-2.016
1351	1394	1	0.8607	-14.016
1269	1272	1	0.9387	10.029
1049	1125	1	0.8514	-14.016
1017	1314	1	0.8449	-2.016
867	1125	1	0.8438	-28.032
1177	1323	1	0.8317	-26.015
1314	1323	1	0.8555	-40.031
1393	1394	1	0.9299	10.028
1049	1182	1	0.7725	-28.031
940	1174	1	0.8033	-42.047
1177	1392	1	0.9698	-28.031
940	1269	1	0.7884	-42.047
1174	1393	1	0.9635	-28.031
1129	1280	1	0.844	-26.015
1392	1394	1	0.8238	-35.977
1203	1483	1	0.8455	-28.032
1283	1345	1	0.9124	-2.016
1203	1272	1	0.7571	-14.016
1268	1280	1	0.9136	-12.000
1047	1268	1	0.877	-28.031
1269	1393	1	0.7928	-28.031
1177	1314	1	0.7727	14.016
1047	1129	1	0.8782	-14.016
863	867	1	0.7612	10.065
1019	1247	1	0.7488	-46.041
865	867	1	0.8195	-35.977
1203	1394	1	0.7732	-42.048
1047	1344	1	0.7713	-42.047
1177	1219	1	0.8964	-12.000
941	1125	1	0.9194	-28.032
1345	1351	1	0.9113	10.029
1127	1269	1	0.9354	-14.016
1272	1394	1	0.7434	-28.031
941	1203	1	0.8505	-28.031
865	1129	1	0.7901	-28.032
939	1314	1	0.7717	-28.032
1247	1483	1	0.8304	15.994
1177	1266	1	0.9213	-14.015
865	1314	1	0.7826	-28.032
1084	1182	1	0.9076	-2.016
1262	1283	1	0.8901	-9.995
1182	1483	1	0.7805	-14.016
1127	1393	1	0.8528	-42.047
1351	1483	1	0.9545	0.000
1247	1351	1	0.8012	15.994
1201	1314	1	0.8	-0.000
1049	1483	1	0.8587	-42.047
1049	1272	1	0.9084	-28.031
1125	1483	1	0.9549	-28.031
1129	1314	1	0.8291	0.000
1182	1263	1	0.8636	-14.017
1127	1174	1	0.8735	-14.016
1314	1344	1	0.8249	-28.031
669	867	1	0.8189	61.983
1203	1351	1	0.825	-28.032
1344	1392	1	0.8459	-14.016
1177	1182	1	0.8365	-35.977
1019	1084	1	0.8177	-14.016
941	1049	1	0.8581	-14.016
1049	1351	1	0.8337	-42.047
1280	1344	1	0.8799	-2.016
1263	1462	1	0.8969	-28.030
1199	1219	1	0.7983	-137.023
1127	1283	1	0.9004	-26.016
1323	1392	1	0.81	-2.016
1219	1392	1	0.8959	-16.032
940	1127	1	0.855	-28.031
1019	1483	1	0.9534	-30.047
1394	1483	1	0.8544	14.016
1129	1177	1	0.7887	-14.016
1031	1247	1	0.9519	-28.031
1084	1394	1	0.9038	-30.047
1219	1314	1	0.7862	26.015
1129	1268	1	0.8661	-14.016
1259	1263	1	0.7729	10.027
940	941	1	0.8012	10.029
1174	1345	1	0.7873	-14.016
1017	1280	1	0.8925	-28.031
867	1049	1	0.7726	-14.016
1272	1351	1	0.9189	-14.016
1017	1047	1	0.8323	12.000
1019	1272	1	0.9214	-16.031
1125	1127	1	0.9401	-10.029
1047	1280	1	0.8011	-40.031
1019	1125	1	0.9157	-2.016
1017	1268	1	0.8808	-16.032
1129	1344	1	0.9342	-28.031
1269	1283	1	0.9192	-12.000
1263	1266	1	0.7614	35.979
1177	1199	1	0.7609	125.023
1019	1351	1	0.9209	-30.047
1199	1323	1	0.7459	-151.038
1116	1127	1	0.8232	44.027
1127	1345	1	0.9542	-28.031
863	866	1	0.7927	0.036
1047	1314	1	0.8405	-14.016
1268	1344	1	0.9012	-14.016
1017	1344	1	0.9021	-30.047
1182	1394	1	0.9636	-28.031
1125	1351	1	0.9462	-28.031
1345	1393	1	0.8868	-14.015
1125	1394	1	0.8291	-42.047
1269	1345	1	0.9372	-14.016
1174	1182	1	0.9204	10.029
1129	1392	1	0.755	-42.047
1127	1306	1	0.7823	10.006
939	1129	1	0.8411	-28.032
1345	1483	1	0.9387	10.029
1125	1182	1	0.8392	-14.016
1394	1462	1	0.9231	-14.015
1125	1272	1	0.9144	-14.016
1219	1323	1	0.9039	-14.016
1272	1483	1	0.9224	-14.016
1019	1049	1	0.8664	12.000
1351	1462	1	0.7484	-28.031
1091	1095	2	0.9125	-10.029
1051	1096	2	0.885	-0.036
1091	1300	2	0.9819	-28.031
1051	1091	2	0.8214	-36.014
1051	1300	2	0.8168	-64.044
1091	1188	2	0.857	-14.016
1051	1188	2	0.7038	-50.029
1051	1307	2	0.8608	-74.073
1096	1300	2	0.8166	-64.008
1300	1307	2	0.8693	-10.029
1091	1096	2	0.8034	35.977
1308	1312	2	0.8253	1.003
1300	1312	2	0.7961	35.977
1188	1312	2	0.8385	21.961
1095	1300	2	0.7158	-18.002
1188	1300	2	0.8135	-14.015
1051	1095	2	0.9024	-46.042
1091	1312	2	0.8254	7.946
1095	1307	2	0.9488	-28.031
1051	1312	2	0.7731	-28.068
1096	1312	2	0.8694	-28.031
399	449	3	0.8153	0.000
399	730	3	0.7058	15.995
399	913	3	0.7073	31.990
913	933	3	0.7869	-0.021
730	913	3	0.7321	15.995
1750	2168	4	0.9952	0.000
2174	2351	4	0.8888	-29.027
2341	2758	4	0.8626	-87.029
2396	2700	4	0.9173	-92.137
1988	2759	4	0.8953	-0.001
1730	2382	4	0.9287	-4.031
2162	2324	4	0.8485	-29.027
2174	2759	4	0.9497	-29.027
1988	2416	4	0.94	29.026
1297	1318	4	0.8627	-0.101
2153	2341	4	0.8751	87.029
1796	2382	4	0.9293	-4.031
2025	2357	4	0.9701	108.130
2162	2311	4	0.9308	0.001
2014	2758	4	0.8665	-87.031
1237	2043	4	0.9106	1.032
1730	2380	4	0.9997	0.000
1957	2385	4	0.8732	24.000
2341	2715	4	0.91	24.002
1466	1714	4	0.9869	-0.000
2710	2758	4	0.8671	-87.031
2025	2341	4	0.9079	-24.002
2025	2279	4	0.9876	0.000
2380	2382	4	0.9271	-4.031
2123	2280	4	0.8403	-170.094
1722	2396	4	0.7663	104.049
2045	2174	4	0.9138	0.000
1297	1356	4	0.9821	-0.001
1316	2014	4	0.8782	-191.156
2054	2123	4	0.955	-14.016
1965	2396	4	0.8376	-58.005
2153	2324	4	0.8418	24.000
2170	2265	4	0.8302	162.051
1796	2168	4	0.9283	24.000
2168	2382	4	0.9604	-28.030
2123	2197	4	0.9474	-26.016
2640	2671	4	0.9999	-0.000
667	2123	4	0.9296	-84.130
1986	2382	4	0.9662	-28.030
2170	2364	4	0.9424	-0.002
2289	2640	4	0.7898	94.079
2016	2031	4	0.9005	29.028
1356	1509	4	0.9997	0.000
2279	2341	4	0.9018	-24.003
2330	2385	4	0.8746	16.978
1405	1594	4	0.8759	-24.000
2008	2330	4	0.9272	11.017
2168	2733	4	0.9923	-0.000
2031	2396	4	0.9157	92.135
