row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGIp8_3_Run206.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML Peak area,POS_TJGIp8_1_Run19.mzML Peak area,POS_TJGIp8_2_Run84.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML Peak area,Unnamed: 19
7064,81.52047291815111,10.576233,,,,20.0,,,,,,,21078578.0,19326960.0,20330492.0,11260692.0,17468654.0,10930083.0,
42,83.02152672280782,0.36639679999999997,,,,44.0,,,,,,,892890.1,443049.25,695760.1,389306.2,140175.67,925369.25,
94,83.04909570928436,0.41699162,,,,,,,,,,,532521.1,95195.48,193496.98,1362421.0,347332.47,1276522.5,
7078,84.95961044559782,10.602298,,,,,,,,,,,1260219.0,1062033.0,885299.94,784317.0,1219865.8,790255.9,
118,84.95969459572224,0.5037233,,,,,,,,,,,1106549.0,1016364.6,935086.5,566320.75,882757.75,329141.2,
160,86.06006982003599,0.7513451999999999,,,,,,,,,,,141836.89,164002.6,288769.25,510281.97,886385.7,1558851.8,
6995,86.09633580812648,10.333186,,,,,,,,,,,96110.125,16918.752,18367.115,389208.56,69196.16,120400.73,
113,86.09640501639723,0.5105976,,,,,,,,,,,365565.34,363237.25,224805.0,228155.38,424185.94,253938.94,
123,86.09642082125984,0.5894529000000001,,,,,,,,,,,328165.1,577467.8,271063.38,836424.0,202266.81,253938.94,
155,86.09643261969606,0.76501006,,,,,,,,,,,3603816.2,1747173.1,2311470.8,2453940.5,2969250.8,140926.78,
223,86.09643810935053,1.1841458999999999,,,,,,,,,,,144526.56,209827.58,86714.81,274072.2,53428.92,111993.92,
205,86.09644216199032,1.0077087,,,,,,,,,,,222310.88,104759.19,234320.4,380740.38,60451.316,112737.56,
230,86.09644268561883,1.2639916000000002,,,,,,,,,,,203690.16,72659.41,86311.35,238864.97,40922.3,95229.41,
65,87.04403694810925,0.37757662,,,,44.0,,,,,,,1881017.2,938313.06,1008534.3,1496254.4,629141.56,1264428.5,
434,87.04410932613733,3.3029811000000002,,,,130.0,,,,,,,1197791.5,1678397.4,1744242.0,2106466.8,1605602.1,2501364.0,
533,88.02157910157554,3.6965972999999996,,,,,,,,,,,120650.82,212226.08,243793.14,240762.52,503840.3,415053.3,
7029,90.50663666278678,10.477412,,,,259.0,,,,,,,735419.44,742608.75,660233.0,1364284.5,1231555.6,1193958.5,
7068,90.52580425954837,10.579594,,,,20.0,,,,,,,26313956.0,34544310.0,40759020.0,23594788.0,37172516.0,25556516.0,
19,90.97660505149736,0.33608875,,,,16.0,,,,,,,795321.5,809093.56,771972.6,941036.94,869267.3,1124686.0,
3136,91.0542205108049,6.467119,,,,75.0,,,,,,,357465.94,446487.5,389777.7,751673.75,507532.88,1117498.4,
7045,94.04499730018095,10.521631,,,,246.0,,,,,,,3726877.8,3881946.2,3544035.2,2202569.8,3821878.2,2823702.2,
98,95.0490770036248,0.40104422,,,,,,,,,,,374233.12,69181.586,229805.03,230201.66,189932.45,1323119.4,
7067,97.99125977905405,10.577227,,,,20.0,,,,,,,8789063.0,8150723.5,8213572.5,5021194.0,6356601.5,4909932.0,
7128,98.5119801967225,10.874404,,,,,,,,,,,655052.8,707906.4,176896.31,13660489.0,1204007.6,14610938.0,
103,98.98411361045014,0.44535634,,,,,,,,,,,386923.12,408948.62,426860.66,1090605.5,517009.0,552466.1,
96,99.04401637158735,0.4158344,,,,44.0,,,,,,,1674906.8,664165.0,954612.5,1890568.6,760824.0,1935217.6,
222,99.04406481108116,1.1142162,,,,,,,,,,,171491.77,76664.08,119180.25,116575.91,124412.7,253543.62,
211,99.04406927662501,1.0533024,,,,,,,,,,,1702868.1,1126086.2,1923112.9,2314536.2,1757621.4,1490168.0,
171,99.04407440661608,0.83791476,,,,,,,,,,,502409.8,639737.06,67327.12,338588.22,169462.6,911429.1,
7034,99.51213796238314,10.47415,,,,259.0,,,,,,,2223791.0,2468286.2,2216460.5,2742888.0,2660578.2,2500161.2,
7073,99.53104320084208,10.589360000000001,,,,20.0,,,,,,,2810091.2,3275779.8,5048832.0,4193726.0,2566806.5,3241129.2,
241,100.075674365547,1.485148,,,,,,,,,,,958999.9,103874.13,870536.3,296012.16,876581.94,2078955.6,
262,100.0757191023962,1.9329442,,,,,,,,,,,600891.2,466920.28,578861.7,480029.53,4318243.0,608962.75,
6971,100.1119655459232,10.218177,,,,,,,,,,,308713.94,354635.1,265359.12,580512.56,295298.28,1536176.1,
5998,101.07095937443977,8.506881,,,,,,,,,,,20238148.0,5988013.5,14318638.0,4539813.0,22327826.0,5616615.5,
7062,102.03376213551701,10.572872,,,,20.0,,,,,,,73617210.0,69583464.0,72625790.0,45984028.0,64344870.0,45418084.0,
309,102.09137055699516,2.488506,,,,,,,,,,,3050673.5,4972333.5,5278792.5,3949849.0,10088891.0,8724145.0,
