row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Anid-p2_1_Run179.mzML Peak area,2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML Peak area,2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML Peak area,2024_POS_Anid-p2_1_Run220.mzML Peak area,2024_POS_Anid-p2_1_Run241.mzML Peak area,2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML Peak area,
31,80.94782854316232,0.32888544,,,,90,,,,,,,804589.1,1071407.5,840652.0,820908.0,706091.0,506037.38,
7453,81.5205213723629,10.608964,,,,204,,,,,,,1578413.2,2638879.2,1713108.9,1176186.4,2042893.0,1794006.0,
30,82.94485907744675,0.32888544,,,,90,,,,,,,392718.78,473038.75,340155.7,301704.34,224235.12,212498.53,
64,83.02154237990028,0.382018,,,,163,,,,,,,6365801.5,177339.81,1371111.5,3954488.2,6981777.5,6066218.0,
216,83.06033294447549,0.48380557,,,,,,,,,,,244610.78,387186.22,2069772.9,52399.465,96365.72,3900013.0,
449,86.05999030589832,0.89162034,,,,93,,,,,,,1701463.6,5342244.0,9487668.0,4153564.8,3117111.5,5745559.5,
383,86.09637448264692,0.7781829,,,,41,,,,,,,1.0677549E7,1.8860352E7,2.7420676E7,9595348.0,1.4089276E7,1.4450823E7,
6416,89.5064614940435,7.8248944,,,,49,,,,,,,200430.17,188710.06,163092.4,237394.7,327606.75,36743.383,
7420,89.50664536585275,10.375859,,,,62,,,,,,,4840456.0,5661781.0,4919303.5,4549220.5,5475007.5,4418932.5,
7455,89.50667389375035,11.206047,,,,,,,,,,,3952342.5,3227211.8,3109665.8,3082018.2,456565.44,627109.56,
7458,89.50667605198747,11.251262,,,,,,,,,,,1077649.0,1103047.0,1048240.8,977520.7,2797413.2,705159.1,
952,90.0548615192129,2.1699824,,,,,,,,,,,226986.06,88526.31,59631.445,51323.727,241216.45,357104.94,
134,90.05488656571997,0.40806103,,,,,,,,,,,225742.5,244445.69,1777697.1,292726.62,2600991.8,3276247.5,
7452,90.52578740052287,10.60334,,,,204,,,,,,,3446878.2,3579712.0,3036324.0,2999392.5,3625589.0,3135416.8,
16,90.97657951058103,0.31828466,,,,36,,,,,,,519788.97,461511.7,409712.28,434982.7,424310.47,356921.7,
7355,90.97659667734678,10.273842,,,,233,,,,,,,24369.291,65798.66,5148.75,59948.62,181121.81,410671.9,
399,92.11015929993523,0.78804255,,,,,,,,,,,980170.8,83631.64,210798.19,543677.9,616753.56,469422.25,
709,97.028334020145,1.6541243,,,,,,,,,,,1980981.5,333445.44,116458.94,5400352.5,1599661.2,468889.66,
749,97.02833646849275,1.8482577,,,,,,,,,,,1985708.0,5665740.5,92229.266,917204.4,1610205.6,251449.39,
263,97.07594691230706,0.60029364,,,,25,,,,,,,5293814.0,7955106.0,1.641521E7,5975369.5,4479519.5,4167950.8,
7418,98.5119477992829,10.37494,,,,62,,,,,,,8053443.5,8439232.0,7855986.0,8939111.0,8453388.0,8369524.0,
7457,98.51195009817206,11.260514,,,,,,,,,,,2819760.5,1000387.8,6408315.5,8034905.5,2378705.2,2121754.5,
7440,99.51215195787431,10.436999,,,,87,,,,,,,1387038.4,1400016.0,1278579.6,1254233.5,1291076.8,1298357.1,
949,100.03924310098644,2.178407,,,,,,,,,,,24286.764,668427.44,908757.5,64170.535,32793.39,3352.6726,
335,100.07559805760953,0.70552087,,,,,,,,,,,492341.44,1953620.1,2784206.0,759157.75,655766.6,739517.3,
701,100.07560878169625,1.6023139,,,,109,,,,,,,1631787.6,1754558.5,2006716.0,1836360.2,1668085.8,2242652.2,
790,100.0756098020189,2.0210311,,,,71,,,,,,,7614248.5,1172939.1,1672093.0,2829235.2,1.0617924E7,1.9696074E7,
1366,100.07562830432188,2.4513276,,,,,,,,,,,78405.47,5237.435,28296.21,37877.785,132871.75,225855.75,
7454,102.03375842172368,10.61136,,,,204,,,,,,,5035718.0,4851793.0,5087594.0,5406246.0,5176481.0,5308741.5,
204,102.0548697158086,0.477295,,,,104,,,,,,,9136509.0,1.076592E7,5574490.0,1.0877139E7,1.250798E7,3792701.0,
624,102.05487609344571,1.3267164,,,,,,,,,,,2631799.2,3354812.5,4597583.0,2918623.0,2917292.8,2.4431056E7,
228,104.07051450223888,0.50823015,,,,163,,,,,,,1509397.4,4310839.5,8235069.0,1819756.0,3264542.8,4502131.5,
67,104.10690344913824,0.38445795,,,,163,,,,,,,1.5062649E7,1.21185E7,1.7733674E7,1.4182728E7,2.3407546E7,7.625946E7,
51,107.9667343934844,0.3673731,,,,163,4,[M+Na]+,,2,51;163,84.97756,2.3745902E7,1.673853E7,2.0318818E7,2.0668338E7,2.0128932E7,1.9733488E7,
1577,109.07594944710718,2.6038592,,,,5,,,,,,,696784.75,970482.7,1447766.5,909482.4,347055.1,81103.23,
6797,110.01994803645084,8.097943,,,,,,,,,,,380034.94,585096.3,324938.0,264268.4,1771847.2,960755.06,
7417,110.01996035725176,10.371931,,,,62,,,,,,,1.379484E7,1.4235991E7,1.4065137E7,1.6897654E7,1.558038E7,1.6543482E7,
7413,110.52181071582265,10.371827,,,,,,,,,,,145235.44,151934.69,416261.16,363501.34,382432.2,1151331.5,
7439,111.02015215474098,10.436886,,,,87,,,,,,,8385968.5,8040649.5,8451019.0,8369620.0,8293909.5,7944945.0,
232,111.04396937910319,0.52124643,,,,,,,,,,,347014.7,1492685.2,2001834.4,1212427.6,424694.9,67340.836,
2199,111.04397469309698,3.2073612,,,,,,,,,,,90778.39,1341622.9,1323698.9,91071.945,113210.27,21362.748,
629,111.04398433225134,1.3695841,,,,,,,,,,,986739.06,5563736.0,4226121.0,3058016.2,947833.2,465332.75,
569,111.09159288460933,1.1767815,,,,,,,,,,,169141.75,140683.81,1295606.0,170657.33,70238.18,282334.38,
423,111.09159390966359,0.82643443,,,,,,,,,,,79118.42,218069.64,1176248.1,132420.34,322175.8,1395587.5,
7443,112.01786906878851,10.439051,,,,87,,,,,,,3318302.2,3121355.2,3120091.5,3236386.0,3209163.2,3067108.0,
541,112.03921017608367,1.118488,,,,,,,,,,,95874.68,1884384.1,3452776.0,109309.19,69777.305,103059.086,
740,113.02325299175328,1.7948684,,,,30,,,,,,,4635574.5,9048186.0,8071870.0,4284935.0,4025127.5,4891348.0,
1135,113.05962550769594,2.314682,,,,29,,,,,,,1797528.6,837920.5,876856.7,966358.25,2239063.5,1604192.4,
4118,113.05964209919482,5.571195,,,,3,,,,,,,587313.56,387171.53,263139.8,671118.1,1155720.0,420443.72,
279,114.05489768701625,0.63705236,,,,,,,,,,,60764.402,74749.445,67136.84,57953.434,158691.19,4033524.8,
759,114.09126409021862,1.9178419,,,,199,,,,,,,43318.848,1559666.4,1178285.0,181830.0,181898.61,403656.4,
1384,114.09127669573733,2.4828522,,,,114,,,,,,,932383.94,1306505.5,1644161.8,1079845.4,1267224.1,1588722.1,
23,115.03651251195011,0.37056005,,,,163,,,,,,,1.0796908E7,4311079.0,746552.4,1.00114E7,7586410.0,4504278.5,
233,115.03651437403964,0.46506634,,,,,,,,,,,5155028.5,3743006.0,4193932.8,5490352.5,3724849.8,2379570.8,
116,116.07053320464313,0.4235541,,,,,,,,,,,4830402.5,710812.3,797454.0,591893.4,5769055.5,6462819.5,
300,116.07053360086405,0.64596486,,,,,,,,,,,1349177.6,7344749.0,6977783.5,4224268.5,1526722.5,1841034.6,
2314,118.06505024323936,3.357932,,,,,,,,,,,176861.12,126144.6,121547.86,164394.84,190825.64,980293.2,
186,118.0861938147767,0.43005192,,,,163,,,,,,,7.77516E7,4.3283804E7,5.5634508E7,6.4419028E7,7.5066504E7,9.774738E7,
2,118.9425753135539,0.03187952,,,,2,,,,,,,1701125.6,1863705.4,1650592.8,1881669.1,1241035.5,1850843.5,
184,119.08954746101232,0.42188773,,,,,,,,,,,691916.1,402611.8,692194.06,3332672.0,1724530.1,1945312.9,
1858,120.04435391316538,2.824118,,,,132,,,,,,,3111444.5,932373.06,414824.94,825550.3,3510692.0,9584869.0,
2320,120.04436586892812,3.35678,,,,17,,,,,,,41516.918,42921.438,71386.43,18707.912,41751.1,332571.25,
205,120.06546586427437,0.47078684,,,,104,,,,,,,6.542819E7,6.861789E7,3.836975E7,7.943622E7,9.873165E7,9.143293E7,
675,120.0807071777336,1.4977862,,,,189,,,,,,,2563662.0,6651036.0,1.0623003E7,2478051.2,3879135.0,3768142.0,
1526,120.08071780372296,2.570438,,,,224,,,,,,,118128.98,112454.51,175306.61,175789.64,191863.55,439232.2,
1860,121.04768530953736,2.8189297,,,,,,,,,,,187477.56,37259.13,6213.428,23375.432,214976.23,653623.94,
