ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
CTRL,EXP	 	 	69.0	0.0	0.0	0.0	0.0	0.0	0.0	806032.2933333333	736984.0866666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"25","main.cluster index_upperinput":"25"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3287	0.3287	0	N/A	N/A	4629049.140000001	6	25	-1	 	6	80.9478	1	80.9478	4629049.140000001
CTRL,EXP	 	 	311.0	0.0	0.0	0.0	0.0	0.0	0.0	2048664.7	2203115.466666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8101","main.cluster index_upperinput":"8101"}	This Node is a Singleton	N/A	N/A	N/A	 	10.5974	10.5974	0	N/A	N/A	12755340.5	6	8101	-1	 	6	81.5205	1	81.5205	12755340.5
CTRL,EXP	 	 	69.0	0.0	0.0	0.0	0.0	0.0	0.0	341897.66000000003	298810.82333333336	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24","main.cluster index_upperinput":"24"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3287	0.3287	0	N/A	N/A	1922125.45	6	24	-1	 	6	82.9449	1	82.9449	1922125.45
CTRL,EXP	3.0	[M+Na]+	161.0	0.0	0.0	0.0	0.0	0.0	0.0	2538223.1033333335	4312247.333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"51","main.cluster index_upperinput":"51"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3770	0.3770	0	N/A	N/A	20551411.310000002	6	51	-1	60.03229	6	83.0215	1	83.0215	20551411.310000002
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2118990.7066666665	1293281.9333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"207","main.cluster index_upperinput":"207"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4682	0.4682	0	N/A	N/A	10236817.92	6	207	-1	 	6	83.0603	1	83.0603	10236817.92
CTRL,EXP	 	 	50.0	0.0	0.0	0.0	0.0	0.0	0.0	6858490.5	2194723.7	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"464","main.cluster index_upperinput":"464"}	This Node is a Singleton	N/A	N/A	N/A	 	0.8905	0.8905	0	N/A	N/A	27159642.6	6	464	-1	 	6	86.0600	1	86.0600	27159642.6
CTRL,EXP	 	 	121.0	0.0	0.0	0.0	0.0	0.0	0.0	20243950.333333332	18482338.666666668	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"394","main.cluster index_upperinput":"394"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7795	0.7795	0	N/A	N/A	116178867.0	6	394	-1	 	6	86.0964	1	86.0964	116178867.0
CTRL,EXP	 	 	269.0	0.0	0.0	0.0	0.0	0.0	0.0	5000005.666666667	5174156.833333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8068","main.cluster index_upperinput":"8068"}	This Node is a Singleton	N/A	N/A	N/A	 	10.3753	10.3753	0	N/A	N/A	30522487.5	6	8068	-1	 	6	89.5066	1	89.5066	30522487.5
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2331002.4499999997	2768060.5666666664	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8105","main.cluster index_upperinput":"8105"}	This Node is a Singleton	N/A	N/A	N/A	 	11.2224	11.2224	0	N/A	N/A	15297189.05	6	8105	-1	 	6	89.5067	1	89.5067	15297189.05
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	168420.89833333335	107399.961	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"988","main.cluster index_upperinput":"988"}	This Node is a Singleton	N/A	N/A	N/A	 	2.1611	2.1611	0	N/A	N/A	827462.578	6	988	-1	 	6	90.0549	1	90.0549	827462.578
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1766130.0966666667	1333137.6366666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"165","main.cluster index_upperinput":"165"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4185	0.4185	0	N/A	N/A	9297803.2	6	165	-1	 	6	90.0549	1	90.0549	9297803.2
CTRL,EXP	 	 	311.0	0.0	0.0	0.0	0.0	0.0	0.0	3250484.2666666666	3271838.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8102","main.cluster index_upperinput":"8102"}	This Node is a Singleton	N/A	N/A	N/A	 	10.5996	10.5996	0	N/A	N/A	19566968.3	6	8102	-1	 	6	90.5258	1	90.5258	19566968.3
CTRL,EXP	 	 	161.0	0.0	0.0	0.0	0.0	0.0	0.0	409381.89333333337	451595.62	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14","main.cluster index_upperinput":"14"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3188	0.3188	0	N/A	N/A	2582932.54	6	14	-1	 	6	90.9766	1	90.9766	2582932.54
CTRL,EXP	 	 	230.0	0.0	0.0	0.0	0.0	0.0	0.0	160539.77000000002	48387.28166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8008","main.cluster index_upperinput":"8008"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2728	10.2728	0	N/A	N/A	626781.1550000001	6	8008	-1	 	6	90.9766	1	90.9766	626781.1550000001
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2033618.2966666666	1742330.7666666668	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"787","main.cluster index_upperinput":"787"}	This Node is a Singleton	N/A	N/A	N/A	 	1.8244	1.8244	0	N/A	N/A	11327847.190000001	6	787	-1	 	6	97.0283	1	97.0283	11327847.190000001
CTRL,EXP	 	 	27.0	0.0	0.0	0.0	0.0	0.0	0.0	9512755.6	4201918.333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"261","main.cluster index_upperinput":"261"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5985	0.5985	0	N/A	N/A	41144021.8	6	261	-1	 	6	97.0759	1	97.0759	41144021.8
CTRL,EXP	 	 	269.0	0.0	0.0	0.0	0.0	0.0	0.0	8221580.666666667	8042006.666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ca06467ab8164bb08c41ed76d5e5ea15&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8069","main.cluster index_upperinput":"8069"}	This Node is a Singleton	N/A	N/A	N/A	 	10.3753	10.3753	0	N/A	N/A	48790762.0	6	8069	-1	 	6	98.5119	1	98.5119	48790762.0
