CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
6849	7000	1	0.9458	38.016
5864	7704	1	0.9425	24.000
5641	8040	1	0.9411	-262.230
5112	5320	1	0.7845	43.990
5411	5560	1	0.8091	-0.000
5512	6849	1	0.9943	-0.000
5864	8040	1	0.9512	-2.016
6074	6849	1	0.9433	-24.000
5512	7988	1	0.941	24.000
5112	5179	1	0.9597	43.990
5518	7704	1	0.9661	0.000
5518	7000	1	0.9825	14.016
5512	7000	1	0.9458	38.015
5518	7988	1	0.9598	0.000
5320	5754	1	0.8993	-2.016
6074	7704	1	0.9911	-0.000
6945	7704	1	0.9562	-14.016
5179	5641	1	0.9167	-2.016
5320	5560	1	0.8926	24.000
7000	7704	1	0.9574	-14.016
6074	6945	1	0.9595	14.016
6074	8040	1	0.9485	-26.016
6074	6272	1	0.9309	-24.000
5518	5864	1	0.9445	-24.000
5518	6945	1	0.979	14.016
5518	6074	1	0.9708	0.000
6272	8040	1	0.9426	-2.016
5560	5754	1	0.9189	-26.016
5512	5864	1	0.9994	-0.000
5411	5641	1	0.9277	-26.016
6849	7988	1	0.9495	24.000
6272	7988	1	0.9471	24.000
5864	6945	1	0.9409	38.016
6945	7267	1	0.9594	-26.016
7704	8040	1	0.9471	-26.016
5864	6074	1	0.9394	24.000
6272	7704	1	0.9338	24.000
5512	6272	1	0.9905	-0.000
6849	8040	1	0.9462	-2.016
6849	7704	1	0.9451	24.000
5512	7704	1	0.9423	24.000
7000	7267	1	0.9539	-26.016
6849	6945	1	0.9409	38.016
5864	6849	1	0.9944	0.000
6945	7988	1	0.9431	-14.016
5512	8040	1	0.9508	-2.016
5518	6849	1	0.9413	-24.000
6945	7000	1	0.9951	-0.000
5518	7267	1	0.9483	-12.000
5512	5518	1	0.9441	24.000
5512	6074	1	0.9395	24.000
5864	7988	1	0.9411	24.000
6945	8040	1	0.943	-40.032
6272	6849	1	0.9911	0.000
5864	6272	1	0.9903	0.000
5518	6272	1	0.9357	-24.000
5864	7000	1	0.9454	38.016
7704	7988	1	0.9753	0.000
6074	7000	1	0.9611	14.016
6272	7000	1	0.9388	38.016
6074	7988	1	0.966	-0.000
7000	7988	1	0.9463	-14.016
5512	6945	1	0.9404	38.015
6658	6662	2	0.7599	-74.019
6662	6667	2	0.8584	-1.001
6658	7169	2	0.9828	0.000
191	708	3	0.9931	-0.015
191	2023	3	0.9615	0.021
191	209	3	0.9981	0.976
191	1632	3	0.997	-0.015
708	1632	3	0.9965	0.000
1632	2023	3	0.9616	0.036
231	2023	3	0.7758	28.016
209	1632	3	0.9908	-0.991
209	2023	3	0.9626	-0.955
2023	2578	3	0.9677	0.000
7129	8001	4	0.9913	-1.003
7296	7510	4	0.9756	-0.002
7297	7926	4	0.9895	-1.012
7407	8051	4	0.9958	0.002
5699	7082	4	0.9111	-261.150
6968	6969	4	0.9736	-1.003
7667	8036	4	0.9334	-24.936
7668	7926	4	0.965	-2.016
6877	7431	4	0.9622	-1.013
6845	8022	4	0.9663	0.506
7222	8001	4	0.8928	-2.016
5699	7950	4	0.9454	-260.878
6845	6877	4	0.9697	1.012
6828	7602	4	0.9793	-0.002
7140	7425	4	0.9505	-0.001
7611	8029	4	0.9838	1.014
6899	8047	4	0.9808	-27.027
6899	7407	4	0.9753	22.988
7297	8056	4	0.9864	-0.001
7093	8051	4	0.984	23.998
7431	8042	4	0.9867	0.000
7103	7463	4	0.9745	0.001
6828	7102	4	0.946	26.014
5697	8056	4	0.9589	-235.202
7073	8029	4	0.9677	0.001
7082	8037	4	0.9162	22.992
6830	7098	4	0.9811	0.001
8022	8029	4	0.9785	0.507
6899	7093	4	0.9819	-1.008
6845	7611	4	0.9866	-0.001
6845	8042	4	0.9884	-0.000
6845	7690	4	0.9775	1.013
7431	8029	4	0.9763	1.014
6857	7215	4	0.9307	14.016
5699	7667	4	0.9564	-236.213
5468	7668	4	0.9623	-260.214
7215	7549	4	0.9839	-0.000
7668	8042	4	0.962	-26.015
7098	7224	4	0.9775	-25.003
7060	8037	4	0.9303	-0.000
7098	7407	4	0.9805	-2.015
7602	8058	4	0.9724	0.000
6852	6853	4	0.9368	-1.004
7279	7549	4	0.9454	38.015
7215	7255	4	0.928	1.012
7154	7279	4	0.9412	-23.999
7224	7400	4	0.9998	0.000
7123	7129	4	0.8935	-15.030
7296	7668	4	0.976	-0.001
7120	7691	4	0.9417	0.000
7690	8042	4	0.9858	-1.013
