ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	961217.5	1774760.4133333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"471","main.cluster index_upperinput":"471"}	This Node is a Singleton	N/A	N/A	N/A	 	9.9876	9.9876	0	N/A	N/A	8207933.739999998	6	471	-1	 	6	-87.0244	-1	89.0244	8207933.739999998
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1473715.4666666668	1467784.6	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29","main.cluster index_upperinput":"29"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4281	0.4281	0	N/A	N/A	8824500.2	6	29	-1	 	6	-87.0244	-1	89.0244	8824500.2
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4245980.4	2493695.3666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"528","main.cluster index_upperinput":"528"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6226	10.6226	0	N/A	N/A	20219027.3	6	528	-1	 	6	-94.9601	-1	96.9601	20219027.3
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	701594.4166666666	622616.2666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"383","main.cluster index_upperinput":"383"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4632	8.4632	0	N/A	N/A	3972632.05	6	383	-1	 	6	-98.9337	-1	100.9337	3972632.05
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1175899.2833333334	633305.8200000001	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"337","main.cluster index_upperinput":"337"}	This Node is a Singleton	N/A	N/A	N/A	 	8.2213	8.2213	0	N/A	N/A	5427615.31	6	337	-1	 	6	-98.9337	-1	100.9337	5427615.31
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	642382.98	1158616.9	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"372","main.cluster index_upperinput":"372"}	This Node is a Singleton	N/A	N/A	N/A	 	8.3844	8.3844	0	N/A	N/A	5402999.640000001	6	372	-1	 	6	-98.9337	-1	100.9337	5402999.640000001
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1185939.3533333333	976515.5333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"280","main.cluster index_upperinput":"280"}	This Node is a Singleton	N/A	N/A	N/A	 	7.8298	7.8298	0	N/A	N/A	6487364.66	6	280	-1	 	6	-98.9337	-1	100.9337	6487364.66
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1507153.0466666666	735749.1733333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"341","main.cluster index_upperinput":"341"}	This Node is a Singleton	N/A	N/A	N/A	 	8.2632	8.2632	0	N/A	N/A	6728706.659999999	6	341	-1	 	6	-98.9337	-1	100.9337	6728706.659999999
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1062836.92	1142818.1833333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"483","main.cluster index_upperinput":"483"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2157	10.2157	0	N/A	N/A	6616965.3100000005	6	483	-1	 	6	-98.9337	-1	100.9337	6616965.3100000005
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	757498.7233333333	572801.6166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"334","main.cluster index_upperinput":"334"}	This Node is a Singleton	N/A	N/A	N/A	 	8.1555	8.1555	0	N/A	N/A	3990901.0199999996	6	334	-1	 	6	-98.9337	-1	100.9337	3990901.0199999996
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1618848.2333333334	1443774.8666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"299","main.cluster index_upperinput":"299"}	This Node is a Singleton	N/A	N/A	N/A	 	7.9518	7.9518	0	N/A	N/A	9187869.299999999	6	299	-1	 	6	-98.9337	-1	100.9337	9187869.299999999
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1202502.1666666667	1149613.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"363","main.cluster index_upperinput":"363"}	This Node is a Singleton	N/A	N/A	N/A	 	8.3096	8.3096	0	N/A	N/A	7056347.0	6	363	-1	 	6	-98.9337	-1	100.9337	7056347.0
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	773152.0	742121.28	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=340dd1d32b2242a89faf226969b4ed67&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"474","main.cluster index_upperinput":"474"}	This Node is a Singleton	N/A	N/A	N/A	 	10.1438	10.1438	0	N/A	N/A	4545819.84	6	474	-1	 	6	-110.9857	-1	112.9857	4545819.84
