ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	46.0	0.0	0.0	0.0	0.0	0.0	0.0	2262557.1333333333	2210285.7333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1608","main.cluster index_upperinput":"1608"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6137	10.6137	0	N/A	N/A	13418528.6	6	1608	-1	 	6	81.5205	1	81.5205	13418528.6
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	275173.94	148696.302	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"82","main.cluster index_upperinput":"82"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4849	0.4849	0	N/A	N/A	1271610.726	6	82	-1	 	6	84.9597	1	84.9597	1271610.726
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	383189.44666666666	158097.66666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16","main.cluster index_upperinput":"16"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3152	0.3152	0	N/A	N/A	1623861.3399999999	6	16	-1	 	6	84.9597	1	84.9597	1623861.3399999999
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	737217.88	349474.82666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"101","main.cluster index_upperinput":"101"}	This Node is a Singleton	N/A	N/A	N/A	 	1.8093	1.8093	0	N/A	N/A	3260078.12	6	101	-1	 	6	84.9597	1	84.9597	3260078.12
EXP,CTRL	 	 	76.0	0.0	0.0	0.0	0.0	0.0	0.0	2443774.533333333	2703844.8333333335	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1605","main.cluster index_upperinput":"1605"}	This Node is a Singleton	N/A	N/A	N/A	 	10.4683	10.4683	0	N/A	N/A	15442858.1	6	1605	-1	 	6	89.5067	1	89.5067	15442858.1
EXP,CTRL	 	 	71.0	0.0	0.0	0.0	0.0	0.0	0.0	934155.8	927582.2166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"18","main.cluster index_upperinput":"18"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3393	0.3393	0	N/A	N/A	5585214.05	6	18	-1	 	6	90.9766	1	90.9766	5585214.05
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	146076.984	106524.76766666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1455","main.cluster index_upperinput":"1455"}	This Node is a Singleton	N/A	N/A	N/A	 	9.8054	9.8054	0	N/A	N/A	757805.255	6	1455	-1	 	6	90.9766	1	90.9766	757805.255
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	69475.06566666666	59986.52066666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1490","main.cluster index_upperinput":"1490"}	This Node is a Singleton	N/A	N/A	N/A	 	9.9792	9.9792	0	N/A	N/A	388384.759	6	1490	-1	 	6	90.9766	1	90.9766	388384.759
EXP,CTRL	 	 	34.0	0.0	0.0	0.0	0.0	0.0	0.0	957991.3933333333	831578.4966666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1544","main.cluster index_upperinput":"1544"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2660	10.2660	0	N/A	N/A	5368709.67	6	1544	-1	 	6	90.9766	1	90.9766	5368709.67
EXP,CTRL	 	 	55.0	0.0	0.0	0.0	0.0	0.0	0.0	5617014.666666667	5569249.166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=bbe98c21620d4eb5b86c6e2214bf7162&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"92","main.cluster index_upperinput":"92"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7593	0.7593	0	N/A	N/A	33558791.5	6	92	-1	 	6	92.1102	1	92.1102	33558791.5
