CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
284	351	1	0.9614	-28.031
284	313	1	0.9357	-26.016
313	351	1	0.9773	-2.016
215	273	2	0.9885	0.000
141	146	2	0.9493	0.000
225	227	2	0.7817	1.003
227	492	2	0.9069	-28.030
273	332	2	0.8487	56.063
225	273	2	0.7847	1.003
146	273	2	0.8059	-238.230
225	492	2	0.8345	-27.027
163	215	2	0.9206	-196.219
107	491	2	0.7956	-210.199
227	271	2	0.9106	-28.031
332	491	2	0.9096	54.047
146	492	2	0.7569	-266.260
271	492	2	0.8951	0.001
215	227	2	0.9962	0.000
146	227	2	0.8008	-238.230
273	297	2	0.8641	82.078
146	177	2	0.9387	-2.016
271	332	2	0.8262	84.094
215	332	2	0.8522	56.063
215	271	2	0.9053	-28.031
297	332	2	0.835	-26.016
227	332	2	0.8513	56.063
123	177	2	0.9662	-56.063
146	215	2	0.803	-238.230
225	271	2	0.7764	-27.028
107	332	2	0.7859	-264.246
227	297	2	0.8675	82.078
227	273	2	0.9919	0.000
123	139	2	0.9662	-28.031
168	225	2	0.9649	0.617
163	227	2	0.9232	-196.219
216	225	2	0.8282	27.028
271	273	2	0.9176	28.031
215	225	2	0.8068	-1.003
332	492	2	0.7931	-84.093
147	492	2	0.7571	-264.255
215	297	2	0.8671	82.078
163	225	2	0.7849	-197.223
163	273	2	0.9281	-196.219
139	177	2	0.9515	-28.031
168	185	2	0.991	-0.000
216	271	2	0.9095	0.000
185	225	2	0.9792	0.617
185	208	2	0.9913	0.000
215	492	2	0.9014	-28.030
216	227	2	0.8863	28.031
216	492	2	0.964	0.001
139	146	2	0.9399	-26.016
107	123	2	0.9866	-28.031
208	225	2	0.9828	0.617
123	146	2	0.9505	-54.047
168	208	2	0.9819	0.000
107	297	2	0.733	-238.230
107	139	2	0.951	-56.063
297	491	2	0.8737	28.031
163	492	2	0.8735	-224.250
107	177	2	0.9497	-84.094
163	332	2	0.7659	-140.157
273	492	2	0.8945	-28.030
215	216	2	0.8794	-28.031
107	146	2	0.9455	-82.079
47	60	3	0.7618	14.992
12	26	4	0.7863	-166.057
5	7	5	0.9438	-67.988
4	7	5	0.9169	-135.975
5	6	5	0.9379	-135.975
6	7	5	0.9288	67.987
4	6	5	0.8931	-203.963
4	5	5	0.968	-67.988
192	222	6	0.9956	0.000
18	19	7	0.8585	-46.006
238	240	8	0.8265	-64.012
110	251	9	0.9155	-210.199
110	149	9	0.9897	-82.079
87	88	10	0.987	-1.998
24	25	11	0.8593	-1.003
307	331	12	0.9079	15.995
106	510	13	0.9035	-0.000
