row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_CC-NaB_3_Run57.mzML Peak area,2024_NEG_CC_2_Run48.mzML Peak area,2024_NEG_CC-NaB_1_Run30.mzML Peak area,2024_NEG_CC-NaB_2_Run51.mzML Peak area,2024_NEG_CC_1_Run21.mzML Peak area,2024_NEG_CC_3_Run62.mzML Peak area,Unnamed: 19
460,89.02441468632907,9.999089,,,,,,,,,,,935877.1,892748.0,3672272.5,1298313.5,916433.9,1156765.0,
31,89.0244169179032,0.42355773,,,,,,,,,,,461674.9,563997.0,431815.28,2319373.8,619632.3,3184018.0,
518,96.96012549997084,10.613551,,,,,,,,,,,2462305.5,1206118.5,8801987.0,8351439.5,8978525.0,2462330.2,
364,100.93365148243308,8.364878,,,,,,,,,,,773766.4,822099.0,588633.2,1155003.9,840325.1,264724.84,
375,100.93365160603577,8.446793,,,,,,,,,,,848350.3,810787.75,449063.53,584356.0,599070.4,694925.1,
471,100.93365203729586,10.215568,,,,,,,,,,,1299457.6,857878.56,1957545.4,807217.25,1177540.8,1153091.4,
333,100.93365255743568,8.22897,,,,,,,,,,,883564.5,895883.75,516294.12,489466.88,1755621.1,697654.06,
360,100.93365281007117,8.314325,,,,,,,,,,,1046975.8,916052.5,1999759.9,2149795.8,1122458.5,1675860.0,
338,100.93365356075148,8.267056,,,,,,,,,,,2775642.5,1220602.0,415007.16,2953570.8,805405.94,2495451.2,
296,100.93365369062208,7.8718204,,,,,,,,,,,1216062.0,967411.6,1452457.8,781496.8,661730.56,2152338.0,
316,100.93365431611231,7.947499799999999,,,,,,,,,,,540073.5,1618283.8,666524.7,789548.3,1346549.8,1891711.1,
324,100.93365560383698,8.008412,,,,,,,,,,,1028151.25,664620.8,260757.25,811968.7,759258.7,1140582.0,
463,112.98567604897384,10.144362,,,,,,,,,,,687913.75,1020180.7,725741.5,935303.8,709261.4,621565.06,
9,112.98568119603216,0.3376706,,,,3.0,,,,,,,3742218.8,3591475.2,3971688.8,3378495.8,3645057.2,3492552.5,
477,112.98568077416031,10.272885,,,,15.0,,,,,,,3124404.8,2167654.2,3362506.5,2165145.2,2314974.2,2916501.5,
422,115.92075076245581,8.924728,,,,18.0,,,,,,,1170623.6,2873669.8,3437819.8,2916612.5,791375.9,1032670.6,
465,115.92075515135951,10.199653,,,,14.0,,,,,,,4018732.0,3960577.8,4389820.0,3601737.5,3631693.0,3447992.5,
348,115.92076057116456,8.2823,,,,6.0,,,,,,,9147909.0,11631265.0,10820416.0,9188457.0,15939919.0,10189245.0,
274,115.9207615349335,7.7016716,,,,,,,,,,,2217001.2,868638.5,1174557.8,688047.6,1454585.4,2500541.5,
282,115.92076447037742,7.839384599999999,,,,27.0,,,,,,,5003985.0,3592083.5,3319447.8,3329186.2,5156863.0,5494121.0,
314,115.92076527880569,7.946696,,,,11.0,,,,,,,3356029.5,4280714.5,4667581.5,4090983.8,5215941.5,5161455.5,
466,116.92091013157714,10.205969999999999,,,,14.0,,,,,,,454910.94,440937.75,480072.84,390198.84,394905.2,161112.22,
494,116.92856745287183,10.363328,,,,,,,,,,,1413725.9,1446841.0,1599636.9,1473448.8,1521580.0,1409579.6,
349,116.92856914608583,8.282378,,,,6.0,3.0,[M-H+2Na]+,,2.0,349;352,71.95775,2085749.1,2934667.8,3651258.2,3045173.5,4060148.2,3766826.5,
281,116.92856995527168,7.838369,,,,27.0,1.0,[M-H+2Na]+,,2.0,285;281,71.95775,6383510.5,2341646.5,4566694.0,1754959.9,2649981.5,2326403.0,
310,116.92857146657366,7.9438744,,,,11.0,2.0,[M-H+2Na]+,,2.0,315;310,71.95776,4031781.0,2585052.2,2199368.2,1892643.6,2662877.2,2324421.2,
234,116.92857290773615,7.296829,,,,,,,,,,,944767.94,839607.25,771170.94,785323.25,631202.44,425759.62,
272,116.92857815598877,7.68313,,,,10.0,,,,,,,2012618.8,2529460.8,1704660.8,2653337.5,3511324.0,2993136.2,
34,117.01934764269389,0.6546417,,,,20.0,,,,,,,617315.75,631373.25,661999.3,1625695.4,3566065.5,2601133.2,
32,119.01713488116184,0.58762574,,,,,,,,,,,1174370.0,1181549.6,1245670.4,1157341.9,1138258.4,1165489.1,
33,121.0327622595262,0.6489406,,,,20.0,,,,,,,1943581.2,1982424.4,2019296.9,1953957.9,1837446.2,1873149.6,
269,122.97577625249993,7.680756,,,,,,,,,,,52401.066,86957.734,75479.01,88475.234,129808.84,93194.33,
428,122.97577792487604,9.004211999999999,,,,,,,,,,,450499.66,360871.94,573260.94,380921.25,470112.53,360409.03,
288,122.97577811447123,7.8394046,,,,,,,,,,,123847.82,130429.98,125990.27,122638.055,190800.8,159934.86,
303,122.97578269018334,7.9457145,,,,,,,,,,,174558.02,188347.1,176180.78,161766.81,259761.42,236951.31,
353,122.97578643038177,8.285442999999999,,,,,,,,,,,119829.67,171340.14,137771.42,139153.47,277312.34,199805.2,
16,123.04841717865236,0.37612128,,,,,,,,,,,321289.66,320551.72,352318.8,308715.1,327268.28,314204.8,
122,132.86785393598743,5.648782700000001,,,,,,,,,,,116781.58,178916.06,159414.53,293634.53,215717.8,137159.48,
497,132.86787099221146,10.467678,,,,,,,,,,,775301.0,616797.6,728482.06,656661.44,690288.9,668216.25,
470,132.867871660757,10.210834,,,,54.0,,,,,,,195195.86,151837.06,170398.97,158054.12,170056.88,147972.39,
235,134.89466574733288,7.31193,,,,,,,,,,,961672.8,532409.44,626305.3,693514.5,950451.4,694814.2,
261,134.89467557284942,7.560888,,,,7.0,,,,,,,3116764.5,2061461.2,1953198.5,1985053.1,2355043.2,1914831.9,
277,134.89467807239996,7.6955990000000005,,,,10.0,,,,,,,2321104.0,2294143.8,2257247.8,2302350.0,2403186.8,2298602.8,
366,134.8946799772165,8.397447,,,,28.0,,,,,,,2072384.4,1840936.1,2021645.6,1981459.8,1913497.9,2364712.2,
