CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
606	752	1	0.9841	28.030
646	1512	1	0.9085	-28.030
654	738	1	0.9227	-84.093
191	226	1	0.8403	-28.031
654	1489	1	0.9255	-110.109
437	654	1	0.9125	112.125
290	437	1	0.9105	-170.203
196	241	1	0.9372	-56.063
608	947	1	0.9875	0.000
738	856	1	0.9684	-26.016
470	745	1	0.9293	-80.064
739	1504	1	0.8473	0.036
290	646	1	0.8892	-196.219
729	920	1	0.9817	166.168
856	942	1	0.8953	-54.046
290	942	1	0.8665	-222.234
620	757	1	0.9955	0.000
437	1495	1	0.861	-52.031
248	1489	1	0.9574	-210.198
248	856	1	0.9259	-210.198
639	729	1	0.9997	-2.012
729	757	1	0.9894	82.074
193	947	1	0.9706	-264.245
290	1512	1	0.9477	-224.249
264	290	1	0.7855	-42.010
248	437	1	0.8827	-212.214
856	1489	1	0.9542	0.000
290	1489	1	0.9369	-168.188
639	920	1	0.9819	164.156
226	241	1	0.9789	-28.031
628	785	1	0.7214	2.015
738	1489	1	0.9492	-26.016
856	1512	1	0.9263	-56.061
752	940	1	0.9832	0.000
226	238	1	0.8393	-28.031
947	1509	1	0.9914	-0.000
191	207	1	0.9819	-28.031
416	608	1	0.9502	-26.015
470	620	1	0.9946	-0.001
757	937	1	0.9834	0.003
757	920	1	0.9726	84.093
207	1496	1	0.918	-182.167
193	608	1	0.9567	-264.245
738	754	1	0.9397	28.031
1489	1495	1	0.9252	-54.047
752	920	1	0.9543	110.109
207	654	1	0.9065	-154.135
437	856	1	0.8835	2.016
920	935	1	0.9373	-1.003
422	634	1	0.9904	28.031
248	1512	1	0.9392	-266.259
606	940	1	0.9996	28.030
248	646	1	0.9222	-238.229
649	760	1	0.8806	-0.000
942	1512	1	0.8899	-2.015
470	920	1	0.9738	84.092
745	757	1	0.9253	80.063
760	1495	1	0.9195	-0.001
264	302	1	0.8749	-2.016
416	1509	1	0.9511	-26.016
628	739	1	0.8324	1.979
196	302	1	0.9666	-84.094
470	634	1	0.977	-26.017
416	947	1	0.9568	-26.015
1495	1512	1	0.8981	-2.014
738	1496	1	0.9665	56.062
739	940	1	0.8639	-14.016
437	1489	1	0.9253	2.016
608	1509	1	0.9878	-0.000
752	757	1	0.9665	26.016
739	784	1	0.7344	-0.967
207	238	1	0.9827	-28.031
628	732	1	0.8003	0.975
606	634	1	0.9908	28.031
238	1496	1	0.9357	-154.136
193	445	1	0.9596	-238.229
226	302	1	0.9514	-56.063
639	757	1	0.9898	80.062
470	947	1	0.9247	2.014
437	738	1	0.9242	28.032
732	784	1	0.8428	0.037
241	302	1	0.9333	-28.031
470	639	1	0.991	-80.064
646	1495	1	0.9345	-26.016
193	1509	1	0.964	-264.245
207	226	1	0.8246	0.000
646	738	1	0.9332	54.047
416	445	1	0.9825	0.000
654	1496	1	0.9856	-28.031
248	1495	1	0.9082	-264.245
732	739	1	0.8641	1.004
628	1504	1	0.7453	2.014
620	639	1	0.9884	-80.062
628	784	1	0.7944	1.012
290	856	1	0.8924	-168.188
639	752	1	0.9715	54.046
654	856	1	0.8872	-110.109
416	745	1	0.9503	-108.094
634	729	1	0.9817	-56.058
290	1495	1	0.8722	-222.234
784	1504	1	0.912	1.003
738	1512	1	0.9271	-82.077
470	752	1	0.9685	-26.017
620	745	1	0.9247	-80.063
620	752	1	0.9674	-26.016
241	264	1	0.9274	-26.016
422	606	1	0.9998	0.000
856	1496	1	0.9441	82.078
422	940	1	0.9998	28.031
634	920	1	0.9643	110.109
729	752	1	0.9711	56.058
634	757	1	0.9769	26.016
745	947	1	0.9641	82.078
437	646	1	0.9333	-26.015
654	754	1	0.9476	-56.062
634	940	1	0.9902	-0.000
1489	1512	1	0.9717	-56.061
470	729	1	0.9906	-82.076
646	856	1	0.9546	28.031
238	654	1	0.9405	-126.104
193	745	1	0.9639	-346.323
646	942	1	0.9516	-26.016
760	942	1	0.8752	-0.000
207	241	1	0.8039	-28.031
646	1489	1	0.9479	28.031
608	745	1	0.9549	-82.078
470	757	1	0.9939	-0.001
1489	1496	1	0.9431	82.078
191	238	1	0.9989	-56.063
445	947	1	0.9581	-26.015
437	942	1	0.8558	-52.031
248	1496	1	0.8837	-128.120
422	752	1	0.9836	28.030
238	241	1	0.8184	0.000
445	608	1	0.9516	-26.016
226	264	1	0.9004	-54.047
191	241	1	0.8182	-56.063
445	1509	1	0.9476	-26.016
784	785	1	0.9316	1.003
620	634	1	0.9758	-26.016
634	639	1	0.9818	-54.047
419	470	1	0.9877	80.065
445	745	1	0.9567	-108.094
