row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_CC-Nam_2_Run45.mzML Peak area,2024_NEG_CC_2_Run48.mzML Peak area,2024_NEG_CC-Nam_1_Run33.mzML Peak area,2024_NEG_CC_3_Run62.mzML Peak area,2024_NEG_CC_1_Run21.mzML Peak area,2024_NEG_CC-Nam_3_Run68.mzML Peak area,Unnamed: 19
491,89.02441555338913,10.000138,,,,,,,,,,,3204956.5,892737.25,1367471.8,1156765.0,918988.44,1079466.0,
34,89.02442176722457,0.42874852,,,,,,,,,,,2457403.8,588634.0,7785414.5,3184018.0,648494.4,970337.8,
542,96.96012705814802,10.627622,,,,,,,,,,,2339900.0,1250562.0,2387343.2,2508854.2,8978525.0,2457366.8,
452,100.9336505071887,8.935916,,,,,,,,,,,280686.0,219470.23,749030.7,530048.6,208869.45,211398.55,
306,100.93365354014848,7.8565,,,,,,,,,,,271322.28,808359.3,539419.56,2152338.0,661730.56,1459761.0,
401,100.93365402270528,8.459664,,,,,,,,,,,222141.3,810787.75,192480.6,694925.1,599070.4,293370.72,
394,100.93365535284056,8.347743,,,,,,,,,,,2213081.5,822099.0,757063.3,1675860.0,1122458.5,1770019.0,
500,100.93365535035652,10.211972,,,,,,,,,,,1466613.2,857878.56,978463.56,1153091.4,1177540.8,1592997.5,
363,100.93365560235571,8.265473,,,,,,,,,,,2510667.5,1220602.0,1095252.1,2495451.2,805405.94,1485667.9,
357,100.93365563458784,8.201298,,,,,,,,,,,1004286.56,895883.75,503672.88,450734.94,1755621.1,785738.6,
321,100.93365597964092,7.940847,,,,,,,,,,,190454.12,1618283.8,547727.9,1891711.1,1346549.8,801416.2,
353,100.93365867795922,8.065800999999999,,,,,,,,,,,365350.25,708034.4,327305.9,1140582.0,759258.7,658931.2,
291,100.93365963428349,7.6975446,,,,,,,,,,,1302420.2,258048.78,367761.28,343207.66,157887.52,736866.56,
11,102.95686188449024,0.35478783,,,,,,,,,,,331999.38,316679.1,507820.4,325408.3,334452.7,345677.78,
494,112.9856756146774,10.14444,,,,,,,,,,,671739.2,1020180.7,836273.94,621565.06,709261.4,703816.06,
507,112.98568134142158,10.271063999999999,,,,0.0,,,,,,,3194613.5,2167654.2,2197118.5,2916501.5,2314974.2,2042686.4,
10,112.98568293224982,0.33893883,,,,7.0,,,,,,,3509753.5,3591475.2,2699859.2,3492552.5,3645057.2,3498200.0,
447,115.920753410324,8.916783,,,,,,,,,,,862180.9,2873669.8,3124486.0,1032670.6,791375.9,552342.75,
502,115.92075758430616,10.222083,,,,20.0,,,,,,,4272651.5,3960577.8,3909136.8,3447992.5,3631693.0,3358604.8,
375,115.9207630198561,8.282701,,,,1.0,,,,,,,11007088.0,11631265.0,11875856.0,10189245.0,15939919.0,11375096.0,
289,115.92076392085156,7.702311,,,,,,,,,,,2224706.8,868638.5,1053823.2,2500541.5,1454585.4,1306093.2,
