CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
55	62	1	0.9628	-0.028
35	62	1	0.9628	-0.022
35	55	1	1.0	0.006
683	686	2	0.9127	-17.027
1133	1249	2	0.9191	-17.007
746	1230	2	0.9203	14.992
564	572	2	0.8771	-18.011
909	1145	2	0.9063	16.979
594	622	2	0.8105	37.057
625	683	2	0.9408	-0.984
1180	1293	2	0.9221	-2.016
921	1068	2	0.8918	-15.995
1249	1282	2	0.9468	-14.007
1145	1164	2	0.9473	15.010
1133	1276	2	0.9019	-35.970
972	1138	2	0.8955	-15.995
548	1173	2	0.9135	-82.078
972	1081	2	0.7945	-31.990
1254	1319	2	0.9307	-35.037
634	686	2	0.7609	-35.037
902	1187	2	0.9126	-54.047
1173	1187	2	0.9301	18.011
322	622	2	0.8121	37.057
572	573	2	0.8098	-1.002
746	1180	2	0.9305	-3.047
652	1144	2	0.7915	51.032
909	1254	2	0.9422	15.995
448	927	2	0.9071	-0.000
322	922	2	0.8963	-71.073
573	873	2	0.8245	-66.061
594	922	2	0.893	-71.073
1133	1254	2	0.9139	-16.004
897	922	2	0.9057	45.010
631	678	2	0.8128	-2.016
758	873	2	0.7482	-26.015
448	921	2	0.8983	-18.011
746	1254	2	0.9048	13.979
1210	1211	2	0.7298	18.010
1216	1230	2	0.8996	16.023
746	1145	2	0.9004	14.964
322	587	2	0.8589	-74.037
625	634	2	0.7771	17.027
739	1319	2	0.8918	-35.037
625	631	2	0.9129	-18.010
1081	1211	2	0.8738	18.011
1230	1282	2	0.8859	-16.023
587	687	2	0.7422	95.099
558	922	2	0.8154	18.010
1051	1079	2	0.8312	-26.016
622	897	2	0.8816	-153.140
322	594	2	0.9741	-0.000
728	1180	2	0.911	-35.037
911	1180	2	0.9711	-21.058
564	746	2	0.8863	-34.005
678	897	2	0.8701	-153.140
333	336	2	0.714	18.010
1081	1144	2	0.8058	-2.016
927	1240	2	0.9026	-35.037
785	1079	2	0.8496	-28.032
286	322	2	0.8647	74.036
739	1145	2	0.9357	0.984
322	678	2	0.8018	37.057
547	594	2	0.8046	-0.000
286	547	2	0.7833	74.036
210	686	2	0.7682	2.016
448	1180	2	0.8961	-35.037
631	683	2	0.9306	17.027
522	558	2	0.7897	-72.057
911	1254	2	0.9121	-4.032
911	1133	2	0.9311	11.972
897	1293	2	0.8328	-79.078
1249	1293	2	0.9014	-18.039
1276	1293	2	0.933	0.924
746	1249	2	0.9173	12.976
746	1133	2	0.9212	29.983
758	785	2	0.7698	-26.015
972	1010	2	0.8705	-18.011
1180	1230	2	0.9391	18.039
1145	1254	2	0.9607	-0.984
1133	1145	2	0.9059	-15.020
673	1307	2	0.8636	-168.188
921	1145	2	0.9414	0.984
448	1282	2	0.9041	-33.021
921	1254	2	0.9403	0.000
909	1133	2	0.9008	31.999
210	631	2	0.7741	2.016
622	678	2	0.9627	0.000
1240	1249	2	0.9438	16.023
1133	1230	2	0.9145	-14.991
909	1230	2	0.9346	17.008
548	1187	2	0.9305	-64.067
1133	1293	2	0.899	-35.046
589	1319	2	0.8848	-119.110
728	909	2	0.9415	-34.006
210	678	2	0.8679	0.000
739	1068	2	0.9138	-15.995
549	1187	2	0.9136	-82.078
448	1240	2	0.9065	-35.037
548	902	2	0.924	-10.020
549	902	2	0.8941	-28.031
746	1282	2	0.9592	-1.031
1138	1281	2	0.8415	-15.995
1051	1070	2	0.8773	0.036
728	911	2	0.9337	-13.979
587	594	2	0.8598	74.037
1240	1276	2	0.8313	-2.940
1282	1319	2	0.8927	-20.026
548	785	2	0.7092	-66.046
739	1254	2	0.9657	0.000
1010	1138	2	0.8914	2.016
1133	1180	2	0.92	-33.030
909	1164	2	0.9257	31.989
1024	1239	2	0.7932	15.956
905	1173	2	0.9365	-54.047
728	921	2	0.9355	-18.011
587	922	2	0.8331	2.963
564	1068	2	0.8996	-36.021
1068	1254	2	0.9399	15.995
1024	1144	2	0.7411	-2.055
587	897	2	0.7433	-42.047
1180	1282	2	0.8981	2.016
448	728	2	0.8927	-0.000
911	1068	2	0.9032	-20.026
631	686	2	0.9797	0.000
1249	1319	2	0.8653	-34.034
773	1138	2	0.8519	13.979
324	522	2	0.7295	0.984
565	589	2	0.9002	-0.021
547	587	2	0.7048	-74.037
728	1068	2	0.8921	-34.005
739	1164	2	0.9855	15.995
1164	1319	2	0.9177	-51.031
1068	1164	2	0.9261	31.989
548	905	2	0.9217	-28.031
560	652	2	0.81	13.979
652	1239	2	0.8016	69.043
728	927	2	0.8954	-0.000
286	558	2	0.7213	-15.047
758	1051	2	0.8192	-28.031
631	634	2	0.7377	35.037
448	911	2	0.8995	-13.979
210	622	2	0.8206	0.000
522	1307	2	0.8568	-84.094
678	922	2	0.8843	-108.130
746	911	2	0.9378	18.011
622	631	2	0.7569	2.016
1240	1282	2	0.8982	2.016
622	686	2	0.7407	2.016
