row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_CC-Nam_2_Run44.mzML Peak area,2024_POS_CC_2_Run47.mzML Peak area,2024_POS_CC-Nam_1_Run32.mzML Peak area,2024_POS_CC_3_Run61.mzML Peak area,2024_POS_CC-Nam_3_Run67.mzML Peak area,2024_POS_CC_1_Run20.mzML Peak area,
1664,81.52053133219475,10.601363,,,,105,,,,,,,2611233.2,2028844.4,2895699.0,2224533.0,1964975.5,2534294.0,
83,84.9596468378281,0.4853239,,,,,,,,,,,116563.37,281164.28,42477.965,435551.97,162984.33,108805.57,
16,84.95965693431134,0.3187981,,,,,,,,,,,845488.06,187350.22,151649.53,779268.9,212047.92,182949.22,
109,84.95965836574727,1.8149371,,,,,,,,,,,1508417.4,341063.28,342277.6,1564249.0,429007.8,295406.28,
1661,89.50666874082857,10.468992,,,,6,,,,,,,2539129.0,2566711.5,3365055.8,1996289.6,2933198.0,2768322.5,
21,90.97658060232776,0.3395565,,,,54,,,,,,,799782.4,909289.4,969702.7,929266.7,980622.6,963911.3,
1526,90.97657986101939,9.806949,,,,,,,,,,,73423.08,50901.062,97032.29,127011.62,82388.99,260318.27,
1561,90.976579983102,9.978424,,,,,,,,,,,67693.82,48298.55,63159.11,64951.867,33747.695,95174.78,
1613,90.97658426781167,10.266708,,,,7,,,,,,,956299.6,919034.94,884865.94,919833.3,919124.6,1035105.94,
98,92.11016925148424,0.76341087,,,,98,,,,,,,5622118.0,5578113.5,5513626.5,5754668.0,5573287.0,5518262.5,
36,94.06198125517712,0.3645645,,,,76,,,,,,,1680891.5,1684748.9,1645508.5,1706430.4,1674075.0,1655741.9,
111,99.5121374725128,2.116752,,,,,,,,,,,267432.1,646871.1,306315.78,642649.8,755131.7,284906.78,
1654,99.51215036371055,10.441955,,,,6,,,,,,,1498968.5,1397011.0,1433443.1,1608329.6,1492023.0,1407986.9,
1657,110.0199678920816,10.45255,,,,6,,,,,,,6049212.0,6457269.5,6098439.0,5659223.5,6705185.5,6141881.5,
1287,111.0201487837377,8.702781,,,,121,,,,,,,1788914.2,1661419.1,1552479.5,1792584.0,1830960.5,1628678.4,
1651,111.02016184705968,10.436732,,,,6,,,,,,,7734626.5,7586304.0,7794509.5,7762751.0,7725757.0,7819432.0,
1652,112.01786203093563,10.436732,,,,6,,,,,,,3004113.2,2913388.0,2971181.5,2995647.8,2980539.8,3002277.2,
1275,112.01786787372798,8.6865425,,,,121,,,,,,,722329.8,624210.9,547690.6,707870.25,639404.75,586359.44,
1660,113.96360625310133,10.471906,,,,,,,,,,,415529.38,191511.19,304705.53,634657.06,356490.9,623346.25,
3,113.96363531894674,0.029161856,,,,,,,,,,,372558.5,374389.25,387870.44,443886.28,382732.62,606591.4,
40,115.04789783417188,0.3686323,,,,76,2,[M+H]+,,3,42;40;37,114.04064,8199444.5,8723398.0,8333622.0,8189501.0,1.4484339E7,8876638.0,
41,117.04828096113523,0.3694458,,,,76,0,[M+Na]+,,2,41;34,94.05955,712878.06,800857.7,752524.7,741968.9,766830.75,1238968.9,
72,118.08617860440114,0.39153802,,,,,,,,,,,37528.25,4569.959,493913.8,14954.71,30509.93,10991.316,
13,118.94255844582655,0.3163363,,,,21,,,,,,,719841.8,760141.9,718213.3,731704.44,724662.2,567762.25,
1,118.94257322613599,0.030761054,,,,1,,,,,,,2498858.2,2397939.0,2757044.2,2441484.0,2612240.0,2437795.0,
141,120.04433888564581,2.8254156,,,,,,,,,,,125550.7,258310.25,158973.33,378867.56,217677.16,583206.75,
58,122.08436018602157,0.38246283,,,,76,,,,,,,3502462.0,3761407.5,3617803.5,3634423.8,3675426.0,3738241.2,
87,123.05523960756926,0.5861173,,,,,,,,,,,5884066.0,261855.58,6866182.0,318680.1,9440833.0,286040.72,
73,124.10002157938355,0.38737193,,,,76,,,,,,,2760221.0,5774063.5,3031588.5,2840287.8,2819383.5,3015820.2,
43,125.0759257923221,0.37351385,,,,76,,,,,,,1297127.4,1316497.1,1234984.4,1322793.2,1306780.0,1305217.1,
132,130.15900850428554,2.691828,,,,,,,,,,,334881.06,421903.75,419196.97,418963.97,486085.84,415925.8,
1265,131.5334741901827,8.669078,,,,,,,,,,,299550.88,335845.03,250520.14,339694.9,402053.56,59732.51,
1655,131.53347525014055,10.442225,,,,6,,,,,,,771186.06,997642.3,818685.94,978908.1,932472.6,295209.44,
95,132.10187251459962,0.75337756,,,,,,,,,,,144387.47,5277.802,1700341.2,43799.98,211952.64,0,
101,134.06102935987997,0.8091903,,,,98,,,,,,,4453699.0,4084153.5,4102183.5,4649845.0,4230232.5,3920684.5,
11,136.95316267264357,0.31597492,,,,21,,,,,,,301834.78,283004.34,268817.28,307828.7,269278.5,209599.73,
8,136.95318111682903,0.033174597,,,,1,,,,,,,1015571.56,987258.7,1073541.8,1091951.4,1008752.7,916718.56,
37,137.02987521189502,0.36537805,,,,76,2,[M+Na]+,,2,40;37,114.04064,3202049.2,3479584.5,3525634.8,3590909.0,3392654.0,3640689.5,
142,138.05494288125274,2.8254156,,,,,,,,,,,133851.9,265142.75,158154.5,393499.62,227033.53,601815.75,
96,138.11573114522938,0.75572944,,,,98,,,,,,,1157351.2,1140707.5,1138455.9,1163376.1,1139636.5,1121321.5,
46,139.05522924267544,0.376768,,,,76,,,,,,,1205336.4,1256071.2,1134260.4,1236556.6,1232371.0,1281499.4,
97,139.11907565039462,0.76258487,,,,98,,,,,,,2.411929E7,2.374614E7,2.3942238E7,2.4045836E7,2.397208E7,2.3498784E7,
103,141.03391603446724,0.88069814,,,,70,,,,,,,6374861.0,6527677.0,6029726.5,6386137.0,6324944.5,6458222.5,
77,141.03393094778173,0.39315423,,,,76,7,[M+H]+,,2,76;77,140.02663,2499849.0,2548004.8,2238539.5,2356542.2,2433478.2,2534493.2,
85,141.0339629561658,0.5530552,,,,,,,,,,,4090233.0,4119699.0,3676376.5,4189688.0,4103385.8,4145426.8,
59,141.04690958701224,0.38246283,,,,76,,,,,,,5809434.0,5928983.5,5516715.5,6010710.0,5698052.5,6021855.0,
14,141.9585918518113,0.3163363,,,,21,,,,,,,839278.75,895105.6,856136.44,905696.6,809244.75,862327.5,
2,141.95861055145926,0.0315607,,,,1,,,,,,,3486715.8,3540097.5,3972218.8,3568298.8,3573316.5,4639011.0,
