CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1315	1384	1	0.9342	-75.998
1382	1391	1	0.9468	-74.019
1191	1315	1	0.907	-146.058
1149	1384	1	0.9453	-0.000
1346	1392	1	0.9165	-90.050
1346	1531	1	0.9331	-238.088
1507	1533	1	0.8697	-74.019
1149	1509	1	0.9137	-149.039
1191	1328	1	0.8775	-370.095
1382	1532	1	0.8375	-222.057
1242	1346	1	0.8938	-57.988
1509	1533	1	0.8807	-75.018
1384	1511	1	0.9495	-148.037
1328	1392	1	0.9401	74.020
1392	1511	1	0.9738	-74.018
1191	1531	1	0.8854	-444.113
1328	1511	1	0.9222	0.001
1328	1329	1	0.8767	-1.001
1385	1507	1	0.966	-148.038
1384	1531	1	0.9421	-222.057
1315	1392	1	0.9143	-150.017
1191	1346	1	0.9161	-206.025
1328	1532	1	0.8728	-75.019
1329	1533	1	0.9024	-75.017
1391	1533	1	0.8928	-149.037
1149	1511	1	0.9244	-148.038
1329	1509	1	0.9002	0.001
1346	1558	1	0.8855	-74.019
1391	1509	1	0.9817	-74.018
1315	1346	1	0.8857	-59.967
1346	1384	1	0.9195	-16.031
1511	1531	1	0.9342	-74.020
1149	1242	1	0.9558	74.018
1315	1558	1	0.9596	-133.986
1242	1392	1	0.9798	-148.038
1315	1388	1	0.9613	-1.979
1328	1531	1	0.9637	-74.019
1191	1242	1	0.9361	-148.037
1388	1558	1	0.9545	-132.007
1242	1315	1	0.9007	1.979
1149	1392	1	0.9483	-74.019
1392	1558	1	0.9127	16.031
1149	1191	1	0.9115	222.056
1507	1509	1	0.8705	0.999
1382	1509	1	0.9569	-148.038
1242	1328	1	0.9174	-222.057
1242	1511	1	0.9193	-222.056
1346	1532	1	0.8532	-239.089
1391	1532	1	0.8913	-148.038
1328	1384	1	0.9214	148.039
1315	1511	1	0.9395	-224.035
1329	1382	1	0.8645	148.039
1328	1346	1	0.9197	164.070
1384	1558	1	0.9348	-57.988
1336	1511	1	0.9045	-148.038
1191	1384	1	0.931	-222.056
1511	1558	1	0.908	90.049
1191	1392	1	0.9072	-296.075
1336	1558	1	0.9516	-57.989
1242	1531	1	0.9563	-296.076
1242	1384	1	0.9679	-74.019
1191	1558	1	0.9253	-280.044
1149	1558	1	0.8964	-57.988
1509	1532	1	0.8759	-74.019
1382	1533	1	0.833	-223.056
1149	1328	1	0.9673	-148.039
1242	1558	1	0.9031	-132.007
1384	1392	1	0.9783	-74.019
1382	1385	1	0.8218	-0.998
1149	1531	1	0.9349	-222.058
1531	1532	1	0.8756	-1.001
1532	1533	1	0.8779	-0.999
1392	1531	1	0.9564	-148.038
1336	1388	1	0.994	74.018
1329	1391	1	0.9157	74.019
1149	1315	1	0.8918	75.998
1388	1511	1	0.9046	-222.056
1329	1532	1	0.9703	-74.018
1315	1336	1	0.9593	-75.997
1385	1533	1	0.8215	-222.057
504	820	2	0.954	0.000
450	791	2	0.9641	-82.077
668	1035	2	0.9289	28.029
1016	1035	2	0.9281	28.028
706	810	2	0.9081	26.016
504	658	2	0.933	-26.017
783	820	2	0.9266	-28.029
698	783	2	0.9373	0.000
496	1026	2	0.9773	-0.001
496	582	2	0.9746	-0.000
658	994	2	0.9803	-0.000
450	658	2	0.9335	-26.015
433	1035	2	0.9809	0.000
450	706	2	0.9333	-80.063
433	488	2	0.987	-0.000
582	1026	2	0.9721	-0.000
697	777	2	0.9008	-26.015
582	702	2	0.9624	0.001
504	791	2	0.9369	-82.079
820	1035	2	0.9329	28.029
658	776	2	0.9537	0.000
504	1612	2	0.9318	2.013
364	1016	2	0.9365	-28.027
668	1016	2	0.9987	0.001
450	504	2	0.9741	0.002
788	1612	2	0.9534	-0.001
580	698	2	0.9683	0.000
706	777	2	0.9997	0.000
450	668	2	0.9673	0.002
777	791	2	0.9335	-2.014
668	1612	2	0.9442	2.013
433	783	2	0.988	0.000
504	994	2	0.9278	-26.017
697	706	2	0.9036	-26.016
697	1031	2	0.987	0.000
791	810	2	0.9268	28.030
698	1035	2	0.9471	0.000
788	1026	2	0.9839	-0.001
433	580	2	0.9634	-0.000
777	1032	2	0.9996	-0.000
783	1035	2	0.9841	0.000
488	698	2	0.9339	0.000
580	1035	2	0.9767	0.000
1026	1612	2	0.959	0.000
697	810	2	0.9757	0.000
702	1026	2	0.9874	-0.001
791	1016	2	0.9291	82.080
668	791	2	0.9339	-82.079
580	668	2	0.9302	-28.029
668	820	2	0.9805	0.000
488	783	2	0.9862	0.000
658	820	2	0.9247	26.018
364	433	2	0.9759	0.001
504	1016	2	0.966	0.001
777	810	2	0.9071	26.015
364	820	2	0.9312	-28.028
698	791	2	0.9209	-110.108
582	788	2	0.9595	0.000
1016	1612	2	0.9444	2.012
433	698	2	0.9378	0.000
820	1612	2	0.928	2.013
504	668	2	0.9673	0.000
702	788	2	0.971	-0.000
450	820	2	0.9529	0.002
496	783	2	0.9105	26.015
450	994	2	0.9496	-26.016
994	1016	2	0.936	26.018
364	783	2	0.976	0.001
496	702	2	0.9687	0.001
450	1612	2	0.9397	2.015
668	994	2	0.9376	-26.017
582	1612	2	0.9656	-0.000
364	668	2	0.9379	-28.028
364	580	2	0.9893	0.001
702	1612	2	0.951	-0.001
810	1032	2	0.9042	-26.016
364	488	2	0.9724	0.001
706	791	2	0.9366	-2.014
488	580	2	0.959	-0.000
450	777	2	0.9312	-80.062
820	1016	2	0.9795	0.001
496	788	2	0.9746	0.000
364	1035	2	0.9902	0.001
791	1032	2	0.9297	2.014
450	1016	2	0.9646	0.003
580	783	2	0.9643	0.000
580	1016	2	0.9279	-28.028
697	698	2	0.914	82.078
776	994	2	0.9694	-0.001
504	698	2	0.9247	28.029
706	1032	2	0.9994	0.000
820	994	2	0.9358	-26.018
810	1031	2	0.9625	-0.000
488	1035	2	0.9798	0.000
697	1032	2	0.8981	-26.016
496	1612	2	0.9658	-0.001
364	698	2	0.9565	0.001
817	841	3	0.8887	0.992
792	825	3	0.7937	13.965
708	767	3	0.9713	-0.021
780	1092	3	0.8811	-0.001
825	841	3	0.8075	-11.971
721	825	3	0.8633	13.987
700	825	3	0.9803	0.001
767	817	3	0.892	0.020
708	817	3	0.9068	-0.001
812	825	3	0.8398	-27.020
817	840	3	0.8365	1.996
712	812	3	0.8551	0.001
700	812	3	0.8231	27.021
821	840	3	0.9155	0.036
767	841	3	0.8497	1.012
792	841	3	0.8208	1.994
840	1092	3	0.8861	-0.193
700	817	3	0.7834	-12.962
821	1092	3	0.7521	-0.157
767	840	3	0.8718	2.016
700	792	3	0.7695	-13.964
700	841	3	0.7832	-11.970
792	817	3	0.899	1.002
817	825	3	0.8067	12.963
576	1240	4	0.8768	-84.073
617	674	4	0.9627	0.000
967	1201	4	0.8236	50.029
636	1201	4	0.8731	-27.055
197	617	4	0.8206	0.000
667	967	4	0.7517	-2.015
898	1202	4	0.7034	18.011
1201	1209	4	0.8996	-16.023
1140	1202	4	0.7712	2.016
620	624	4	0.9129	-18.010
1240	1308	4	0.9307	-35.037
973	998	4	0.7924	-18.011
1237	1308	4	0.8377	-18.010
587	617	4	0.8115	37.057
998	1140	4	0.7695	-15.995
644	1136	4	0.9013	87.053
577	587	4	0.7993	74.037
587	674	4	0.7786	37.057
558	644	4	0.8342	-135.126
1136	1240	4	0.9237	-36.022
755	1071	4	0.7836	-2.016
882	1262	4	0.793	-80.003
545	577	4	0.8309	-74.037
644	1094	4	0.9592	67.027
1094	1308	4	0.9432	-51.032
197	624	4	0.7741	2.016
617	676	4	0.7407	2.016
918	970	4	0.9105	-4.032
722	1123	4	0.8692	0.964
512	1109	4	0.8647	-56.063
1267	1268	4	0.806	18.010
318	1296	4	0.7084	-101.120
973	1065	4	0.7714	-50.000
272	549	4	0.7213	-15.047
644	1185	4	0.8375	51.032
918	1185	4	0.8512	-4.032
1014	1071	4	0.908	-0.039
967	1138	4	0.7877	48.013
197	674	4	0.8679	0.000
667	722	4	0.8489	47.001
970	1308	4	0.8411	-35.036
318	577	4	0.8116	-74.037
1237	1241	4	0.9438	16.023
854	1296	4	0.7597	-56.063
1136	1241	4	0.8416	-37.025
1201	1240	4	0.8881	-1.013
624	628	4	0.7377	35.037
1241	1262	4	0.8558	-18.963
1094	1136	4	0.8836	20.026
558	576	4	0.9659	-0.021
549	617	4	0.7017	126.141
318	1157	4	0.7058	-160.126
636	1209	4	0.7785	-43.079
918	1237	4	0.9106	-21.058
674	676	4	0.793	2.016
1123	1138	4	0.7904	-1.966
1094	1185	4	0.8742	-15.995
624	674	4	0.8128	-2.016
272	577	4	0.8341	-0.000
722	970	4	0.8683	-0.000
546	577	4	0.7044	18.011
973	1262	4	0.8027	-53.972
973	1157	4	0.8637	-18.011
918	1241	4	0.8618	-5.035
1136	1267	4	0.8955	-34.006
628	676	4	0.7609	-35.037
722	1237	4	0.8701	-17.027
549	913	4	0.8154	18.010
512	1296	4	0.8684	-84.094
536	587	4	0.7799	13.979
576	1094	4	0.8776	-68.078
973	1071	4	0.7962	-31.990
1140	1267	4	0.8014	2.016
636	1267	4	0.7876	-26.052
547	577	4	0.8568	0.000
620	676	4	0.917	-18.010
318	587	4	0.7886	-0.000
722	1094	4	0.9587	15.995
577	913	4	0.7601	2.963
1201	1267	4	0.8625	1.003
318	677	4	0.7511	21.062
998	1268	4	0.7296	4.031
1201	1308	4	0.8404	-36.050
973	1136	4	0.8598	2.016
636	644	4	0.8342	-79.100
1094	1241	4	0.9104	-16.998
674	882	4	0.8121	-153.140
644	722	4	0.9282	51.032
617	913	4	0.9212	-108.130
1094	1240	4	0.9391	-15.995
871	898	4	0.8061	17.026
1065	1089	4	0.7803	-17.027
628	664	4	0.7369	-18.010
536	617	4	0.7142	51.036
644	1201	4	0.8519	52.045
1109	1296	4	0.8118	-28.031
970	1241	4	0.9424	-1.003
667	1209	4	0.7561	31.990
998	1132	4	0.76	2.016
898	1065	4	0.8049	0.000
1065	1071	4	0.8211	18.011
272	318	4	0.7954	74.036
318	512	4	0.7551	-17.027
587	913	4	0.8913	-71.073
970	1237	4	0.9966	-17.026
624	676	4	0.9797	0.000
272	913	4	0.7488	2.963
1136	1209	4	0.8606	-51.032
722	1262	4	0.8351	-19.966
536	913	4	0.7553	-57.094
624	664	4	0.9306	17.027
558	1240	4	0.863	-84.094
1262	1308	4	0.8916	-15.071
1132	1268	4	0.7125	2.016
272	545	4	0.7833	74.036
545	587	4	0.8017	0.000
967	1241	4	0.8289	48.013
722	1185	4	0.847	0.000
1071	1140	4	0.7252	-2.016
1132	1140	4	0.7145	-18.011
1065	1140	4	0.8144	15.995
617	882	4	0.8113	-153.140
576	1308	4	0.8864	-119.110
1094	1201	4	0.891	-14.982
898	1014	4	0.8223	18.050
1014	1065	4	0.7335	-18.049
1136	1201	4	0.9358	-35.009
577	677	4	0.7552	95.099
1240	1267	4	0.834	2.016
882	913	4	0.8115	45.010
967	1209	4	0.7593	34.005
644	1241	4	0.8529	50.029
620	628	4	0.7771	17.027
512	549	4	0.7133	-72.057
318	998	4	0.7197	-160.125
970	1262	4	0.8383	-19.966
576	644	4	0.8504	-135.105
1185	1267	4	0.8009	2.016
722	1240	4	0.8997	0.000
644	1308	4	0.9026	15.995
898	1071	4	0.7463	18.011
1240	1241	4	0.855	-1.003
722	1308	4	0.9094	-35.037
197	676	4	0.7682	2.016
272	587	4	0.839	74.036
1094	1262	4	0.882	-35.961
636	667	4	0.8542	-75.069
674	913	4	0.8843	-108.130
636	1136	4	0.8474	7.954
998	1157	4	0.7713	-0.001
318	545	4	0.8677	-0.000
1241	1308	4	0.8653	-34.034
664	676	4	0.9127	-17.027
1237	1262	4	0.8272	-2.939
1132	1202	4	0.7942	-15.995
617	624	4	0.7569	2.016
644	1240	4	0.9622	51.032
620	664	4	0.9408	-0.984
88	90	5	0.9726	-1.003
502	507	6	0.9902	80.065
686	811	6	0.9817	-56.061
507	809	6	0.9939	-0.002
502	686	6	0.9816	54.047
507	811	6	0.9906	-82.078
673	808	6	0.9797	-54.045
502	816	6	0.9711	54.047
673	811	6	0.988	-82.076
694	816	6	0.9863	28.030
423	809	6	0.983	54.046
808	816	6	0.987	28.029
507	694	6	0.9844	-54.048
686	1018	6	0.9902	-0.000
811	816	6	0.9711	56.061
808	1018	6	0.9961	28.030
507	686	6	0.977	-26.018
507	816	6	0.9685	-26.018
686	808	6	0.9933	-28.030
507	808	6	0.9822	-54.047
502	811	6	0.9998	-2.013
423	811	6	0.9935	-28.030
809	811	6	0.9894	-82.077
808	809	6	0.9811	54.045
673	1015	6	0.9806	0.004
423	507	6	0.984	54.048
502	808	6	0.9913	26.018
673	816	6	0.9674	-26.016
502	673	6	0.9878	80.063
686	816	6	0.9948	-0.000
423	808	6	0.9997	0.001
507	673	6	0.9946	-0.002
686	694	6	0.9929	-28.030
423	816	6	0.9856	28.031
816	1018	6	0.9832	0.000
694	808	6	0.9995	0.000
423	686	6	0.9927	28.031
423	1018	6	0.9955	28.031
809	816	6	0.9665	-26.016
694	811	6	0.9924	-28.031
673	809	6	0.9955	0.000
423	502	6	0.9934	-26.017
694	809	6	0.983	54.046
673	694	6	0.9816	-54.046
808	811	6	0.9912	-28.031
502	694	6	0.992	26.017
809	1015	6	0.9834	0.004
502	809	6	0.9892	80.063
423	673	6	0.9816	54.046
673	686	6	0.9758	-26.016
694	1018	6	0.9949	28.030
686	809	6	0.9769	26.016
423	694	6	0.9994	0.001
317	476	7	0.8925	-170.204
216	1618	7	0.9114	-182.167
317	1020	7	0.9036	-222.234
253	1611	7	0.9112	-236.214
476	1634	7	0.9336	-54.044
933	1616	7	0.8904	26.016
775	1020	7	0.8752	-0.000
476	657	7	0.9333	-26.014
750	790	7	0.9397	28.031
794	822	7	0.923	-1.004
216	235	7	0.8246	0.000
695	750	7	0.9058	-84.093
253	1618	7	0.9322	-154.136
270	657	7	0.9222	-238.229
750	1611	7	0.9487	-26.017
476	1611	7	0.931	2.017
690	1009	7	0.9659	0.001
260	334	7	0.9449	-28.031
933	1618	7	0.9415	82.078
695	1618	7	0.9353	-28.031
317	657	7	0.9147	-196.218
476	1618	7	0.904	84.095
933	1634	7	0.9474	-56.061
253	750	7	0.9119	-210.197
436	1633	7	0.8092	0.000
253	476	7	0.9002	-238.230
216	695	7	0.8612	-154.135
790	1618	7	0.948	28.030
690	797	7	0.975	0.000
286	334	7	0.8926	-2.016
260	286	7	0.9274	-26.016
695	790	7	0.8924	-56.062
797	1633	7	0.9332	54.047
270	1020	7	0.9176	-264.244
690	1624	7	0.7104	28.067
270	1617	7	0.9082	-264.245
253	790	7	0.9426	-182.166
476	933	7	0.8838	2.017
797	1009	7	0.9463	0.001
654	775	7	0.8806	0.000
1020	1617	7	0.9762	-0.001
657	1617	7	0.9345	-26.016
657	1634	7	0.9429	-28.030
253	695	7	0.8901	-126.104
270	317	7	0.9546	-42.011
200	695	7	0.863	-182.167
200	235	7	0.8117	-28.031
1611	1617	7	0.9129	-54.047
200	253	7	0.9755	-56.063
933	1020	7	0.8938	-54.046
657	933	7	0.9497	28.031
1020	1634	7	0.9131	-2.015
476	695	7	0.8743	112.126
200	790	7	0.9494	-238.229
200	260	7	0.7903	-56.063
270	1634	7	0.9494	-266.259
476	750	7	0.9216	28.033
690	1633	7	0.9423	54.047
200	216	7	0.9666	-28.031
317	933	7	0.9143	-168.188
657	1611	7	0.9392	28.031
750	933	7	0.9662	-26.017
216	253	7	0.9822	-28.031
1611	1618	7	0.9288	82.078
1009	1633	7	0.9024	54.046
253	270	7	0.9452	-26.016
205	334	7	0.9551	-84.094
216	260	7	0.8039	-28.031
235	334	7	0.9616	-56.063
846	847	7	0.9316	1.003
933	1611	7	0.9482	-0.000
657	847	7	0.9054	0.036
270	933	7	0.926	-210.198
270	476	7	0.8827	-212.215
365	436	7	0.9009	-0.000
200	1618	7	0.9156	-210.198
270	1611	7	0.9489	-210.198
750	1616	7	0.9072	-0.001
1618	1634	7	0.9148	-138.139
317	1634	7	0.9303	-224.249
365	1633	7	0.8756	0.000
775	1617	7	0.9195	-0.001
846	1624	7	0.912	1.003
317	1617	7	0.8793	-222.234
436	437	7	0.8622	-26.016
657	1020	7	0.9516	-26.016
1617	1634	7	0.917	-2.014
1611	1634	7	0.9867	-56.061
657	750	7	0.9303	54.047
822	846	7	0.7165	0.037
235	260	7	0.9789	-28.031
847	1624	7	0.9492	-0.000
235	286	7	0.9004	-54.047
797	1624	7	0.7037	28.067
750	1618	7	0.9662	56.061
205	260	7	0.9345	-56.062
750	1634	7	0.9338	-82.078
317	1611	7	0.9277	-168.188
205	235	7	0.9575	-28.031
608	633	8	0.9249	-0.037
1441	1442	9	0.8155	18.011
1442	1535	9	0.7052	-46.042
