CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
16	36	1	0.7706	-166.057
140	165	2	0.941	-54.047
165	518	2	0.7686	-266.260
292	316	2	0.8641	82.078
292	350	2	0.8487	56.063
140	200	2	0.9662	-56.063
279	518	2	0.889	-27.027
266	518	2	0.8233	-27.027
207	266	2	0.968	0.617
125	165	2	0.9393	-82.079
267	518	2	0.913	-28.030
140	158	2	0.9749	-28.031
184	518	2	0.8677	-224.249
125	513	2	0.7956	-210.199
159	165	2	0.824	0.000
125	200	2	0.9497	-84.094
184	350	2	0.7659	-140.157
267	350	2	0.8403	56.063
350	513	2	0.9096	54.047
292	518	2	0.9072	-28.030
184	292	2	0.9281	-196.219
125	140	2	0.9866	-28.031
165	200	2	0.8985	-2.016
166	518	2	0.7698	-264.255
158	200	2	0.9386	-28.031
165	292	2	0.7835	-238.230
267	316	2	0.8618	82.078
125	316	2	0.733	-238.230
316	350	2	0.835	-26.016
350	518	2	0.809	-84.092
125	350	2	0.7859	-264.246
266	279	2	0.9397	0.000
267	292	2	0.9931	0.000
231	518	2	0.7126	-26.409
165	267	2	0.7797	-238.230
158	165	2	0.9185	-26.016
207	231	2	0.9889	0.000
184	267	2	0.9229	-196.219
279	292	2	0.8078	1.003
125	158	2	0.9595	-56.063
231	266	2	0.9836	0.617
267	279	2	0.7953	-1.003
316	513	2	0.8737	28.031
231	279	2	0.9264	0.617
5	507	3	0.9099	67.988
5	10	3	0.9177	67.987
7	10	3	0.9446	-67.988
8	10	3	0.9261	-135.975
5	7	3	0.9426	135.975
7	8	3	0.9637	67.988
10	507	3	0.97	0.000
35	37	4	0.7339	46.005
26	37	4	0.7011	35.977
26	35	4	0.8632	-10.029
32	33	5	0.8619	-1.003
331	370	6	0.9773	-2.016
307	370	6	0.9614	-28.031
307	331	6	0.9357	-26.016
137	531	7	0.9148	-0.000
21	22	8	0.8623	-46.006
128	168	9	0.9738	-82.079
128	274	9	0.914	-210.199
326	349	10	0.9079	15.995
