row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_CC-Media_1_Run17.mzML Peak area,2024_POS_CC-Media_2_Run53.mzML Peak area,2024_POS_CC-Media_3_Run73.mzML Peak area,2024_POS_CC_2_Run47.mzML Peak area,2024_POS_CC_1_Run20.mzML Peak area,2024_POS_CC_3_Run61.mzML Peak area,
1598,81.52053424769359,10.611551,,,,87,,,,,,,2208239.0,2342641.8,2659315.2,2028844.4,2534294.0,2224533.0,
113,84.95964885161045,0.49363628,,,,,,,,,,,33624.957,110903.164,61326.234,281164.28,108805.57,435551.97,
17,84.95965957406354,0.31323516,,,,,,,,,,,160591.03,143719.1,147167.03,187350.22,182949.22,779268.9,
138,84.95966092778527,1.8079082,,,,,,,,,,,371829.88,369632.3,378845.94,347893.44,299511.2,1564249.0,
1595,89.50667283424832,10.470993,,,,27,,,,,,,2956726.8,3028262.0,3632271.5,2566711.5,2768322.5,1996289.6,
18,90.97658184990617,0.3396124,,,,52,,,,,,,929219.75,1008030.4,975332.56,909289.4,963911.3,929266.7,
1480,90.9765826597184,9.983482,,,,,,,,,,,1867325.1,491618.84,368379.84,48298.55,95174.78,64951.867,
1447,90.97658460219886,9.834015,,,,,,,,,,,187307.98,119241.51,22272.205,50901.062,260318.27,123400.414,
1544,90.97658601661173,10.26615,,,,22,,,,,,,1396548.1,1126088.5,1122061.5,919034.94,1035105.94,919833.3,
127,92.1101703014898,0.76792413,,,,106,,,,,,,5589798.5,5390094.5,5383352.5,5578113.5,5518262.5,5754668.0,
44,94.06198271322961,0.3679261,,,,89,,,,,,,1592044.9,1558183.1,1464071.4,1684748.9,1655741.9,1706430.4,
140,99.51213881275402,2.0933785,,,,,,,,,,,596759.8,194192.6,280972.9,646871.1,282870.84,642649.8,
1590,99.51215301918893,10.444534,,,,27,,,,,,,1323976.5,1361505.4,1390576.0,1397011.0,1407986.9,1608329.6,
1540,101.07086698767803,10.204602,,,,,,,,,,,729374.2,646222.75,591176.7,396788.25,413558.44,384548.44,
1124,101.07086763403542,8.553527,,,,,,,,,,,3253387.0,751332.25,691699.06,333558.2,534481.75,690558.4,
1144,107.96673934226176,8.573383,,,,,,,,,,,6748531.0,360781.6,348111.3,116382.07,353960.34,186421.22,
888,110.0199451421945,8.084451,,,,,,,,,,,136683.92,7596909.5,8145265.0,717018.56,137619.05,693335.94,
1591,110.01997122016007,10.454945,,,,27,,,,,,,5999801.5,6165947.5,7132851.5,6457269.5,6141881.5,5659223.5,
1202,111.02014878677123,8.697959,,,,99,,,,,,,2184403.2,2396026.2,2611975.2,1661419.1,1628678.4,1792584.0,
1587,111.02016490142806,10.438386,,,,27,,,,,,,7878334.0,7428258.5,7857283.0,7586304.0,7819432.0,7762751.0,
1588,112.01786480395265,10.438386,,,,27,,,,,,,3049156.8,2842340.5,3077777.8,2913388.0,3002277.2,2995647.8,
1196,112.01786955327408,8.695321,,,,99,,,,,,,817898.25,879396.7,975525.06,624210.9,586359.44,707870.25,
1594,113.96360958460427,10.462865,,,,,,,,,,,274009.4,444594.84,71599.17,191511.19,623346.25,634657.06,
3,113.9636360687478,0.030299127,,,,,,,,,,,407962.34,386826.72,378062.78,374389.25,606591.4,443886.28,
46,115.04790021694579,0.3687396,,,,89,,,,,,,8790313.0,1.2950643E7,1.2922479E7,8723398.0,8876638.0,8189501.0,
45,117.04828322209376,0.3679261,,,,89,,,,,,,798773.44,741235.4,716279.25,800857.7,1238968.9,741968.9,
