ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	636683.8433333334	602803.8	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"333.0","main.cluster index_upperinput":"333.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7059	0.7059	0	N/A	N/A	3718462.93	6	333	-1	 	6	-86.0403	-1	88.0403	3718462.93
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	139280.68733333334	437067.39999999997	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"534.0","main.cluster index_upperinput":"534.0"}	This Node is a Singleton	N/A	N/A	N/A	 	1.0030	1.0030	0	N/A	N/A	1729044.262	6	534	-1	 	6	-86.0403	-1	88.0403	1729044.262
EXP,CTRL	 	 	186.0	0.0	0.0	0.0	0.0	0.0	0.0	5881871.166666667	10928054.666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"100.0","main.cluster index_upperinput":"100.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4148	0.4148	0	N/A	N/A	50429777.5	6	100	-1	 	6	-86.0403	-1	88.0403	50429777.5
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4945365.166666667	11442816.666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"200.0","main.cluster index_upperinput":"200.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5470	0.5470	0	N/A	N/A	49164545.5	6	200	-1	 	6	-87.0243	-1	89.0243	49164545.5
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1491829.8333333335	1270789.7	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"357.0","main.cluster index_upperinput":"357.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7457	0.7457	0	N/A	N/A	8287858.6	6	357	-1	 	6	-87.0243	-1	89.0243	8287858.6
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	343297.79833333334	1315537.6466666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"566.0","main.cluster index_upperinput":"566.0"}	This Node is a Singleton	N/A	N/A	N/A	 	1.0893	1.0893	0	N/A	N/A	4976506.334999999	6	566	-1	 	6	-87.0243	-1	89.0243	4976506.334999999
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	550666.0033333334	1903215.0333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"439.0","main.cluster index_upperinput":"439.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.9097	0.9097	0	N/A	N/A	7361643.11	6	439	-1	 	6	-87.0243	-1	89.0243	7361643.11
EXP,CTRL	 	 	55.0	0.0	0.0	0.0	0.0	0.0	0.0	482742.8933333333	2858164.9	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"667.0","main.cluster index_upperinput":"667.0"}	This Node is a Singleton	N/A	N/A	N/A	 	1.2025	1.2025	0	N/A	N/A	10022723.38	6	667	-1	 	6	-87.0243	-1	89.0243	10022723.38
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	560234.0166666666	1463956.1	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"516.0","main.cluster index_upperinput":"516.0"}	This Node is a Singleton	N/A	N/A	N/A	 	1.0018	1.0018	0	N/A	N/A	6072570.35	6	516	-1	 	6	-87.0243	-1	89.0243	6072570.35
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	394092.22	941526.3866666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=5a8528f496914669949b6e4c185e228f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"715.0","main.cluster index_upperinput":"715.0"}	This Node is a Singleton	N/A	N/A	N/A	 	1.2561	1.2561	0	N/A	N/A	4006855.8200000003	6	715	-1	 	6	-87.0243	-1	89.0243	4006855.8200000003
