ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	185183.67433333333	618611.64	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"527.0","main.cluster index_upperinput":"527.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.8829	0.8829	0	N/A	N/A	2411385.9430000004	6	527	-1	 	6	-86.0403	-1	88.0403	2411385.9430000004
EXP,CTRL	 	 	72.0	0.0	0.0	0.0	0.0	0.0	0.0	5881871.166666667	12846842.666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"97.0","main.cluster index_upperinput":"97.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4098	0.4098	0	N/A	N/A	56186141.5	6	97	-1	 	6	-86.0403	-1	88.0403	56186141.5
EXP,CTRL	 	 	22.0	0.0	0.0	0.0	0.0	0.0	0.0	636683.8433333334	1589490.3599999999	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"403.0","main.cluster index_upperinput":"403.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7209	0.7209	0	N/A	N/A	6678522.61	6	403	-1	 	6	-86.0403	-1	88.0403	6678522.61
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1491829.8333333335	9643732.166666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"414.0","main.cluster index_upperinput":"414.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7294	0.7294	0	N/A	N/A	33406686.0	6	414	-1	 	6	-87.0243	-1	89.0243	33406686.0
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4945365.166666667	113000873.33333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"232.0","main.cluster index_upperinput":"232.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5393	0.5393	0	N/A	N/A	353838715.5	6	232	-1	 	6	-87.0243	-1	89.0243	353838715.5
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	505327.48666666663	23295526.833333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"600.0","main.cluster index_upperinput":"600.0"}	This Node is a Singleton	N/A	N/A	N/A	 	1.0390	1.0390	0	N/A	N/A	71402562.96000001	6	600	-1	 	6	-87.0243	-1	89.0243	71402562.96000001
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	489112.11333333334	4450510.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"725.0","main.cluster index_upperinput":"725.0"}	This Node is a Singleton	N/A	N/A	N/A	 	1.1755	1.1755	0	N/A	N/A	14818867.84	6	725	-1	 	6	-87.0243	-1	89.0243	14818867.84
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	516921.0933333333	11939538.666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"486.0","main.cluster index_upperinput":"486.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.8778	0.8778	0	N/A	N/A	37369379.28	6	486	-1	 	6	-87.0243	-1	89.0243	37369379.28
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	508870.86	12259384.833333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"565.0","main.cluster index_upperinput":"565.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.9900	0.9900	0	N/A	N/A	38304767.080000006	6	565	-1	 	6	-87.0243	-1	89.0243	38304767.080000006
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	494507.5293333333	10401147.166666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=3d46895bfa5946a597480e2f2744742c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"807.0","main.cluster index_upperinput":"807.0"}	This Node is a Singleton	N/A	N/A	N/A	 	1.3779	1.3779	0	N/A	N/A	32686964.088	6	807	-1	 	6	-87.0243	-1	89.0243	32686964.088
