row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_S4_MC_RCG_2_neg_20210511_Run91.mzML Peak area,GF_S4_MC_RCG_3_neg_20210511_Run171.mzML Peak area,GF_S4_MC_RCG_1_neg_20210511_Run71.mzML Peak area,Unnamed: 19
527,88.04030048729953,0.88291746,,,,,,,,,,,24856.972999999998,64370.58,466323.47,667131.3,998725.56,189978.06,
97,88.0403025017322,0.40980730000000004,,,,72.0,,,,,,,3977435.0,4953679.5,8714499.0,9412553.0,14042512.0,15085463.0,
403,88.040305647944,0.72090816,,,,22.0,,,,,,,469404.0,273677.53,1166970.0,327005.28,734515.0,3706950.8,
414,89.02429895330485,0.7293675000000001,,,,,,,,,,,804394.7,776300.6,2894794.2,15510724.0,5470242.5,7950230.0,
232,89.0243072396854,0.5393465999999999,,,,,,,,,,,4741892.5,4514756.5,5579446.5,106881330.0,130577390.0,101543900.0,
600,89.02430850150726,1.0390469,,,,,,,,,,,640288.4,280206.62,595487.44,11113630.0,3248954.5,55523996.0,
725,89.02431562172852,1.1755269,,,,,,,,,,,366030.3,257792.14,843513.9,1766275.5,8280715.5,3304540.5,
486,89.02431719924923,0.8778466999999999,,,,,,,,,,,583121.75,683067.56,284573.97,18914784.0,9090506.0,7813326.0,
565,89.0243198389648,0.9900101,,,,,,,,,,,965849.4,119365.21,441397.97,15222622.0,8214664.5,13340868.0,
807,89.02432207048876,1.37788,,,,,,,,,,,50599.687999999995,922179.6,510743.3,12561311.0,6049001.5,12593129.0,
40,89.02432364761644,0.40905204,,,,,,,,,,,3708077.2,4890979.5,3028859.0,24365916.0,28050142.0,32425614.0,
582,90.0276241334536,1.0097146000000001,,,,,,,,,,,0.0,0.0,3201.8959999999997,523660.34,107509.2,1774019.5,
