ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
CTRL,EXP	 	 	51.0	0.0	0.0	0.0	0.0	0.0	0.0	20252726.0	18173715.333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9177","main.cluster index_upperinput":"9177"}	This Node is a Singleton	N/A	N/A	N/A	 	10.5961	10.5961	0	N/A	N/A	115279324.0	6	9177	-1	 	6	162.0410	2	81.5205	115279324.0
CTRL,EXP	 	 	268.0	0.0	0.0	0.0	0.0	0.0	0.0	1015242.7333333333	914165.6	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9159","main.cluster index_upperinput":"9159"}	This Node is a Singleton	N/A	N/A	N/A	 	10.5251	10.5251	0	N/A	N/A	5788225.0	6	9159	-1	 	6	82.5370	1	82.5370	5788225.0
CTRL,EXP	 	 	130.0	0.0	0.0	0.0	0.0	0.0	0.0	919744.4066666666	51090.937666666665	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"608","main.cluster index_upperinput":"608"}	This Node is a Singleton	N/A	N/A	N/A	 	0.6415	0.6415	0	N/A	N/A	2912506.033	6	608	-1	 	6	84.0444	1	84.0444	2912506.033
CTRL,EXP	 	 	214.0	0.0	0.0	0.0	0.0	0.0	0.0	1159552.2733333334	8198227.833333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2074","main.cluster index_upperinput":"2074"}	This Node is a Singleton	N/A	N/A	N/A	 	1.5701	1.5701	0	N/A	N/A	28073340.32	6	2074	-1	 	6	84.0444	1	84.0444	28073340.32
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4283606.73	7477249.166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"648","main.cluster index_upperinput":"648"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5981	0.5981	0	N/A	N/A	35282567.69	6	648	-1	 	6	84.0808	1	84.0808	35282567.69
CTRL,EXP	 	 	173.0	0.0	0.0	0.0	0.0	0.0	0.0	11436470.666666666	25695216.666666668	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"324","main.cluster index_upperinput":"324"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4845	0.4845	0	N/A	N/A	111395062.0	6	324	-1	 	6	84.0808	1	84.0808	111395062.0
CTRL,EXP	 	 	51.0	0.0	0.0	0.0	0.0	0.0	0.0	2235647.5	1929177.9666666668	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9182","main.cluster index_upperinput":"9182"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6060	10.6060	0	N/A	N/A	12494476.4	6	9182	-1	 	6	84.9597	1	84.9597	12494476.4
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1344762.9433333334	1214746.1333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16","main.cluster index_upperinput":"16"}	This Node is a Singleton	N/A	N/A	N/A	 	0.1977	0.1977	0	N/A	N/A	7678527.23	6	16	-1	 	6	84.9597	1	84.9597	7678527.23
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	574495.0	1148771.23	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2","main.cluster index_upperinput":"2"}	This Node is a Singleton	N/A	N/A	N/A	 	0.0517	0.0517	0	N/A	N/A	5169798.6899999995	6	2	-1	 	6	84.9597	1	84.9597	5169798.6899999995
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	27576763.666666668	17272626.333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=35320a5e807b45af8e6982b6e94cb13c&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"879","main.cluster index_upperinput":"879"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7669	0.7669	0	N/A	N/A	134548170.0	6	879	-1	 	6	86.0600	1	86.0600	134548170.0
