CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
7143	7258	1	0.8686	-99.068
6445	6764	1	0.9468	-99.068
6445	7143	1	0.9098	-26.016
6572	6899	3	0.9444	-14.016
7329	7424	3	0.9475	-28.031
7092	8382	3	0.9279	-154.172
7071	7092	3	0.9509	33.984
7424	8382	3	0.9644	-112.125
7306	8443	3	0.8908	-54.120
7071	7106	3	0.9096	19.969
6572	7136	3	0.9306	-33.984
6860	7329	3	0.9557	-14.015
6899	7106	3	0.9803	0.000
6572	7329	3	0.9185	-14.015
6899	7092	3	0.9488	14.016
6899	7424	3	0.9311	-28.031
8382	8443	3	0.9303	-14.016
7136	7329	3	0.9398	19.969
6860	6899	3	0.964	-14.016
6572	7106	3	0.9462	-14.015
6860	8382	3	0.9279	-154.172
7760	8321	3	0.9201	-70.078
7106	7760	3	0.9312	-56.062
6860	7106	3	0.9765	-14.015
7106	7424	3	0.9321	-28.031
6899	7136	3	0.9485	-19.969
7092	7329	3	0.9704	-14.016
7329	8382	3	0.9152	-140.157
6860	7760	3	0.9404	-70.078
7071	7136	3	0.9783	0.000
7329	7760	3	0.9273	-56.062
7106	8382	3	0.9207	-140.157
6572	7071	3	0.9054	-33.984
6899	7329	3	0.9455	0.000
7424	7760	3	0.9973	-28.031
7136	7760	3	0.9389	-36.094
7760	8443	3	0.9321	-98.110
7092	7106	3	0.9648	-14.016
7071	7329	3	0.9383	19.969
6899	7760	3	0.9407	-56.062
7106	7136	3	0.9422	-19.969
6860	7136	3	0.9498	-33.984
7092	7136	3	0.9563	-33.984
6860	7092	3	0.9754	0.000
6899	8382	3	0.931	-140.156
6860	7424	3	0.9429	-42.047
8321	8382	3	0.922	-14.016
7071	7424	3	0.9568	-8.063
6572	7092	3	0.955	0.000
6879	7306	3	0.9219	-14.016
7136	7424	3	0.963	-8.063
5220	6899	3	0.9186	-42.047
7092	7424	3	0.9657	-42.047
7092	7760	3	0.9394	-70.078
6860	7071	3	0.929	-33.984
7760	8382	3	0.9965	-84.094
6572	6860	3	0.9722	0.000
7136	8382	3	0.9291	-120.188
4828	5220	3	0.9785	0.000
7106	7329	3	0.9697	0.000
7306	7424	3	0.9239	72.021
7525	7738	4	0.9836	0.000
6594	6706	4	0.7257	1.979
5832	5848	4	0.7705	1.003
7021	7738	4	0.8989	-42.046
6510	7021	4	0.8323	-26.016
