ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
CTRL,EXP	 	 	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1583526.2833333334	1196175.4	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"85","main.cluster index_upperinput":"85"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5559	0.5559	0	N/A	N/A	8339105.05	6	85	-1	 	6	-83.0294	-1	85.0294	8339105.05
CTRL,EXP	1.0	[M+H]+	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1115066.0666666667	873848.4166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"33","main.cluster index_upperinput":"33"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3871	0.3871	0	N/A	N/A	5966743.449999999	6	33	-1	84.02158	6	-83.0294	-1	85.0294	5966743.449999999
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	287677.6066666667	221480.90166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"173","main.cluster index_upperinput":"173"}	This Node is a Singleton	N/A	N/A	N/A	 	3.1326	3.1326	0	N/A	N/A	1527475.525	6	173	-1	 	6	-83.0659	-1	85.0659	1527475.525
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	989464.3633333333	806459.9833333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36","main.cluster index_upperinput":"36"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3889	0.3889	0	N/A	N/A	5387773.039999999	6	36	-1	 	6	-85.0086	-1	87.0086	5387773.039999999
CTRL,EXP	 	 	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1479251.2333333334	1147858.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"78","main.cluster index_upperinput":"78"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5374	0.5374	0	N/A	N/A	7881329.2	6	78	-1	 	6	-85.0086	-1	87.0086	7881329.2
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2837157.966666667	4598192.366666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"513","main.cluster index_upperinput":"513"}	This Node is a Singleton	N/A	N/A	N/A	 	9.8243	9.8243	0	N/A	N/A	22306051.0	6	513	-1	 	6	-87.0244	-1	89.0244	22306051.0
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4614093.466666667	2990348.7333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"514","main.cluster index_upperinput":"514"}	This Node is a Singleton	N/A	N/A	N/A	 	9.9748	9.9748	0	N/A	N/A	22813326.599999998	6	514	-1	 	6	-87.0244	-1	89.0244	22813326.599999998
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1325283.3166666667	1355121.0333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"503","main.cluster index_upperinput":"503"}	This Node is a Singleton	N/A	N/A	N/A	 	8.9782	8.9782	0	N/A	N/A	8041213.050000001	6	503	-1	 	6	-87.0244	-1	89.0244	8041213.050000001
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	186007.1366666667	138531.00666666665	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3424	0.3424	0	N/A	N/A	973614.4299999999	6	7	-1	 	6	-90.9280	-1	92.9280	973614.4299999999
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	6952911.166666667	4603440.333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"563","main.cluster index_upperinput":"563"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6233	10.6233	0	N/A	N/A	34669054.5	6	563	-1	 	6	-94.9601	-1	96.9601	34669054.5
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	627232.0866666667	728915.5333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4","main.cluster index_upperinput":"4"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3234	0.3234	0	N/A	N/A	4068442.8600000003	6	4	-1	 	6	-94.9601	-1	96.9601	4068442.8600000003
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1691386.9	1828605.4	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5","main.cluster index_upperinput":"5"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3312	0.3312	0	N/A	N/A	10559976.9	6	5	-1	 	6	-94.9696	-1	96.9696	10559976.9
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	519442.33	1358250.1133333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"486","main.cluster index_upperinput":"486"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4338	8.4338	0	N/A	N/A	5633077.33	6	486	-1	 	6	-98.9337	-1	100.9337	5633077.33
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1340428.1466666667	925700.0066666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"500","main.cluster index_upperinput":"500"}	This Node is a Singleton	N/A	N/A	N/A	 	8.8289	8.8289	0	N/A	N/A	6798384.459999999	6	500	-1	 	6	-98.9337	-1	100.9337	6798384.459999999
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	341572.98333333334	778796.0166666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"489","main.cluster index_upperinput":"489"}	This Node is a Singleton	N/A	N/A	N/A	 	8.5366	8.5366	0	N/A	N/A	3361107.0	6	489	-1	 	6	-98.9337	-1	100.9337	3361107.0
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	710457.1900000001	894699.2466666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"459","main.cluster index_upperinput":"459"}	This Node is a Singleton	N/A	N/A	N/A	 	8.0685	8.0685	0	N/A	N/A	4815469.3100000005	6	459	-1	 	6	-98.9337	-1	100.9337	4815469.3100000005
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1708063.3333333333	640861.69	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"462","main.cluster index_upperinput":"462"}	This Node is a Singleton	N/A	N/A	N/A	 	8.1276	8.1276	0	N/A	N/A	7046775.07	6	462	-1	 	6	-98.9337	-1	100.9337	7046775.07
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	848083.9666666667	706923.3566666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"467","main.cluster index_upperinput":"467"}	This Node is a Singleton	N/A	N/A	N/A	 	8.2352	8.2352	0	N/A	N/A	4665021.970000001	6	467	-1	 	6	-98.9337	-1	100.9337	4665021.970000001
CTRL,EXP	 	 	55.0	0.0	0.0	0.0	0.0	0.0	0.0	702352.0666666667	1383832.1466666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"449","main.cluster index_upperinput":"449"}	This Node is a Singleton	N/A	N/A	N/A	 	7.9354	7.9354	0	N/A	N/A	6258552.640000001	6	449	-1	 	6	-98.9337	-1	100.9337	6258552.640000001
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	789679.1733333333	1167659.9333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"515","main.cluster index_upperinput":"515"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2177	10.2177	0	N/A	N/A	5872017.32	6	515	-1	 	6	-98.9337	-1	100.9337	5872017.32
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1376921.1333333333	1347627.1333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"469","main.cluster index_upperinput":"469"}	This Node is a Singleton	N/A	N/A	N/A	 	8.2725	8.2725	0	N/A	N/A	8173644.800000001	6	469	-1	 	6	-98.9337	-1	100.9337	8173644.800000001
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	958687.8133333332	683837.14	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"433","main.cluster index_upperinput":"433"}	This Node is a Singleton	N/A	N/A	N/A	 	7.8373	7.8373	0	N/A	N/A	4927574.86	6	433	-1	 	6	-98.9337	-1	100.9337	4927574.86
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	565694.35	379537.06	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"537","main.cluster index_upperinput":"537"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2746	10.2746	0	N/A	N/A	2835694.23	6	537	-1	 	6	-98.9337	-1	100.9337	2835694.23
CTRL,EXP	 	 	7.0	0.0	0.0	0.0	0.0	0.0	0.0	438497.51666666666	373238.05	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9","main.cluster index_upperinput":"9"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3443	0.3443	0	N/A	N/A	2435206.6999999997	6	9	-1	 	6	-100.9569	-1	102.9569	2435206.6999999997
CTRL,EXP	 	 	9.0	0.0	0.0	0.0	0.0	0.0	0.0	19988653.666666668	19533603.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"79","main.cluster index_upperinput":"79"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5330	0.5330	0	N/A	N/A	118566770.0	6	79	-1	 	6	-109.0088	-1	111.0088	118566770.0
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	9699831.166666666	8126378.833333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"37","main.cluster index_upperinput":"37"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3889	0.3889	0	N/A	N/A	53478630.0	6	37	-1	 	6	-109.0088	-1	111.0088	53478630.0
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	473524.06	455593.2233333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"34","main.cluster index_upperinput":"34"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3835	0.3835	0	N/A	N/A	2787351.8499999996	6	34	-1	 	6	-110.0122	-1	112.0122	2787351.8499999996
CTRL,EXP	0.0	[M-H+2Na]+	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1272188.8333333333	1197506.1666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"11","main.cluster index_upperinput":"11"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3499	0.3499	0	N/A	N/A	7409085.0	6	11	-1	68.01435	6	-110.9857	-1	112.9857	7409085.0
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	3162839.8	2737908.0666666664	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"534","main.cluster index_upperinput":"534"}	This Node is a Singleton	N/A	N/A	N/A	 	10.2820	10.2820	0	N/A	N/A	17702243.599999998	6	534	-1	 	6	-110.9857	-1	112.9857	17702243.599999998
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	56910.509666666665	44337.74533333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"176","main.cluster index_upperinput":"176"}	This Node is a Singleton	N/A	N/A	N/A	 	3.1325	3.1325	0	N/A	N/A	303744.765	6	176	-1	 	6	-111.0608	-1	113.0608	303744.765
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	461932.18666666665	375016.7733333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"153","main.cluster index_upperinput":"153"}	This Node is a Singleton	N/A	N/A	N/A	 	2.7997	2.7997	0	N/A	N/A	2510846.88	6	153	-1	 	6	-111.0609	-1	113.0609	2510846.88
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2490096.6666666665	3436980.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"484","main.cluster index_upperinput":"484"}	This Node is a Singleton	N/A	N/A	N/A	 	8.4599	8.4599	0	N/A	N/A	17781230.0	6	484	-1	 	6	-113.9207	-1	115.9207	17781230.0
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2380536.6666666665	1842540.7666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=44bbc1e2ce0f447291dce57a808abe94&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"501","main.cluster index_upperinput":"501"}	This Node is a Singleton	N/A	N/A	N/A	 	8.8210	8.8210	0	N/A	N/A	12669232.3	6	501	-1	 	6	-113.9208	-1	115.9208	12669232.3
