CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
854	976	1	0.9808	-12.001
851	986	1	0.9473	-82.077
977	1396	1	0.9697	-2.017
904	1380	1	0.9817	1.003
1383	1399	1	0.9623	-53.034
698	809	1	0.9231	-238.228
645	798	1	0.9654	-236.213
904	1399	1	0.9848	-28.032
976	1045	1	0.9875	-30.047
645	1385	1	0.9518	-266.260
1392	1402	1	0.9547	30.046
851	1385	1	0.9395	-82.078
687	1377	1	0.9051	-239.233
645	1402	1	0.9528	-264.245
944	1045	1	0.983	-56.062
687	987	1	0.9434	-239.234
809	953	1	0.8521	15.958
1050	1381	1	0.9696	3.019
798	1052	1	0.9541	-2.016
976	1380	1	0.9935	0.000
904	944	1	0.9727	27.019
687	698	1	0.9662	0.063
1380	1381	1	0.9859	-1.004
824	1381	1	0.9807	-53.035
905	1050	1	0.9716	-2.014
851	921	1	0.9506	-52.031
1049	1390	1	0.9905	-0.002
1045	1399	1	0.9705	1.012
977	1398	1	0.9192	-29.983
976	1381	1	0.984	-1.004
1049	1052	1	0.9397	1.002
904	1050	1	0.9658	-3.019
921	1386	1	0.9488	-2.016
698	756	1	0.9525	-210.198
944	976	1	0.9865	-26.016
798	1392	1	0.9634	-58.078
921	1392	1	0.9493	-58.078
798	1402	1	0.9559	-28.032
906	1404	1	0.9557	-0.949
854	1381	1	0.973	-13.004
1380	1399	1	0.9676	-29.035
809	869	1	0.9367	2.011
854	953	1	0.9185	-28.032
904	1045	1	0.9849	-29.043
1396	1398	1	0.9039	-27.966
798	1385	1	0.9545	-30.047
986	1402	1	0.9521	2.015
877	1392	1	0.9556	-84.093
824	904	1	0.9766	-53.034
921	1402	1	0.9389	-28.032
645	1386	1	0.9493	-238.229
791	921	1	0.9387	28.032
877	986	1	0.9544	-56.062
824	944	1	0.9807	-26.015
906	977	1	0.9633	1.004
1385	1386	1	0.9376	28.031
921	1052	1	0.95	-2.016
687	689	1	0.8631	1.003
645	877	1	0.9597	-210.198
877	1402	1	0.9486	-54.047
645	791	1	0.9524	-264.245
905	1404	1	0.9663	-1.952
824	1380	1	0.9866	-52.031
809	1398	1	0.9182	-0.001
877	1052	1	0.9472	-28.031
851	877	1	0.9481	-26.016
938	953	1	0.9648	-28.031
869	1390	1	0.9205	26.959
854	904	1	0.9687	-13.004
904	1381	1	0.9958	-0.000
851	1052	1	0.9513	-54.047
791	798	1	0.9551	28.032
791	851	1	0.9395	80.062
976	1383	1	0.9883	24.000
798	986	1	0.9615	-30.047
851	1386	1	0.9486	-54.047
987	1377	1	0.953	0.001
976	1399	1	0.9764	-29.035
1050	1404	1	0.9476	0.063
1045	1381	1	0.9868	29.043
688	1381	1	0.9639	-209.186
791	1402	1	0.9951	-0.000
977	1404	1	0.9678	-1.953
944	1380	1	0.9873	-26.016
1396	1404	1	0.9461	0.064
869	1385	1	0.9461	-0.069
1381	1399	1	0.9858	-28.031
905	1396	1	0.969	-2.016
824	1045	1	0.986	-82.078
869	1049	1	0.9296	26.960
851	1392	1	0.9501	-110.109
791	986	1	0.9525	-2.015
688	944	1	0.9608	-182.167
921	986	1	0.9474	-30.046
1052	1392	1	0.947	-56.062
877	921	1	0.9503	-26.015
986	1385	1	0.9874	-0.000
854	944	1	0.9878	14.015
1045	1050	1	0.9527	26.024
905	977	1	0.9987	0.001
688	904	1	0.9599	-209.185
689	698	1	0.8818	-0.939
809	1404	1	0.9111	28.029
986	1392	1	0.9562	-28.032
688	976	1	0.9637	-208.182
1052	1386	1	0.9886	-0.000
688	854	1	0.9553	-196.182
824	1383	1	0.9792	-28.031
905	1398	1	0.9182	-29.982
824	976	1	0.9859	-52.031
1385	1402	1	0.9569	2.015
824	1399	1	0.9693	-81.066
944	1399	1	0.9624	-55.051
798	921	1	0.9895	-0.000
1398	1404	1	0.9787	28.030
791	877	1	0.9482	54.047
798	851	1	0.9542	52.031
854	1399	1	0.9594	-41.035
824	854	1	0.9722	-40.031
688	1380	1	0.969	-208.182
645	1392	1	0.9588	-294.292
791	1392	1	0.9534	-30.047
905	906	1	0.9609	-1.003
906	1396	1	0.9481	-1.013
944	1381	1	0.977	-27.019
854	1045	1	0.9769	-42.047
756	1398	1	0.8942	-28.031
688	1045	1	0.9639	-238.229
904	976	1	0.9797	1.003
791	1385	1	0.9574	-2.015
645	986	1	0.9575	-266.260
645	851	1	0.9505	-184.182
1045	1380	1	0.9906	30.047
756	809	1	0.9415	-28.031
1052	1402	1	0.9398	-26.016
906	1050	1	0.9446	-1.012
1050	1399	1	0.9695	-25.012
1050	1396	1	0.9884	-0.002
