CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
217	296	1	0.9337	-26.016
128	217	1	0.8911	-238.230
128	211	1	0.8861	-238.230
211	217	1	0.9998	0.000
211	296	1	0.9329	-26.016
197	313	2	0.9975	-30.047
230	316	2	0.9897	-28.031
193	218	2	0.9827	-2.016
272	273	2	0.7437	2.004
193	324	2	0.9522	-30.047
273	313	2	0.9896	-2.016
197	242	2	0.8416	-3.018
249	272	2	0.9206	-1.001
249	254	2	0.8476	-17.971
242	249	2	0.9945	-26.016
233	242	2	0.9434	1.002
197	424	2	0.9939	-86.109
230	242	2	0.8639	-2.997
249	273	2	0.8598	1.002
242	313	2	0.8212	-27.029
218	324	2	0.9686	-28.031
249	313	2	0.8388	-1.013
218	230	2	0.7611	20.968
311	316	2	0.8698	3.998
316	324	2	0.763	-20.968
197	249	2	0.8595	-29.034
218	254	2	0.9964	-26.015
242	424	2	0.8193	-83.091
197	273	2	0.9921	-28.031
273	424	2	0.9912	-58.078
233	311	2	0.9082	-28.031
218	242	2	0.8228	17.972
311	324	2	0.7899	-16.970
242	273	2	0.8414	-25.013
254	324	2	0.9678	-2.016
193	254	2	0.9833	-28.031
249	424	2	0.8377	-57.076
233	272	2	0.9989	-26.015
313	424	2	0.997	-56.062
215	516	3	0.7945	-264.245
145	215	3	0.9953	-28.031
516	517	3	0.888	28.031
148	234	3	0.996	-28.031
148	513	3	0.7624	-236.215
264	516	3	0.8795	-28.031
252	517	3	0.8414	-28.032
145	513	3	0.7634	-236.215
145	148	3	0.9998	-0.000
148	517	3	0.72	-264.246
148	264	3	0.716	-264.246
264	517	3	0.9549	-0.000
145	517	3	0.7222	-264.246
513	514	3	0.7512	2.016
252	513	3	0.9449	0.000
215	234	3	0.9999	0.001
264	513	3	0.8683	28.031
252	264	3	0.8552	-28.031
145	264	3	0.7183	-264.246
513	517	3	0.8988	-28.032
145	234	3	0.9961	-28.031
234	516	3	0.791	-264.246
148	215	3	0.9951	-28.031
445	506	4	0.9781	-0.000
414	463	5	0.9802	-0.000
56	66	6	0.8658	-14.016
56	82	6	0.8697	-14.016
66	82	6	0.9999	-0.000
172	519	7	0.9898	-0.000
387	457	8	0.9958	0.000
102	105	9	0.9985	0.000
46	64	10	0.9849	-0.084
37	48	11	0.7822	-2.016
44	72	12	0.9938	-0.000
