row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C1-b_Run95.mzML Peak area,NEG_D5-211-C1-a_Run92.mzML Peak area,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML Peak area,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML Peak area,NEG_D5-211-C1-c_Run98.mzML Peak area,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML Peak area,Unnamed: 19
443,84.99052137007558,8.968862,,,,4.0,10.0,[M-H2O+H]+,,2.0,441;443,101.9942,1042132.6,1093930.5,1376717.2,1445879.6,1160680.8,1367834.0,
45,85.02932706711472,0.38610575,,,,27.0,2.0,[M+H]+,,2.0,53;45,84.02145,696526.9,694268.5,789013.9,737629.56,777032.9,837560.75,
74,85.0293456340073,0.58279806,,,,20.0,,,,,,,438353.9,388221.06,615630.0,467717.88,446445.72,510947.5,
68,89.02428157377761,0.42693636,,,,,,,,,,,91953.01,137439.6,390513.44,81900.39,60639.727,212671.12,
545,96.96006656012884,11.095757,,,,,,,,,,,753794.0,680959.5,900127.4,841201.5,1529284.0,802435.6,
16,96.96010709223913,0.3515601,,,,27.0,,,,,,,54164196.0,54218532.0,110723390.0,92569830.0,56784064.0,83902310.0,
26,96.9693704301618,0.35842323,,,,27.0,,,,,,,16914374.0,15577584.0,17415444.0,14136222.0,17394290.0,14160202.0,
14,98.95579487603334,0.35068998,,,,27.0,,,,,,,2368054.0,2360369.0,4852921.0,4049379.0,2499227.5,3691021.8,
395,99.9257729605358,8.794561,,,,38.0,,,,,,,67756700.0,67812536.0,50850188.0,55844468.0,64358404.0,52549636.0,
405,100.93359430028408,8.8102255,,,,38.0,,,,,,,52222896.0,51092548.0,59378850.0,64546780.0,53974876.0,60214540.0,
368,101.98084233417283,8.705764,,,,,,,,,,,2985114.2,2676716.0,1583594.0,1240997.6,1783048.1,1760368.4,
425,101.98084870335839,8.950546000000001,,,,4.0,,,,,,,3399217.5,3401159.5,6359520.0,6077206.0,6665854.0,6455545.0,
478,101.9808756303202,9.615480999999999,,,,,,,,,,,802831.44,1216801.1,983435.06,549618.44,1085381.0,1028860.4,
475,101.9808807578888,9.39785,,,,,,,,,,,843027.0,1071391.0,1149702.5,920455.0,1026555.75,1101888.2,
495,101.9808833462672,10.019427,,,,35.0,,,,,,,901356.75,1782145.2,924293.7,797763.75,1023681.3,863306.3,
432,102.9568022097569,8.963639,,,,4.0,,,,,,,1643011.6,1772023.1,1706891.0,1540077.9,1758259.8,1626869.9,
504,102.95682957122902,10.177711,,,,,,,,,,,788564.2,891296.6,689183.7,720023.6,836736.9,667270.6,
55,111.00873755600996,0.3930268,,,,27.0,,,,,,,4964981.0,5158148.5,5371768.0,5621319.0,5459185.5,5787456.5,
52,111.01992706303335,0.38962199999999997,,,,27.0,,,,,,,1589687.5,1553428.8,9554880.0,2995131.0,1618753.4,3384848.2,
278,112.98564141935331,7.8726389999999995,,,,,,,,,,,6111069.0,6322237.5,9583707.0,9266560.0,6473434.5,10080119.0,
442,112.98567380728156,8.967128,,,,4.0,,,,,,,6212821.0,8025912.0,8252140.0,6577795.0,5535635.5,7137746.5,
505,112.98567583340756,10.187584,,,,,,,,,,,12920884.0,9727664.0,14138198.0,14949405.0,12979860.0,13456978.0,
406,113.92626080807251,8.812118,,,,38.0,9.0,[M+K]+,,2.0,406;394,74.96321999999999,22601058.0,19152706.0,21385308.0,5741393.5,23584132.0,20030294.0,
416,113.92626200555559,8.847192999999999,,,,,,,,,,,5845054.5,5675939.0,5370789.5,21425272.0,5950500.5,5492794.0,
188,114.93407668771128,7.3708100000000005,,,,19.0,3.0,[M+K]+,,2.0,189;188,75.97104,673426.56,643299.8,1005206.0,775412.94,869267.7,878201.0,
