ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
CTRL,EXP	 	 	9.0	0.0	0.0	0.0	0.0	0.0	0.0	531431.7933333333	597169.1466666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"78.0","main.cluster index_upperinput":"78.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5808	0.5808	0	N/A	N/A	3385802.82	6	78	-1	 	6	-83.0293	-1	85.0293	3385802.82
CTRL,EXP	 	 	29.0	0.0	0.0	0.0	0.0	0.0	0.0	788068.0700000001	853992.8166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"46.0","main.cluster index_upperinput":"46.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3864	0.3864	0	N/A	N/A	4926182.66	6	46	-1	 	6	-83.0293	-1	85.0293	4926182.66
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	228361.65	71197.40233333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"73.0","main.cluster index_upperinput":"73.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.4030	0.4030	0	N/A	N/A	898677.157	6	73	-1	 	6	-87.0242	-1	89.0242	898677.157
CTRL,EXP	 	 	6.0	0.0	0.0	0.0	0.0	0.0	0.0	95731843.33333333	82339784.66666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"14.0","main.cluster index_upperinput":"14.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3510	0.3510	0	N/A	N/A	534214884.0	6	14	-1	 	6	-94.9601	-1	96.9601	534214884.0
CTRL,EXP	 	 	6.0	0.0	0.0	0.0	0.0	0.0	0.0	15237289.333333334	17919364.666666668	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"24.0","main.cluster index_upperinput":"24.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3588	0.3588	0	N/A	N/A	99469962.0	6	24	-1	 	6	-94.9693	-1	96.9693	99469962.0
CTRL,EXP	 	 	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4197773.933333334	3595570.7666666666	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"12.0","main.cluster index_upperinput":"12.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3493	0.3493	0	N/A	N/A	23380034.1	6	12	-1	 	6	-96.9558	-1	98.9558	23380034.1
CTRL,EXP	 	 	36.0	0.0	0.0	0.0	0.0	0.0	0.0	53081430.666666664	72450444.66666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"400.0","main.cluster index_upperinput":"400.0"}	This Node is a Singleton	N/A	N/A	N/A	 	8.8018	8.8018	0	N/A	N/A	376595626.0	6	400	-1	 	6	-97.9258	-1	99.9258	376595626.0
CTRL,EXP	 	 	36.0	0.0	0.0	0.0	0.0	0.0	0.0	61380056.666666664	58274249.333333336	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"401.0","main.cluster index_upperinput":"401.0"}	This Node is a Singleton	N/A	N/A	N/A	 	8.8034	8.8034	0	N/A	N/A	358962918.0	6	401	-1	 	6	-98.9336	-1	100.9336	358962918.0
CTRL,EXP	 	 	14.0	0.0	0.0	0.0	0.0	0.0	0.0	1460398.8	3583095.2333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"368.0","main.cluster index_upperinput":"368.0"}	This Node is a Singleton	N/A	N/A	N/A	 	8.7015	8.7015	0	N/A	N/A	15130482.100000001	6	368	-1	 	6	-99.9808	-1	101.9808	15130482.100000001
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	6297423.666666667	3658210.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"417.0","main.cluster index_upperinput":"417.0"}	This Node is a Singleton	N/A	N/A	N/A	 	8.9499	8.9499	0	N/A	N/A	29866902.5	6	417	-1	 	6	-99.9809	-1	101.9809	29866902.5
CTRL,EXP	 	 	30.0	0.0	0.0	0.0	0.0	0.0	0.0	861787.9166666666	1264800.1	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"489.0","main.cluster index_upperinput":"489.0"}	This Node is a Singleton	N/A	N/A	N/A	 	10.0141	10.0141	0	N/A	N/A	6379764.050000001	6	489	-1	 	6	-99.9809	-1	101.9809	6379764.050000001
CTRL,EXP	 	 	27.0	0.0	0.0	0.0	0.0	0.0	0.0	860437.98	2198536.1	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"471.0","main.cluster index_upperinput":"471.0"}	This Node is a Singleton	N/A	N/A	N/A	 	9.6109	9.6109	0	N/A	N/A	9176922.24	6	471	-1	 	6	-99.9809	-1	101.9809	9176922.24
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1624612.9333333333	1859324.2333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"431.0","main.cluster index_upperinput":"431.0"}	This Node is a Singleton	N/A	N/A	N/A	 	8.9621	8.9621	0	N/A	N/A	10451811.5	6	431	-1	 	6	-100.9568	-1	102.9568	10451811.5
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	692159.2999999999	1121756.7133333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"498.0","main.cluster index_upperinput":"498.0"}	This Node is a Singleton	N/A	N/A	N/A	 	10.1793	10.1793	0	N/A	N/A	5441748.04	6	498	-1	 	6	-100.9568	-1	102.9568	5441748.04
CTRL,EXP	 	 	29.0	0.0	0.0	0.0	0.0	0.0	0.0	5593514.5	5767410.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"58.0","main.cluster index_upperinput":"58.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3977	0.3977	0	N/A	N/A	34082773.5	6	58	-1	 	6	-109.0087	-1	111.0087	34082773.5
CTRL,EXP	 	 	29.0	0.0	0.0	0.0	0.0	0.0	0.0	5311619.733333333	2030505.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"54.0","main.cluster index_upperinput":"54.0"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3942	0.3942	0	N/A	N/A	22026375.7	6	54	-1	 	6	-109.0199	-1	111.0199	22026375.7
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	14181527.0	12822708.333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"500.0","main.cluster index_upperinput":"500.0"}	This Node is a Singleton	N/A	N/A	N/A	 	10.1892	10.1892	0	N/A	N/A	81012706.0	6	500	-1	 	6	-110.9857	-1	112.9857	81012706.0
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	9643462.0	6337672.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"276.0","main.cluster index_upperinput":"276.0"}	This Node is a Singleton	N/A	N/A	N/A	 	7.8733	7.8733	0	N/A	N/A	47943402.0	6	276	-1	 	6	-110.9857	-1	112.9857	47943402.0
CTRL,EXP	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	7322560.5	7761118.5	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"438.0","main.cluster index_upperinput":"438.0"}	This Node is a Singleton	N/A	N/A	N/A	 	8.9638	8.9638	0	N/A	N/A	45251037.0	6	438	-1	 	6	-110.9857	-1	112.9857	45251037.0
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	10762951.833333334	6182623.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"412.0","main.cluster index_upperinput":"412.0"}	This Node is a Singleton	N/A	N/A	N/A	 	8.8482	8.8482	0	N/A	N/A	50836724.5	6	412	-1	 	6	-111.9263	-1	113.9263	50836724.5
CTRL,EXP	 	 	36.0	0.0	0.0	0.0	0.0	0.0	0.0	15715103.5	25776259.333333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=079cfda76f42443c9906f5d6713e0396&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"394.0","main.cluster index_upperinput":"394.0"}	This Node is a Singleton	N/A	N/A	N/A	 	8.7982	8.7982	0	N/A	N/A	124474088.5	6	394	-1	 	6	-111.9263	-1	113.9263	124474088.5
