CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
284	588	1	0.9034	0.000
284	368	1	0.7086	0.000
441	535	1	0.8107	18.011
535	588	1	0.8101	-18.011
586	587	1	0.7806	-1.003
535	587	1	0.7147	-3.019
535	572	1	0.8439	-0.000
284	441	1	0.9036	-0.000
285	572	1	0.8611	0.000
284	535	1	0.7852	18.011
441	588	1	0.9995	0.000
535	586	1	0.7918	-2.016
572	586	1	0.7219	-2.016
334	768	2	0.8003	209.217
334	456	2	0.9916	-28.031
759	768	2	0.8334	-16.990
428	447	3	0.9926	0.000
274	421	3	0.9916	-28.031
278	336	3	0.9944	0.000
420	422	3	0.8193	-28.031
392	447	3	0.8314	28.031
336	447	3	0.924	30.046
278	422	3	0.9961	-28.031
278	421	3	0.8316	-26.016
274	447	3	0.821	28.031
278	420	3	0.8229	0.000
392	421	3	0.993	-28.031
392	428	3	0.821	28.031
392	422	3	0.8233	-30.046
278	428	3	0.9261	30.047
420	447	3	0.8099	30.046
421	447	3	0.8129	56.063
274	428	3	0.8018	28.031
392	420	3	0.9782	-2.015
421	422	3	0.8123	-2.015
421	428	3	0.794	56.063
336	428	3	0.9148	30.046
274	422	3	0.8196	-30.046
422	447	3	0.9435	58.078
274	392	3	0.9881	0.000
278	447	3	0.9351	30.047
422	428	3	0.934	58.078
420	428	3	0.7925	30.046
336	421	3	0.8388	-26.016
420	421	3	0.9837	-26.016
336	422	3	0.9909	-28.031
278	392	3	0.8155	2.015
2	692	4	0.9542	0.000
692	699	4	0.9491	-0.025
2	8	4	0.8651	-18.011
4	8	4	0.7267	17.015
3	8	4	0.9997	-0.000
3	10	4	0.8689	18.010
678	704	4	0.98	-0.025
8	10	4	0.8647	18.011
8	678	4	0.8178	-23.016
2	10	4	0.9999	0.000
3	692	4	0.846	18.011
4	9	4	0.9061	0.000
3	704	4	0.803	-23.041
3	678	4	0.8172	-23.016
2	3	4	0.8693	-18.010
8	704	4	0.8034	-23.040
8	692	4	0.8424	18.011
10	692	4	0.9546	0.000
3	4	4	0.727	-17.015
704	706	4	0.8073	1.995
692	704	4	0.7205	-41.051
128	160	5	0.932	-28.031
224	469	6	0.8101	-84.094
257	410	6	0.9512	-28.031
314	354	6	0.8343	0.000
257	469	6	0.875	-84.094
288	439	6	0.8011	-71.073
410	439	6	0.7121	-71.073
288	470	6	0.7133	-73.089
257	288	6	0.8606	-28.031
288	469	6	0.8758	-56.062
224	410	6	0.7886	-28.031
439	469	6	0.753	15.011
314	355	6	0.7788	-2.016
410	469	6	0.9458	-56.062
354	355	6	0.7987	-2.016
224	257	6	0.7702	0.000
288	410	6	0.8796	-0.000
469	470	6	0.7679	-17.026
224	288	6	0.8928	-28.031
410	470	6	0.7017	-73.089
355	439	6	0.8236	-108.130
444	452	7	0.9129	-26.016
579	627	7	0.8629	-26.013
607	619	7	0.8718	-56.062
619	627	7	0.9108	26.018
452	607	7	0.939	28.031
582	619	7	0.9828	-0.000
444	582	7	0.7089	-54.046
444	607	7	0.7952	2.015
444	627	7	0.8638	-28.029
628	630	7	0.9446	28.031
452	627	7	0.8767	-2.013
595	627	7	0.8511	-2.013
452	619	7	0.8935	-28.031
579	630	7	0.7255	84.094
582	627	7	0.9291	26.018
595	607	7	0.947	28.031
444	619	7	0.7021	-54.047
444	579	7	0.8086	-2.016
444	595	7	0.893	-26.016
452	582	7	0.8747	-28.031
452	595	7	0.9676	-0.000
582	595	7	0.8726	28.031
582	607	7	0.8474	56.062
627	628	7	0.7234	82.076
579	628	7	0.7597	56.063
595	619	7	0.8762	-28.031
444	628	7	0.7027	54.047
607	627	7	0.8213	-30.044
168	182	8	0.9434	0.227
488	654	9	0.9147	26.016
280	653	9	0.9145	0.000
653	654	9	0.9154	26.016
442	654	9	0.937	0.000
194	653	9	0.9024	-236.214
442	488	9	0.9492	-26.016
280	488	9	0.9121	0.000
488	653	9	0.9866	0.000
442	653	9	0.96	-26.015
194	488	9	0.8995	-236.214
55	143	10	0.8965	-75.036
260	412	11	0.9988	-28.031
658	663	12	0.9207	67.988
658	664	12	0.9514	135.975
663	664	12	0.9427	67.988
701	705	13	0.7324	-41.005
703	705	13	0.9625	1.995
7	701	13	0.8418	-0.022
698	701	13	0.7508	-3.993
7	705	13	0.7185	-41.026
419	613	14	0.9837	0.000
499	613	14	0.9548	0.000
419	499	14	0.9688	0.000
78	79	15	0.965	-17.027
78	109	15	0.9303	-233.126
108	109	15	0.9771	-17.027
62	108	15	0.8309	-198.089
78	108	15	0.954	-216.100
61	109	15	0.9307	-233.126
79	109	15	0.9766	-216.100
35	50	15	0.9785	0.000
58	109	15	0.7336	-198.089
62	78	15	0.715	18.010
61	108	15	0.9321	-216.100
58	108	15	0.7552	-181.062
35	108	15	0.7603	-432.199
35	79	15	0.837	-233.126
61	78	15	0.9532	-0.000
35	62	15	0.702	-234.110
62	79	15	0.7876	0.984
58	62	15	0.8675	17.027
35	109	15	0.7885	-449.226
61	79	15	0.9767	-17.027
79	108	15	0.9297	-199.073
62	109	15	0.7921	-215.116
35	78	15	0.7915	-216.100
295	327	16	0.9255	0.000
295	326	16	0.7438	136.125
325	327	16	0.7057	21.982
294	295	16	0.7816	-136.125
326	327	16	0.7169	-136.125
294	326	16	0.9778	-0.000
295	325	16	0.7928	-21.982
133	154	17	0.8124	15.995
111	154	17	0.8549	-12.036
111	133	17	0.9167	-28.031
123	154	17	0.9484	-28.031
123	133	17	0.818	-44.026
276	411	18	0.895	-28.031
510	527	19	0.8992	15.995
303	527	19	0.8795	-136.125
400	405	20	0.9999	-1.995
717	765	21	0.9998	109.994
491	651	22	0.9917	0.000
443	651	22	0.975	-26.015
443	491	22	0.965	-26.015
317	357	23	0.9689	-0.000
