row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C3-a_Run275.mzML Peak area,NEG_D5-227-C3-b_Run278.mzML Peak area,NEG_D5-227-C3-c_Run281.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
713,80.94785059316085,10.182521,,,,,,,,,,,0,0,0,930464.2,849612.6,815978.7,
381,80.94789550624331,7.77153,,,,7,,,,,,,0,0,0,608120.56,878339.6,868997.2,
420,80.94789805124314,7.8716245,,,,63,,,,,,,0,0,0,554205.44,766733.0,662708.0,
298,80.94791555914603,7.374944,,,,44,,,,,,,0,0,0,453578.38,605250.75,696817.56,
826,81.52050967563817,10.492288,,,,39,,,,,,,0,0,0,2.9259034E7,2.7274882E7,2.7966768E7,
23,84.95978609001521,0.43599412,,,,,,,,,,,0,0,0,4203904.0,2880147.2,1.0379863E7,
37,89.05977239449372,2.7459037,,,,,,,,,,,0,0,0,1227202.5,462431.1,361792.6,
755,89.50665340911765,10.333573,,,,15,,,,,,,0,0,0,1.1433834E7,1.144064E7,1.2806039E7,
782,90.50668872766512,10.374984,,,,15,,,,,,,0,0,0,4638022.0,4709399.5,4725757.5,
831,90.52588585570724,10.506519,,,,39,,,,,,,0,0,0,4.135648E7,4.0922364E7,3.760239E7,
785,91.50438987445585,10.376733,,,,15,,,,,,,0,0,0,1763337.5,1792999.4,1804893.0,
807,94.04510039170087,10.450604,,,,,,,,,,,0,0,0,4939875.0,4974401.0,4732135.5,
22,96.95999906672402,0.44238746,,,,,,,,,,,2730645.5,593851.44,550365.0,0,0,0,
845,96.96000855865309,11.180217,,,,,,,,,,,1313777.2,555228.2,547101.25,0,0,0,
754,97.51440243356647,10.333434,,,,15,,,,,,,0,0,0,1388868.0,1307722.9,1278102.9,
834,97.99136005878262,10.527814,,,,39,,,,,,,0,0,0,9013835.0,9588389.0,9387882.0,
750,98.51203785799709,10.331832,,,,15,,,,,,,0,0,0,2.2551964E7,2.3580524E7,2.2928398E7,
614,99.92572347493818,8.928811,,,,20,,,,,,,7.33156E7,6.1540852E7,7.025178E7,0,0,0,
694,101.98079940879023,10.01578,,,,,,,,,,,475233.53,640810.25,558738.25,0,0,0,
636,101.98080604517418,8.963401,,,,4,,,,,,,3510650.0,3480535.8,3535326.0,0,0,0,
578,101.98081365123114,8.708159,,,,,,,,,,,1423064.0,1336264.4,1453833.0,0,0,0,
813,102.03386413707945,10.483439,,,,39,,,,,,,0,0,0,1.3853955E8,1.4028165E8,1.4515152E8,
814,102.53543267308315,10.485185,,,,39,,,,,,,0,0,0,1.1980027E7,1.2205041E7,1.2592613E7,
714,102.95674189322186,10.187667,,,,,,,,,,,1371894.4,1355158.9,910938.5,0,0,0,
652,102.95674348982537,8.968635,,,,4,,,,,,,757799.3,723043.0,530373.8,0,0,0,
825,104.03021741467593,10.491948,,,,39,,,,,,,0,0,0,3202513.0,3615046.0,3703096.5,
144,105.03351278378551,5.675162,,,,23,,,,,,,0,0,0,1846915.0,2467678.5,2597630.5,
