row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,POS_D5-227-C3-a_Run274.mzML Peak area,POS_D5-227-C3-b_Run277.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,POS_D5-227-C3-c_Run280.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,Unnamed: 19
603,80.94789451896668,10.183367,,,,,,,,,,,930464.2,416123.47,414292.3,849612.6,429466.9,815978.7,
407,80.9479320001445,7.786069400000001,,,,13.0,,,,,,,608120.56,296615.75,398803.2,878339.6,342337.66,868997.2,
443,80.94794327036554,7.875992,,,,45.0,,,,,,,554205.44,163270.11,236408.1,766733.0,376102.3,662708.0,
311,80.94795161269117,7.373634,,,,2.0,,,,,,,453578.38,283875.9,330464.84,605250.75,354276.53,696817.56,
702,81.52054846797988,10.482187,,,,38.0,,,,,,,29259034.0,31782304.0,30821436.0,27274882.0,24005242.0,27966768.0,
27,84.95980942238923,0.43630743,,,,,,,,,,,4124307.8,3001941.5,10373129.0,2980972.5,4445511.0,10379863.0,
44,89.05980230982651,2.744067,,,,,,,,,,,1227202.5,297977.25,590428.9,457790.88,406197.72,361792.6,
639,89.50669769427289,10.324777000000001,,,,31.0,,,,,,,11433834.0,17409558.0,13937761.0,11440640.0,7513609.5,12806039.0,
664,90.50673102015234,10.363681,,,,31.0,,,,,,,4638022.0,4710613.5,4686433.5,4709399.5,4653700.5,4725757.5,
705,90.52592826060874,10.496974,,,,38.0,,,,,,,41356480.0,45133364.0,28498852.0,40922364.0,29383678.0,37602390.0,
9,90.94777516730784,0.049539763,,,,,,,,,,,153183.02,250291.42,135766.28,267333.75,891229.4,97101.77,
21,90.94778556790243,0.33839026,,,,,,,,,,,141321.28,299218.16,207127.38,102694.09,736754.25,88057.0,
457,90.97673620457401,7.875976,,,,44.0,41.0,[M-H2O+2H]+2,,2.0,457;449,197.94982,912886.9,1327103.1,1761369.8,1133448.1,1527739.4,1185922.0,
299,90.97674714503158,7.3727307,,,,2.0,32.0,[M-H2O+2H]+2,,2.0,299;295,197.94978999999998,1160519.4,1672357.4,1731228.6,1378564.1,2002219.5,1555573.4,
673,91.50443425941359,10.369660000000001,,,,31.0,,,,,,,1763337.5,1790390.9,1805199.0,1792999.4,1780187.0,1804893.0,
691,94.04514365672594,10.441756,,,,38.0,,,,,,,4939875.0,5163483.0,5232394.0,4974401.0,5248373.0,4732135.5,
643,97.51444934765057,10.327332,,,,31.0,51.0,[M+NH4]+,,2.0,632;643,79.48078000000001,1388868.0,1506767.8,1337348.8,1307722.9,819461.56,1278102.9,
8,97.96884542589441,0.036851082,,,,0.0,,,,,,,84880.164,376339.7,424714.2,110124.95,247878.27,114579.016,
11,97.9688498565532,0.17780851,,,,,,,,,,,67099.945,63954.99,101653.35,25567.146,32830.555,134783.7,
20,97.96886020141676,0.32172567,,,,23.0,,,,,,,189730.44,332728.66,418934.66,158515.05,384303.1,188352.1,
708,97.99140313864453,10.512788,,,,38.0,,,,,,,9013835.0,8893190.0,5205140.0,9588389.0,7995336.0,9387882.0,
640,98.51208401257216,10.324782,,,,31.0,,,,,,,22551964.0,24420870.0,25709406.0,23580524.0,13175156.0,22928398.0,
604,101.07098726737472,10.175798,,,,11.0,,,,,,,2138950.8,1785833.0,1848094.9,2082775.5,1793434.0,2031272.8,
699,102.03391121554792,10.478636999999999,,,,38.0,,,,,,,138539550.0,152110290.0,151865200.0,140281650.0,155222100.0,145151520.0,
698,102.53547829195948,10.478636,,,,38.0,,,,,,,11980027.0,13203509.0,13141997.0,12205041.0,13346884.0,12592613.0,
704,104.03026501137279,10.488023,,,,38.0,,,,,,,3202513.0,3900651.5,3882789.5,3615046.0,3999660.2,3703096.5,
159,105.03355998245044,5.6750627,,,,3.0,,,,,,,1846915.0,3193727.8,2723145.2,2467678.5,2886442.0,2597630.5,
