CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
469	502	1	0.8496	-11.005
278	447	1	0.9522	-28.031
337	347	1	0.7049	-9.984
238	278	1	0.7719	0.000
394	472	1	0.7851	-108.130
278	502	1	0.8771	-84.094
447	469	1	0.7676	-45.058
347	350	1	0.8658	-18.010
305	469	1	0.8147	-45.058
337	469	1	0.7527	-112.125
305	472	1	0.749	-71.073
350	393	1	0.9992	0.000
278	305	1	0.8621	-28.031
305	502	1	0.8758	-56.062
447	502	1	0.9456	-56.062
502	503	1	0.7026	-17.027
347	393	1	0.8689	-18.010
393	394	1	0.7745	-2.016
238	447	1	0.7847	-28.031
238	469	1	0.7533	-73.089
352	393	1	0.73	18.010
469	503	1	0.8236	-28.031
350	394	1	0.7772	-2.016
347	348	1	0.8348	-0.984
278	469	1	0.7008	-73.089
238	502	1	0.8101	-84.094
348	350	1	0.9123	-17.027
238	305	1	0.8928	-28.031
278	472	1	0.7572	-99.105
350	352	1	0.7313	-18.010
352	395	1	0.81	0.000
472	502	1	0.7571	15.011
447	472	1	0.7706	-71.073
348	393	1	0.9055	-17.027
305	447	1	0.8775	-0.000
278	364	1	0.704	-36.036
291	442	2	0.8863	-28.031
270	292	3	0.9321	2.015
287	444	3	0.9943	-28.031
292	459	3	0.9732	56.063
449	459	3	0.9572	30.047
270	385	3	0.9989	0.000
287	483	3	0.9425	30.047
270	459	3	0.9329	58.078
459	483	3	0.9926	0.000
384	449	3	0.9695	-0.000
384	459	3	0.9344	30.046
384	483	3	0.9438	30.047
449	455	3	0.959	56.062
385	444	3	0.9931	-0.000
378	597	3	0.9777	56.063
292	385	3	0.934	-2.015
270	483	3	0.9421	58.078
287	455	3	0.9909	56.062
385	459	3	0.9331	58.078
270	449	3	0.9686	28.031
483	597	3	0.9708	0.001
292	378	3	0.9862	0.000
270	384	3	0.9999	28.031
449	483	3	0.9596	30.047
270	444	3	0.9944	0.000
287	459	3	0.9331	30.046
292	444	3	0.9529	-2.015
459	597	3	0.9618	0.001
378	483	3	0.9951	56.063
378	444	3	0.9649	-2.015
287	384	3	0.9998	0.000
287	449	3	0.9694	-0.000
270	378	3	0.9452	2.015
444	455	3	0.9849	84.093
385	449	3	0.9689	28.031
292	483	3	0.9814	56.063
378	384	3	0.9745	26.016
270	287	3	0.9998	28.031
455	459	3	0.9437	-26.016
455	597	3	0.963	-26.015
287	385	3	0.9986	-28.031
378	459	3	0.9872	56.062
385	483	3	0.9428	58.078
385	455	3	0.9895	84.093
455	483	3	0.9532	-26.016
378	385	3	0.9457	-2.015
287	292	3	0.9622	-26.016
378	449	3	0.9741	26.016
292	384	3	0.9617	26.016
270	455	3	0.9896	84.093
