ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	 	 	18.0	0.0	0.0	0.0	0.0	0.0	0.0	2049260.5333333332	2641709.933333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1500","main.cluster index_upperinput":"1500"}	This Node is a Singleton	N/A	N/A	N/A	 	10.5983	10.5983	0	N/A	N/A	14072911.4	6	1500	-1	 	6	81.5205	1	81.5205	14072911.4
EXP,CTRL	 	 	5.0	0.0	0.0	0.0	0.0	0.0	0.0	631296.6533333333	626073.2366666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"143","main.cluster index_upperinput":"143"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3867	0.3867	0	N/A	N/A	3772109.6700000004	6	143	-1	 	6	84.0443	1	84.0443	3772109.6700000004
EXP,CTRL	10.0	[M-H2O+NH4]+	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2353049.6666666665	3093833.7333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"92","main.cluster index_upperinput":"92"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3704	0.3704	0	N/A	N/A	16340650.2	6	92	-1	86.03671999999997	6	86.0600	1	86.0600	16340650.2
EXP,CTRL	 	 	8.0	0.0	0.0	0.0	0.0	0.0	0.0	32740270.666666668	34245118.666666664	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"337","main.cluster index_upperinput":"337"}	This Node is a Singleton	N/A	N/A	N/A	 	0.7505	0.7505	0	N/A	N/A	200956168.0	6	337	-1	 	6	86.0964	1	86.0964	200956168.0
EXP,CTRL	 	 	12.0	0.0	0.0	0.0	0.0	0.0	0.0	2055213.7333333334	1934605.1666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"16","main.cluster index_upperinput":"16"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3082	0.3082	0	N/A	N/A	11969456.7	6	16	-1	 	6	86.9927	1	86.9927	11969456.7
EXP,CTRL	10.0	[M+H]+	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3311892.9	4894920.666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"93","main.cluster index_upperinput":"93"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3704	0.3704	0	N/A	N/A	24620440.7	6	93	-1	86.03671999999997	6	87.0440	1	87.0440	24620440.7
EXP,CTRL	 	 	12.0	0.0	0.0	0.0	0.0	0.0	0.0	257367.69333333333	251063.54333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"17","main.cluster index_upperinput":"17"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3082	0.3082	0	N/A	N/A	1525293.71	6	17	-1	 	6	88.9902	1	88.9902	1525293.71
EXP,CTRL	 	 	9.0	0.0	0.0	0.0	0.0	0.0	0.0	3840917.6333333333	3562656.3000000003	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1493","main.cluster index_upperinput":"1493"}	This Node is a Singleton	N/A	N/A	N/A	 	10.4400	10.4400	0	N/A	N/A	22210721.8	6	1493	-1	 	6	89.5067	1	89.5067	22210721.8
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1821170.5533333332	1282909.7233333332	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1503","main.cluster index_upperinput":"1503"}	This Node is a Singleton	N/A	N/A	N/A	 	11.2561	11.2561	0	N/A	N/A	9312240.83	6	1503	-1	 	6	89.5067	1	89.5067	9312240.83
EXP,CTRL	 	 	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2414612.6666666665	8683735.833333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=df03f5f3f3204f4bacaefb8fd8dd26d6&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"126","main.cluster index_upperinput":"126"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3826	0.3826	0	N/A	N/A	33295045.5	6	126	-1	 	6	90.0549	1	90.0549	33295045.5
