CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
526	572	1	0.7688	-33.984
431	459	1	0.8815	-2.016
459	572	1	0.9561	-48.000
561	572	1	0.7688	-33.975
563	588	1	0.8108	-14.016
431	572	1	0.9096	-50.016
431	526	1	0.7103	-16.031
588	603	1	0.7654	-14.016
459	563	1	0.9039	-99.068
459	561	1	0.752	-14.025
526	561	1	1.0	-0.010
459	526	1	0.752	-14.016
459	588	1	0.711	-113.084
431	561	1	0.7103	-16.041
1200	1490	2	0.8922	0.000
138	382	3	0.9786	0.000
702	723	4	0.8074	-44.026
702	703	4	0.8909	18.011
674	681	4	0.8196	-44.026
674	703	4	0.7409	-10.021
674	723	4	0.8102	-72.058
674	702	4	0.9489	-28.031
681	702	4	0.8174	15.995
681	723	4	0.9684	-28.031
1211	1488	5	0.9982	0.000
1348	1366	6	0.9186	-74.020
1222	1233	6	0.9448	-75.997
1227	1378	6	0.906	90.051
1227	1290	6	0.9374	74.020
1174	1237	6	0.9289	-206.025
1233	1378	6	0.9002	-57.989
1227	1367	6	0.8733	-75.019
1174	1222	6	0.9051	-146.058
1222	1378	6	0.9549	-133.986
1237	1366	6	0.9295	-238.088
1233	1327	6	0.9724	-74.020
1325	1349	6	0.915	-74.019
1233	1348	6	0.9055	-148.038
1327	1348	6	0.9259	-74.019
1227	1228	6	0.897	-1.001
1229	1231	6	0.8953	-3.005
1281	1349	6	0.9712	-148.038
1228	1281	6	0.8117	148.039
1174	1290	6	0.899	-296.075
1280	1327	6	0.972	-74.019
1163	1349	6	0.9135	-149.039
1325	1350	6	0.8537	-75.018
1163	1290	6	0.9787	-74.019
1222	1348	6	0.9281	-224.035
1281	1367	6	0.869	-222.057
1228	1349	6	0.8355	0.001
1290	1378	6	0.9624	16.031
1222	1327	6	0.9189	-150.017
1163	1222	6	0.9159	75.997
1174	1280	6	0.8419	-222.056
1367	1368	6	0.9112	-0.999
1227	1366	6	0.9843	-74.018
1163	1348	6	0.941	-148.038
1280	1348	6	0.905	-148.037
1163	1327	6	0.8852	-74.019
1228	1367	6	0.9242	-74.018
1290	1366	6	0.9505	-148.038
1349	1350	6	0.8474	-0.999
1228	1366	6	0.8778	-73.018
