row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-p10_3_Run144.mzML Peak area,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-p10_1_Run103.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,2024_POS_Y-p10_2_Run129.mzML Peak area,Unnamed: 19
1500,81.5205322966381,10.598303,,,,18.0,,,,,,,2766721.0,1298430.9,2048135.9,2407851.8,2801214.8,2750557.0,
143,84.04433021446421,0.38666585,,,,5.0,,,,,,,606864.75,638256.94,777116.3,568885.06,478516.72,702469.9,
92,86.0599881768747,0.37039366,,,,5.0,10.0,[M-H2O+NH4]+,,2.0,93;92,86.03671999999999,2107351.0,2535565.2,2146844.8,4068569.0,2376739.0,3105581.2,
337,86.09637639844965,0.7504776,,,,8.0,,,,,,,33117546.0,29222214.0,31438838.0,30871462.0,37559760.0,38746348.0,
16,86.9926691133153,0.30815145,,,,12.0,,,,,,,2063474.9,2191176.2,2075990.8,1958863.8,1898474.2,1781476.8,
93,87.04400594283828,0.37039366,,,,5.0,10.0,[M+H]+,,3.0,93;94;92,86.03671999999999,3608145.0,4662048.0,3150667.2,5813013.0,2122963.5,5263604.0,
17,88.99020106518093,0.30815145,,,,12.0,,,,,,,245368.05,284126.22,257233.16,263400.44,230743.7,244422.14,
1493,89.50666431870745,10.440002999999999,,,,9.0,,,,,,,2530219.2,3121094.2,4038837.2,4221026.5,4362821.5,3936723.2,
1503,89.50667948632777,11.256111,,,,,,,,,,,720602.7,872979.8,705397.06,214052.67,3885134.8,2914073.8,
126,90.0548971100099,0.3825978,,,,5.0,,,,,,,5868684.0,1768891.8,3453285.0,5886680.5,2021661.2,14295843.0,
1374,90.9765775479103,9.986737,,,,,,,,,,,67591.734,415365.56,251695.27,53765.05,10318.33,27714.66,
48,90.9765841255465,0.34435126,,,,67.0,,,,,,,640288.56,665725.7,614941.9,628813.94,751666.2,535863.4,
1424,90.97658423509796,10.270647,,,,23.0,,,,,,,559003.75,1107538.2,677817.06,421947.38,282108.38,543304.75,
545,92.0493790132997,2.8232752999999997,,,,15.0,,,,,,,667966.44,983452.44,1039924.25,750724.5,1323065.5,191896.0,
343,92.1101631134412,0.7585151,,,,8.0,22.0,[M-H2O+H]+,,1.0,340,109.11307,3599690.2,3373048.2,3355009.5,3463054.0,2930042.2,3192863.8,
420,99.51213602627506,2.1032588,,,,,,,,,,,504585.56,604648.75,186223.0,175316.89,371107.56,337204.2,
