ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
EXP,CTRL	3.0	[M+H]+	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1583526.2833333334	1304180.1333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"85","main.cluster index_upperinput":"85"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5534	0.5534	0	N/A	N/A	8663119.25	6	85	-1	84.02156	6	-83.0294	-1	85.0294	8663119.25
EXP,CTRL	1.0	[M+H]+	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1115066.0666666667	810519.15	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"32","main.cluster index_upperinput":"32"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3857	0.3857	0	N/A	N/A	5776755.65	6	32	-1	84.02157	6	-83.0294	-1	85.0294	5776755.65
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	287677.6066666667	236217.56	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"178","main.cluster index_upperinput":"178"}	This Node is a Singleton	N/A	N/A	N/A	 	3.1322	3.1322	0	N/A	N/A	1571685.5	6	178	-1	 	6	-83.0659	-1	85.0659	1571685.5
EXP,CTRL	 	 	4.0	0.0	0.0	0.0	0.0	0.0	0.0	989464.3633333333	915859.2833333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"36","main.cluster index_upperinput":"36"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3866	0.3866	0	N/A	N/A	5715970.9399999995	6	36	-1	 	6	-85.0086	-1	87.0086	5715970.9399999995
EXP,CTRL	 	 	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1486128.58	1532847.8666666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"80","main.cluster index_upperinput":"80"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5390	0.5390	0	N/A	N/A	9056929.34	6	80	-1	 	6	-85.0086	-1	87.0086	9056929.34
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2844366.8666666667	1290989.7333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"485","main.cluster index_upperinput":"485"}	This Node is a Singleton	N/A	N/A	N/A	 	9.8149	9.8149	0	N/A	N/A	12406069.8	6	485	-1	 	6	-87.0244	-1	89.0244	12406069.8
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4601320.6	4817714.966666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"486","main.cluster index_upperinput":"486"}	This Node is a Singleton	N/A	N/A	N/A	 	9.9581	9.9581	0	N/A	N/A	28257106.7	6	486	-1	 	6	-87.0244	-1	89.0244	28257106.7
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1325283.3166666667	1408736.4166666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"474","main.cluster index_upperinput":"474"}	This Node is a Singleton	N/A	N/A	N/A	 	8.9757	8.9757	0	N/A	N/A	8202059.2	6	474	-1	 	6	-87.0244	-1	89.0244	8202059.2
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	186007.1366666667	161471.16	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3413	0.3413	0	N/A	N/A	1042434.8900000001	6	7	-1	 	6	-90.9280	-1	92.9280	1042434.8900000001
EXP,CTRL	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	6952911.166666667	4338129.533333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=ff2b3a8d42944adfa58b222e04a3a30f&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"530","main.cluster index_upperinput":"530"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6182	10.6182	0	N/A	N/A	33873122.099999994	6	530	-1	 	6	-94.9601	-1	96.9601	33873122.099999994
