row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-p12_1_Run94.mzML Peak area,2024_POS_Y-p12_3_Run132.mzML Peak area,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-p12_2_Run111.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,
1392,81.52053369844172,10.604207,,,,22,,,,,,,2281733.0,3044294.5,1298430.9,2048135.9,2573620.5,2801214.8,
81,86.05998650355077,0.37095523,,,,49,7,[M-H2O+NH4]+,,2,82;81,86.03672,1563546.9,1626537.6,2535565.2,2146844.8,2037260.1,2376739.0,
304,86.09637507044299,0.75478894,,,,4,,,,,,,2.361233E7,2.172124E7,2.9222214E7,3.1438838E7,2.5366958E7,3.755976E7,
14,86.99266657232143,0.31029752,,,,11,,,,,,,1814781.0,1873304.5,2191176.2,2075990.8,1997185.1,1898474.2,
82,87.04400616581641,0.37095523,,,,49,7,[M+H]+,,3,83;82;81,86.03672,2854704.8,2817554.8,4662048.0,3150667.2,3115034.8,2122963.5,
15,88.99020207324703,0.31029752,,,,11,,,,,,,257780.84,250828.7,284126.22,257233.16,267346.9,230743.7,
1387,89.50666869107177,10.452221,,,,36,,,,,,,3768807.0,4366439.5,3121094.2,4038837.2,3254920.2,4362821.5,
1395,89.50668067795594,11.265476,,,,,,,,,,,770092.75,520005.0,824199.3,782090.94,1230905.6,3885134.8,
106,90.05489578661518,0.38234547,,,,49,,,,,,,2616167.0,1840547.0,1768891.8,3453285.0,2573547.8,2021661.2,
1263,90.97658111068563,9.970964,,,,,,,,,,,5808.287,136609.73,415365.56,251695.27,83794.766,10318.33,
44,90.97658572507731,0.34410682,,,,71,,,,,,,678418.8,642808.9,665725.7,614941.9,639662.2,751666.2,
1327,90.97658688412993,10.276263,,,,60,,,,,,,117036.63,389519.38,1107538.2,677817.06,420237.9,282108.38,
489,92.0493797353562,2.8222609,,,,5,,,,,,,827007.0,814957.9,983452.44,1039924.25,762295.8,1323065.5,
307,92.11016320683547,0.7576406,,,,4,20,[M-H2O+H]+,,2,307;306,109.11306,3543085.8,3861039.0,3373048.2,3355009.5,3711958.2,2930042.2,
380,99.51213750977915,2.1349313,,,,,,,,,,,276522.53,193171.17,604648.75,148713.84,571821.2,371107.56,
