ATTRIBUTE_GROUP	Annotated Adduct Features ID	Best Ion	Correlated Features Group ID	G1	G2	G3	G4	G5	G6	GNPSGROUP:CTRL	GNPSGROUP:EXP	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	MS2 Verification Comment	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	neutral M mass	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
CTRL,EXP	 	 	27.0	0.0	0.0	0.0	0.0	0.0	0.0	1583526.2833333334	1255093.5866666667	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"88","main.cluster index_upperinput":"88"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5509	0.5509	0	N/A	N/A	8515859.61	6	88	-1	 	6	-83.0294	-1	85.0294	8515859.61
CTRL,EXP	0.0	[M+H]+	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1115066.0666666667	940929.3	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"38","main.cluster index_upperinput":"38"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3875	0.3875	0	N/A	N/A	6167986.1	6	38	-1	84.02157	6	-83.0294	-1	85.0294	6167986.1
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	287677.6066666667	38618.401333333335	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"186","main.cluster index_upperinput":"186"}	This Node is a Singleton	N/A	N/A	N/A	 	3.1312	3.1312	0	N/A	N/A	978888.024	6	186	-1	 	6	-83.0659	-1	85.0659	978888.024
CTRL,EXP	 	 	27.0	0.0	0.0	0.0	0.0	0.0	0.0	1479251.2333333334	1595871.3533333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"84","main.cluster index_upperinput":"84"}	This Node is a Singleton	N/A	N/A	N/A	 	0.5384	0.5384	0	N/A	N/A	9225367.76	6	84	-1	 	6	-85.0086	-1	87.0086	9225367.76
CTRL,EXP	 	 	8.0	0.0	0.0	0.0	0.0	0.0	0.0	989464.3633333333	970031.8333333334	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"29","main.cluster index_upperinput":"29"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3848	0.3848	0	N/A	N/A	5878488.59	6	29	-1	 	6	-85.0086	-1	87.0086	5878488.59
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	2818877.0	4275894.3	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"521","main.cluster index_upperinput":"521"}	This Node is a Singleton	N/A	N/A	N/A	 	9.8054	9.8054	0	N/A	N/A	21284313.9	6	521	-1	 	6	-87.0244	-1	89.0244	21284313.9
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	4614093.466666667	2975124.6333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"523","main.cluster index_upperinput":"523"}	This Node is a Singleton	N/A	N/A	N/A	 	9.9623	9.9623	0	N/A	N/A	22767654.3	6	523	-1	 	6	-87.0244	-1	89.0244	22767654.3
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	1338519.5866666667	1556615.6333333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"506","main.cluster index_upperinput":"506"}	This Node is a Singleton	N/A	N/A	N/A	 	8.9680	8.9680	0	N/A	N/A	8685405.66	6	506	-1	 	6	-87.0244	-1	89.0244	8685405.66
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	186007.1366666667	198639.72666666668	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7","main.cluster index_upperinput":"7"}	This Node is a Singleton	N/A	N/A	N/A	 	0.3402	0.3402	0	N/A	N/A	1153940.59	6	7	-1	 	6	-90.9280	-1	92.9280	1153940.59
CTRL,EXP	 	 	 	0.0	0.0	0.0	0.0	0.0	0.0	6952911.166666667	6244110.733333333	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=94ad99a032824c22bf9ab774283e5ec1&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"573","main.cluster index_upperinput":"573"}	This Node is a Singleton	N/A	N/A	N/A	 	10.6190	10.6190	0	N/A	N/A	39591065.7	6	573	-1	 	6	-94.9601	-1	96.9601	39591065.7
